关键词,关键词翻译,ABA排名,6月搜索量,5月搜索量,搜索增长率,月购买量,购买率,商品数,供需比,SPR,标题密度,点击集中度,货流值,均价,评分数,评分值,PPC价格,同比增长值,同比增长率,近3个月增长值,近3个月增长率,所属类目
ford bronco gifts for men,福特野马男士礼物,"475,771","2,974",33,"9,000.00%",161,5.44%,"4,559",0.7,31,1,19.9%,0.9%,$21.99,201,4.5,$0.20,"1,839",162.03%,,,"Clothing, Shoes & Jewelry; Automotive Parts & Accessories; Home & Kitchen"
ford bronco shirts for men,男式福特野马衬衫,"652,573","2,155",24,"9,000.00%",116,5.40%,523,4.1,30,0,20.0%,6.8%,$23.99,4,4.5,$1.62,"1,397",184.30%,,,"Clothing, Shoes & Jewelry; Sports & Outdoors; Automotive Parts & Accessories"
sunshade for ford bronco,,"797,629","1,666",19,"9,000.00%",88,5.33%,593,2.8,28,6,14.8%,,$26.99,153,4.5,,,,,,Automotive Parts & Accessories
ford bronco gifts,福特野马礼物,"838,839","1,587",18,"9,000.00%",86,5.44%,"6,546",0.2,27,1,28.2%,6.9%,$15.99,296,4.5,$1.11,,,,,"Clothing, Shoes & Jewelry; Automotive Parts & Accessories; Home & Kitchen"
bronco t shirt,野马T恤,"1,550,765",666,7,"9,000.00%",18,2.74%,"1,949",0.3,19,0,22.0%,5.5%,$23.99,186,4.5,$1.33,,,,,"Clothing, Shoes & Jewelry; Sports & Outdoors; Automotive Parts & Accessories"
ford bronco stickers,福特野马贴纸,"1,759,569",580,6,"9,000.00%",32,5.62%,"3,398",0.2,13,0,30.6%,5.7%,$9.99,14,4.8,$0.57,,,-781,-100.00%,"Automotive Parts & Accessories; Clothing, Shoes & Jewelry; Computers"
2023 bronco,2023年野马,"1,789,875",568,6,"9,000.00%",13,2.43%,313,1.8,13,0,22.8%,9.6%,$27.99,635,4.5,$2.68,,,-294,-100.00%,"Automotive Parts & Accessories; Clothing, Shoes & Jewelry; Tools & Home Improvement"
bronco sport cargo cover,,"1,897,657",524,6,"9,000.00%",7,1.47%,"1,274",0.4,12,0,45.4%,,$59.99,8,3.7,,,,,,Automotive Parts & Accessories; Pet Supplies
bronco stubby antenna,野马短天线,"1,951,749",501,6,"9,000.00%",16,3.28%,172,2.9,12,0,40.6%,4.6%,$25.00,"2,002",4.4,$1.14,,,-262,-100.00%,Automotive Parts & Accessories
bronco tailgate,,"2,009,361",476,5,"9,000.00%",12,2.64%,"1,472",0.3,21,1,29.0%,,$145.99,13,4.0,,,,,,Automotive Parts & Accessories
bronco door pocket,野马门袋,"2,134,835",417,5,"9,000.00%",4,1.15%,489,0.9,18,0,41.4%,9.7%,$37.98,3,4.5,$3.68,-806,-65.90%,,,Automotive Parts & Accessories
bronco seat covers 2022,野马座套 2022,"2,134,837",417,5,"9,000.00%",4,0.98%,638,0.7,18,0,37.9%,0.7%,$209.99,6,4.5,$1.58,,,,,Automotive Parts & Accessories; Baby
bronco hats for men,男士野马帽,"2,134,836",417,5,"9,000.00%",9,2.31%,"1,349",0.3,18,0,31.0%,3.1%,$15.99,87,4.5,$0.50,,,,,"Clothing, Shoes & Jewelry; Automotive Parts & Accessories; Sports & Outdoors"
ford bronco toys,,"2,217,056",371,4,"9,000.00%",19,5.20%,"2,100",0.2,13,0,39.3%,,$14.99,8,5.0,,,,,,"Toys & Games; Automotive Parts & Accessories; Clothing, Shoes & Jewelry"
bronco 2 door,,"2,275,819",331,4,"9,000.00%",6,1.97%,"11,766",0.0,12,12,22.2%,,$199.99,6,4.3,,,,,,Automotive Parts & Accessories; Cell Phones & Accessories
ford bronco model kit,福特野马模型套件,"2,453,052",100,1,"9,000.00%",5,5.62%,210,0.5,8,0,64.0%,0.8%,$24.79,296,4.5,$0.20,,,,,Toys & Games; Automotive Parts & Accessories
ford bronco trailer hitch,福特野马拖车吊,"2,453,053",100,1,"9,000.00%",5,5.51%,166,0.6,8,0,40.0%,2.0%,$111.23,88,4.5,$2.24,,,-620,-100.00%,Automotive Parts & Accessories
bronco handles,野马车把手,"2,436,146",100,1,"9,000.00%",2,2.22%,196,0.5,8,0,44.0%,5.6%,$28.99,57,4.9,$1.61,,,-500,-100.00%,Automotive Parts & Accessories
ford bronco merchandise,福特野马商品,"2,453,051",100,1,"9,000.00%",5,5.20%,140,0.7,8,0,20.0%,4.3%,$24.99,17,4.9,$1.07,,,-429,-100.00%,"Clothing, Shoes & Jewelry; Sports & Outdoors; Automotive Parts & Accessories"
bronco sport letter overlay,Bronco Sport字母覆盖物,"2,436,147",100,1,"9,000.00%",1,0.98%,52,1.9,8,0,32.0%,3.0%,$28.99,90,4.5,$0.87,,,-363,-100.00%,Automotive Parts & Accessories; Handmade
bronco hats for women,女士野马帽,"1,706,797",602,120,502.00%,11,1.96%,750,0.8,13,0,40.5%,1.4%,$29.95,12,4.9,$0.43,42,7.50%,502,502.00%,"Clothing, Shoes & Jewelry; Sports & Outdoors; Automotive Parts & Accessories"
ford bronco decals,福特野马的贴纸,"1,856,043",540,123,440.00%,2,0.54%,"2,420",0.2,12,0,17.6%,3.7%,$25.99,32,4.5,$0.97,,,-897,-89.97%,"Automotive Parts & Accessories; Clothing, Shoes & Jewelry; Arts, Crafts & Sewing"
bronco wireless charging pad,野马无线充电板,"2,070,249",448,129,348.00%,36,8.06%,81,5.5,19,0,56.7%,5.0%,$49.99,8,4.0,$2.48,,,-556,-84.76%,Automotive Parts & Accessories; Cell Phones & Accessories
trx4m bronco bumper,trx4m野马的保险杠,"2,185,653",390,134,290.00%,8,2.25%,261,1.5,13,0,41.4%,2.3%,$19.99,1,5.0,$0.47,,,290,290.00%,Toys & Games; Automotive Parts & Accessories
ford bronco t shirt,福特野马 T 恤,"1,341,915",811,389,208.37%,46,5.68%,551,1.5,23,0,22.9%,2.8%,$23.99,127,4.5,$0.68,,,548,208.37%,"Clothing, Shoes & Jewelry; Automotive Parts & Accessories; Sports & Outdoors"
ford bronco store,福特野马商店,"783,167","1,740","1,420",122.51%,98,5.64%,"8,963",0.2,30,0,14.9%,5.9%,$18.99,296,4.5,$1.12,,,-608,-43.74%,"Automotive Parts & Accessories; Clothing, Shoes & Jewelry; Arts, Crafts & Sewing"
bronco cup holder inserts,布朗克杯架嵌件,"1,098,324","1,220","1,084",112.54%,25,2.11%,485,2.5,29,0,52.5%,7.7%,$11.95,118,4.4,$0.92,,,-31,-5.12%,Automotive Parts & Accessories; Home & Kitchen
bronco toy,野马玩具,"1,015,265","1,308","1,208",108.28%,35,2.73%,"5,667",0.2,29,0,54.7%,1.8%,$29.54,296,4.5,$0.54,631,93.21%,-6,-1.01%,Toys & Games; Office Products; Automotive Parts & Accessories
bronco key chain,野马钥匙链,"1,116,606","1,112","1,027",108.24%,27,2.51%,"1,170",1.0,28,2,51.7%,6.8%,$11.99,44,4.5,$0.81,,,-178,-25.00%,"Automotive Parts & Accessories; Clothing, Shoes & Jewelry; Sports & Outdoors"
ford bronco shirts,福特野马的衬衣,"1,101,807","1,119","1,082",103.45%,61,5.46%,711,1.6,26,0,16.9%,5.6%,$23.99,224,4.5,$1.35,,,-231,-29.58%,"Clothing, Shoes & Jewelry; Sports & Outdoors; Automotive Parts & Accessories"
ford bronco diecast,福特野马压铸,"1,908,129",520,532,97.72%,26,5.09%,719,0.7,12,0,33.3%,1.3%,$15.16,3,5.0,$0.20,,,-142,-35.06%,"Toys & Games; Automotive Parts & Accessories; Clothing, Shoes & Jewelry"
ford bronco apparel,福特野马服装,"1,042,371","1,250","1,316",95.01%,51,4.12%,"1,601",0.8,29,0,11.6%,2.7%,$24.99,361,4.5,$0.68,117,10.33%,-442,-41.62%,"Clothing, Shoes & Jewelry; Sports & Outdoors; Automotive Parts & Accessories"
ford bronco keychain,福特野马钥匙扣,"1,290,591",854,969,88.11%,44,5.16%,"1,059",0.8,24,0,36.0%,6.8%,$12.99,105,4.5,$0.89,-80,-8.57%,-183,-28.73%,"Automotive Parts & Accessories; Clothing, Shoes & Jewelry"
mabett bronco,马贝特野马,"1,074,087","1,215","1,416",85.78%,25,2.08%,124,9.8,28,1,27.5%,0.6%,$58.99,244,4.5,$0.33,"-3,341",-73.33%,-760,-53.75%,Automotive Parts & Accessories
bronco door bags 4 door,Bronco by bags 4 by,"870,138","1,490","1,770",84.18%,28,1.94%,"1,848",0.8,28,0,35.0%,3.0%,$69.99,8,3.7,$2.10,,,-24,-2.88%,Automotive Parts & Accessories
bronco sport floor mats,野马运动地垫,"1,391,428",771,977,78.89%,17,2.31%,516,1.5,22,1,54.3%,3.0%,$95.88,10,4.5,$2.91,,,-241,-35.86%,Automotive Parts & Accessories
bronco door storage bags,野马门储物袋,"1,098,325","1,224","1,725",70.95%,17,1.42%,570,2.2,29,0,40.7%,2.3%,$119.99,2,3.7,$2.73,652,113.99%,-117,-14.05%,Automotive Parts & Accessories
bronco flag mount,野马旗帜支架,"1,310,647",838,"1,310",63.99%,31,3.72%,368,2.3,24,5,42.9%,1.3%,$79.99,2,3.0,$1.05,,,327,63.99%,"Automotive Parts & Accessories; Patio, Lawn & Garden; Tools & Home Improvement"
bronco letters,野马字母,"1,797,045",565,934,60.51%,11,2.06%,"2,608",0.2,13,0,28.6%,2.7%,$26.99,1,1.0,$0.74,,,-172,-32.82%,"Automotive Parts & Accessories; Arts, Crafts & Sewing; Handmade"
