"店铺数据, 时间周期 2023-04-01~2023-04-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
统计时间,搜索曝光次数,搜索点击次数,搜索点击率,店铺访问人数,MC询盘人数,询盘个数,ATM咨询人数,近30日挂帐订单买家数,商机转化率(数据管家),商机转化率(星等级),近30日挂帐订单数,近30日实收信保金额,总商品数,有访问的商品数,有询盘的商品数,有订单的商品数,实力优品数,RTS商品数,当前15天（以上）零效果商品数,P4P曝光次数,P4P点击次数,P4P点击率,P4P消耗金额_分,P4P平均点击花费_分,P4P在线时长_分钟,及时回复率,平均回复时间_小时,最近一天RFQ报价数,最近30天报价被二次行动率,最近tips视频发布数,最近tips视频曝光数,最近tips视频有效播放数,最近tips视频引流商机数量
2023-04-01,4673,69,1.48%,84,3,3.0,10,25,8.33%,4.4%,65,65138.03,891,67,3,0,80,36,351,0,0,0%,0,0,0.0,96.34%,4.91,0,31.58%,0,34,1,0
2023-04-02,4580,75,1.64%,89,2,3.0,10,25,4.49%,4.3%,64,64838.03,891,73,2,0,82,36,356,0,0,0%,0,0,0.0,96.34%,5.03,3,38.1%,0,18,0,0
2023-04-03,4808,70,1.46%,86,2,2.0,15,26,6.98%,4.36%,75,116513.06,891,132,2,2,81,36,344,0,0,0%,0,0,0.0,96.31%,4.94,0,38.1%,0,29,1,0
2023-04-04,5185,74,1.43%,84,3,3.0,11,25,2.38%,4.35%,74,115294.05999999998,891,89,3,1,81,36,348,0,0,0%,0,0,0.0,96.1%,4.88,0,40%,0,9,0,0
2023-04-05,5029,70,1.39%,90,4,6.0,19,24,5.56%,4.41%,67,115255.06,892,89,4,0,81,37,366,0,0,0%,0,0,0.0,96.27%,4.81,0,40%,0,30,1,0
2023-04-06,4770,71,1.49%,85,1,2.0,24,24,5.88%,4.45%,67,121035.27000000002,892,70,1,0,81,37,372,0,0,0%,0,0,0.0,96.28%,4.76,0,44.44%,0,13,2,0
2023-04-07,4783,96,2.01%,111,2,2.0,14,22,4.5%,4.6%,65,117605.27000000002,892,106,2,0,81,37,366,0,0,0%,0,0,0.0,96.06%,4.83,0,50%,0,47,2,0
2023-04-08,5179,100,1.93%,95,3,3.0,11,22,7.37%,4.63%,65,114205.26999999999,892,80,3,2,81,37,371,0,0,0%,0,0,0.0,96.07%,4.93,0,50%,0,6,1,0
2023-04-09,5315,92,1.73%,115,2,2.0,21,22,8.7%,4.8%,65,114205.27,892,99,2,0,81,37,365,0,0,0%,0,0,0.0,96.03%,5.07,6,42.86%,0,23,1,0
2023-04-10,5159,87,1.69%,102,1,1.0,20,23,7.84%,4.76%,64,105133.26,891,91,1,0,80,37,371,0,0,0%,0,0,0.0,96.1%,5.06,1,40.91%,0,25,1,0
2023-04-11,4733,84,1.77%,112,0,0.0,14,24,2.68%,4.63%,66,106319.76,891,93,0,0,79,37,365,0,0,0%,0,0,0.0,95.99%,4.99,0,38.1%,0,18,1,0
2023-04-12,4532,75,1.65%,104,2,2.0,12,24,4.81%,4.65%,65,105719.76000000001,891,86,0,0,79,37,369,0,0,0%,0,0,0.0,95.79%,4.98,0,38.1%,0,18,0,0
2023-04-13,4793,81,1.69%,101,2,2.0,19,23,7.92%,4.65%,63,105347.76000000001,893,79,2,0,80,37,368,0,0,0%,0,0,0.0,95.73%,5.00,0,38.1%,0,16,1,0
2023-04-14,4400,64,1.45%,81,4,4.0,14,20,8.64%,4.83%,60,104367.76000000001,894,78,4,1,84,37,379,0,0,0%,0,0,0.0,95.73%,5.06,0,31.25%,0,23,2,0
2023-04-15,4277,64,1.5%,85,2,2.0,5,20,3.53%,4.88%,49,103753.76,894,64,2,0,86,37,378,0,0,0%,0,0,0.0,95.46%,5.17,0,31.25%,0,40,2,0
2023-04-16,4666,81,1.74%,105,2,2.0,9,18,2.86%,4.85%,46,99732.65999999999,894,106,2,0,84,37,373,0,0,0%,0,0,0.0,94.92%,5.23,1,29.41%,0,15,1,0
2023-04-17,4301,55,1.28%,78,3,3.0,15,19,5.13%,4.86%,47,99967.65999999999,896,77,3,0,82,37,373,0,0,0%,0,0,0.0,95.08%,5.19,0,29.41%,0,19,0,0
2023-04-18,4491,63,1.4%,84,1,3.0,11,20,2.38%,4.84%,45,100252.29000000001,899,71,3,0,82,37,393,0,0,0%,0,0,0.0,95.16%,5.07,1,27.78%,0,40,3,0
2023-04-19,4112,44,1.07%,63,2,2.0,9,20,4.76%,4.89%,44,97098.89000000001,900,50,2,1,82,37,399,0,0,0%,0,0,0.0,95.15%,5.10,0,27.78%,0,22,0,0
2023-04-20,3932,67,1.7%,87,0,0.0,8,19,1.15%,4.84%,43,96109.89000000001,900,74,0,0,82,37,394,0,0,0%,0,0,0.0,95.09%,5.15,0,27.78%,0,5,0,0
2023-04-21,3710,62,1.67%,79,0,0.0,7,18,2.53%,4.86%,43,97673.89,900,67,0,0,82,37,396,0,0,0%,0,0,0.0,94.72%,5.18,0,29.41%,0,4,0,0
2023-04-22,3824,55,1.44%,70,0,0.0,6,16,2.86%,4.62%,33,95235.39,901,60,0,0,81,37,397,0,0,0%,0,0,0.0,94.84%,5.26,2,26.32%,0,5,0,0
2023-04-23,4682,71,1.52%,97,1,1.0,9,17,4.12%,4.54%,33,93142.79000000001,903,79,1,0,82,37,390,0,0,0%,0,0,0.0,94.5%,5.29,0,26.32%,0,24,1,0
2023-04-24,4568,74,1.62%,92,0,0.0,12,18,2.17%,4.51%,34,92760.79000000001,902,89,0,2,82,37,398,0,0,0%,0,0,0.0,94.39%,5.32,0,31.58%,0,17,1,0
2023-04-25,4389,66,1.5%,85,0,0.0,12,18,1.18%,4.32%,32,90376.29000000001,903,80,0,1,81,37,415,0,0,0%,0,0,0.0,94.39%,5.22,1,26.32%,0,13,3,0
2023-04-26,4056,56,1.38%,82,2,2.0,11,18,6.1%,4.4%,41,83622.04,906,82,1,7,81,37,423,0,0,0%,0,0,0.0,93.84%,5.44,1,27.78%,0,13,1,0
2023-04-27,4249,89,2.09%,77,1,1.0,14,18,6.49%,4.51%,42,86357.04,906,115,1,0,81,37,415,0,0,0%,0,0,0.0,93.67%,5.45,0,27.78%,0,26,5,0
2023-04-28,3698,56,1.51%,82,3,3.0,14,19,6.1%,4.44%,43,86562.04000000001,906,82,3,0,81,37,410,0,0,0%,0,0,0.0,94.36%,5.21,3,25%,0,19,1,0
2023-04-29,3678,50,1.36%,72,0,0.0,10,19,4.17%,4.42%,43,86562.04000000001,906,158,0,0,81,37,384,0,0,0%,0,0,0.0,94.32%,5.09,0,26.32%,0,12,2,0
2023-04-30,3774,58,1.54%,70,0,0.0,6,17,5.71%,4.42%,42,78325.54000000001,906,81,0,1,80,37,379,0,0,0%,0,0,0.0,94.16%,5.10,0,26.32%,0,7,0,0
