统计时间,搜索曝光次数,搜索点击次数,搜索点击率,店铺访问人数,MC询盘人数,询盘个数,ATM咨询人数,近30日挂帐订单买家数,商机转化率(数据管家),商机转化率(星等级),近30日挂帐订单数,近30日实收信保金额,总商品数,有访问的商品数,有询盘的商品数,有订单的商品数,实力优品数,RTS商品数,当前15天（以上）零效果商品数,P4P曝光次数,P4P点击次数,P4P点击率,P4P消耗金额_分,P4P平均点击花费_分,P4P在线时长_分钟,及时回复率,平均回复时间_小时,最近一天RFQ报价数,最近30天报价被二次行动率,最近tips视频发布数,最近tips视频曝光数,最近tips视频有效播放数,最近tips视频引流商机数量
2023-05-02,3901,63,1.61%,70,2,3.0,13,17,8.57%,4.37%,42,78325.54000000001,906,87,3,0,89,37,348,0,0,0%,0,0,0.0,94.57%,4.81,0,23.53%,0,18,0,0
2023-05-03,3780,58,1.53%,68,0,0.0,20,15,5.88%,4.23%,30,26190.510000000002,906,68,0,0,88,37,350,0,0,0%,0,0,0.0,94.31%,4.90,3,25%,0,26,2,0
2023-05-04,3848,63,1.64%,83,0,0.0,18,17,7.23%,4.31%,32,83429.02,906,94,0,1,89,37,343,0,0,0%,0,0,0.0,94.13%,4.98,2,22.73%,0,14,1,0
2023-05-05,3418,62,1.81%,91,2,2.0,12,17,5.49%,4.28%,32,90628.27,906,91,1,0,91,37,345,0,0,0%,0,0,0.0,94.44%,4.88,0,22.73%,0,23,1,0
2023-05-06,3329,54,1.62%,64,0,0.0,14,16,9.38%,4.29%,31,83593.76000000001,909,52,0,0,92,37,349,0,0,0%,0,0,0.0,94.07%,4.95,0,27.27%,0,22,1,0
2023-05-07,3623,61,1.68%,72,2,2.0,10,16,5.56%,4.3%,31,83593.76,911,63,2,0,93,37,355,0,0,0%,0,0,0.0,94.23%,4.91,1,26.09%,0,8,1,0
2023-05-08,3573,65,1.82%,82,0,0.0,20,19,8.54%,4.4%,33,85196.76000000001,911,118,0,0,94,37,353,0,0,0%,0,0,0.0,93.92%,4.78,0,26.09%,0,7,0,0
2023-05-09,3549,60,1.69%,96,0,0.0,17,20,8.33%,4.25%,34,85914.16,911,95,0,0,94,37,343,0,0,0%,0,0,0.0,94.04%,4.53,0,29.41%,0,13,0,0
2023-05-10,3706,63,1.7%,75,1,1.0,12,19,2.67%,3.96%,35,84694.66,911,85,1,0,92,37,337,0,0,0%,0,0,0.0,93.97%,4.60,1,35.29%,0,22,1,0
2023-05-11,3775,66,1.75%,87,3,3.0,17,20,6.9%,3.97%,35,93105.45999999999,912,89,1,0,92,37,342,0,0,0%,0,0,0.0,94.13%,4.48,0,35.29%,0,28,0,0
2023-05-12,3473,50,1.44%,72,3,3.0,8,20,5.56%,3.99%,36,96960.45999999999,912,112,3,0,91,37,329,0,0,0%,0,0,0.0,94.21%,4.58,1,33.33%,0,11,2,0
2023-05-13,3461,37,1.07%,53,0,0.0,6,21,0%,3.78%,37,98531.45999999999,912,57,0,0,90,37,335,0,0,0%,0,0,0.0,94.17%,4.56,0,33.33%,0,25,2,0
2023-05-14,3953,72,1.82%,85,4,4.0,11,21,5.88%,3.74%,37,98531.45999999999,912,87,4,0,90,37,349,0,0,0%,0,0,0.0,93.66%,4.62,1,31.58%,0,12,3,0
2023-05-15,3500,60,1.71%,77,1,1.0,16,21,5.19%,3.83%,37,98531.46,912,78,1,0,90,37,354,0,0,0%,0,0,0.0,94.22%,4.32,0,31.58%,0,9,0,0
2023-05-16,4239,76,1.79%,93,1,1.0,11,21,5.38%,3.75%,37,98531.46,914,86,1,0,88,37,390,0,0,0%,0,0,0.0,94.37%,4.51,0,33.33%,0,19,1,0
2023-05-17,3702,46,1.24%,73,1,1.0,14,20,2.74%,3.72%,38,149569.47,914,88,1,0,87,37,393,0,0,0%,0,0,0.0,94.41%,4.57,0,33.33%,0,10,0,0
2023-05-18,4191,69,1.65%,85,4,4.0,18,20,10.59%,3.93%,38,146691.97,914,80,4,0,88,37,380,0,0,0%,0,0,0.0,94.62%,4.53,0,35.29%,0,47,1,0
2023-05-19,3430,46,1.34%,56,1,1.0,12,21,5.36%,3.87%,37,146704.97,914,52,1,1,87,37,345,0,0,0%,0,0,0.0,94.44%,4.53,1,38.89%,0,6,0,0
2023-05-20,3661,68,1.86%,81,1,1.0,6,21,3.7%,3.91%,37,146704.97,914,68,0,0,87,37,346,0,0,0%,0,0,0.0,92.88%,4.79,0,38.89%,0,8,0,0
2023-05-21,4150,73,1.76%,89,0,0.0,15,21,4.49%,3.94%,36,145020.97,914,83,0,0,88,37,338,0,0,0%,0,0,0.0,93.13%,4.79,1,36.84%,0,11,1,0
2023-05-22,4307,58,1.35%,87,1,1.0,21,22,6.9%,4.09%,39,150495.97,915,87,1,3,87,37,337,0,0,0%,0,0,0.0,93.57%,4.73,1,38.89%,0,18,0,0
2023-05-23,3533,48,1.36%,67,0,0.0,15,23,4.48%,3.98%,41,156493.47,915,76,0,0,88,37,348,0,0,0%,0,0,0.0,93.8%,4.66,0,38.89%,0,21,0,0
2023-05-24,3584,52,1.45%,59,1,1.0,19,24,10.17%,4.06%,40,156871.27000000002,914,67,0,0,89,37,348,0,0,0%,0,0,0.0,93.61%,4.69,2,35%,0,12,0,0
2023-05-25,3923,56,1.43%,78,0,0.0,18,24,6.41%,4.3%,40,156871.27,914,78,0,0,88,37,295,0,0,0%,0,0,0.0,93.69%,4.61,0,31.58%,0,44,1,0
2023-05-26,3350,52,1.55%,73,0,0.0,15,23,0%,4.12%,32,160794.28,914,79,0,0,88,37,281,0,0,0%,0,0,0.0,94.49%,4.42,1,31.58%,0,28,0,0
2023-05-27,3431,50,1.46%,69,1,1.0,12,22,5.8%,4.13%,31,158059.28,914,51,1,1,88,37,259,0,0,0%,0,0,0.0,94.74%,4.42,0,31.58%,0,19,0,0
2023-05-28,3602,49,1.36%,75,1,1.0,14,23,6.67%,4.19%,32,160429.78,911,79,1,0,88,37,254,0,0,0%,0,0,0.0,93.92%,4.60,2,33.33%,0,29,2,0
2023-05-29,3688,55,1.49%,76,2,2.0,15,24,9.21%,4.39%,34,161546.78,911,69,1,1,90,37,254,0,0,0%,0,0,0.0,94.12%,4.51,0,33.33%,0,18,1,0
2023-05-30,3358,44,1.31%,63,3,3.0,17,24,3.17%,4.38%,37,167252.79,913,55,4,2,90,37,256,0,0,0%,0,0,0.0,94.46%,4.44,1,31.58%,0,23,2,0
2023-05-31,3505,55,1.57%,73,1,2.0,11,24,2.74%,4.4%,37,167252.79,914,84,2,1,89,37,255,0,0,0%,0,0,0.0,94.31%,4.47,1,31.58%,0,15,1,0
