Keyword,Related,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
car parts,0.05,201000,100,1.26,0.45,2120000000,Navigational,"Site links, Reviews, Indented, Image, Video, Local pack, Related searches","1.00,1.00,0.82,1.00,1.00,0.82,1.00,0.82,0.82,1.00,1.00,1.00"
carid,0.05,165000,72,0.84,0.04,6730000,Navigational,"Site links, Reviews, Image, Knowledge panel, Related searches","1.00,0.81,0.81,0.81,0.81,0.67,0.81,0.67,0.54,0.67,0.54,0.54"
car-part,0.05,110000,80,1.26,0.45,5010000000,Navigational,"Site links, Reviews, Related searches","0.81,0.81,0.66,0.81,0.81,0.66,0.66,0.54,0.66,0.54,0.54,1.00"
autoparts,0.05,90500,100,0.82,0.35,103000000,Commercial,"Site links, Reviews, Indented, Image, Local pack, Related searches, Ads bottom","0.45,1.00,0.67,0.24,0.24,0.30,0.30,0.30,0.45,0.45,0.36,0.54"
car part,0.05,49500,86,1.26,0.45,4630000000,Navigational,"Site links, Reviews, Video, Related searches","0.81,0.81,0.81,0.67,0.81,0.67,0.67,0.67,0.44,1.00,1.00,1.00"
car id,0.05,40500,74,0.45,0.05,3100000000,Navigational,"Site links, Reviews, Indented, Image, Knowledge panel, Twitter carousel, Related searches","1.00,0.80,0.80,0.67,1.00,1.00,0.67,0.67,0.67,0.67,0.44,0.53"
car-parts,0.05,40500,100,1.26,0.45,2420000000,Navigational,"Site links, Reviews, Indented, Image, Video, Local pack, Related searches","1.00,1.00,0.81,1.00,1.00,0.66,0.66,0.54,1.00,0.54,0.54,0.81"
ebay auto parts,0.05,40500,76,0.43,0.96,64,Transactional,"Site links, Reviews, Image, Video, People also ask, Related searches","0.66,1.00,0.66,0.66,0.66,0.66,0.66,0.54,0.54,0.66,0.66,0.81"
auto part,0.05,22200,100,0.82,0.35,3120000000,Commercial,"Site links, Indented, Image, Image pack, Video carousel, Local pack, Related searches, Ads top, Ads bottom","0.36,0.54,0.54,0.36,0.54,0.81,1.00,0.36,0.81,0.24,0.36,0.36"
autoanything,0.05,22200,76,4.97,0.29,591000,Navigational,"Site links, Reviews, Indented, Image, Knowledge panel, Related searches, Ads top","0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.81,0.67,1.00,0.67,0.67"
parts,0.05,22200,100,0.77,0.12,8790000000,Commercial,"Site links, Indented, Instant answer, Image, Local pack, Top stories, Related searches","0.81,0.67,0.67,0.67,0.67,1.00,0.67,0.67,0.54,0.67,0.67,0.81"
car parts online,0.05,18100,100,0.99,0.96,1370000000,Commercial,"Site links, Reviews, Image, Video, People also ask, Related searches, Ads top, Ads bottom","1.00,1.00,1.00,1.00,1.00,0.81,0.81,0.81,0.81,0.81,1.00,1.00"
auto parts online,0.05,14800,100,0.73,0.98,1030000000,Commercial,"Site links, Reviews, Image, People also ask, Related searches, Ads bottom","1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
auto anything,0.05,12100,76,4.97,0.29,1560000000,Navigational,"Site links, Reviews, Knowledge panel, Related searches, Ads top","1.00,0.82,0.67,0.67,0.82,0.67,0.67,0.82,0.55,0.67,0.55,0.67"
automotive parts,0.05,12100,100,0.82,0.35,476000000,Commercial,"Site links, Indented, Image, Local pack, Related searches","0.81,1.00,1.00,1.00,1.00,1.00,1.00,0.66,0.29,0.81,1.00,0.36"
parts car,0.05,12100,100,1.26,0.45,7520000000,Commercial,"Site links, Reviews, Image, Local pack, Related searches, Ads bottom","0.54,0.54,0.81,1.00,0.81,0.54,0.81,0.23,0.44,0.36,0.44,0.44"
car accessories store,0.3,9900,72,0.62,0.64,455000000,Commercial,"Site links, Indented, Image, Video, Local pack, Related searches, Popular products","0.66,1.00,0.81,0.44,0.81,0.54,0.36,0.81,0.66,0.54,0.29,0.24"
auto part store,0.05,9900,100,0.54,0.33,70,Commercial,"Site links, Indented, Image pack, People also ask, Local pack, Related searches","0.54,0.36,0.44,0.44,0.54,1.00,0.54,0.36,0.66,0.81,0.54,0.44"
auto partes,0.05,9900,100,0.57,0.29,389000000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Local pack, Related searches, Ads bottom","0.29,0.44,0.29,0.36,0.44,0.44,0.66,1.00,0.24,0.19,0.13,0.44"
cars parts,0.05,9900,100,1.26,0.45,961000000,Navigational,"Site links, Reviews, Indented, Image, Local pack, Related searches","0.54,0.24,0.44,0.44,0.66,0.54,1.00,0.54,0.81,0.81,0.81,0.66"
parts for cars,0.1,8100,100,1.26,0.45,5830000000,Commercial,"Site links, Image, Image pack, Video, People also ask, Local pack, Related searches","0.54,0.30,0.54,1.00,0.10,0.54,0.54,0.44,0.54,0.54,0.09,0.12"
car parts store,0.05,8100,100,0.71,0.39,63,Commercial,"Site links, Indented, Image, Image pack, People also ask, Local pack, Related searches, Ads bottom","0.54,1.00,0.81,0.81,0.54,0.36,0.81,0.66,0.66,0.54,0.29,0.36"
mazda shop,0.05,8100,64,3.5,0.82,91900000,Navigational,"Site links, Indented, Image, People also ask, Local pack, Related searches, Ads top","1.00,1.00,0.81,0.30,0.54,0.02,0.67,0.01,0.00,0.00,0.00,0.00"
online auto parts,0.05,8100,100,0.73,0.98,1330000000,Commercial,"Site links, Reviews, People also ask, Knowledge panel, Related searches, Ads bottom","0.54,0.54,1.00,0.67,0.67,0.36,0.81,0.36,0.36,1.00,0.44,0.44"
car decorations,0.05,6600,46,0.25,1,962000000,Commercial,"Reviews, Indented, Image, Image pack, Video carousel, People also ask, Popular products","1.00,0.35,1.00,0.81,0.44,0.54,0.44,0.54,0.54,0.67,0.81,0.67"
car accesories,0.8,5400,80,0.63,1,664000000,Commercial,"Site links, Reviews, Image, Video, People also ask, Popular products, Ads top","0.82,0.82,1.00,0.82,0.16,0.36,0.30,0.36,0.23,0.36,0.43,0.30"
car decor,0.3,5400,56,0.25,1,251000000,Commercial,"Site links, Reviews, Indented, Image, Video, Related searches, Popular products","0.66,0.54,0.54,0.54,0.66,0.54,0.81,1.00,1.00,0.29,0.35,0.44"
auto accessories,0.25,5400,71,1.06,0.98,728000000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video, Local pack, Popular products","0.66,0.66,0.66,0.66,0.54,0.54,0.54,0.54,1.00,0.81,0.66,0.66"
aftermarket car parts,0.05,5400,84,0.54,0.84,67600000,Commercial,"Site links, Reviews, Indented, Image, People also ask, Related searches","0.67,0.67,0.67,0.82,0.82,0.55,0.67,0.82,0.82,1.00,1.00,1.00"
autopart,0.05,5400,100,0.59,0.27,91,Commercial,"Site links, Reviews, Image, Image pack, Video, Local pack, See results about, Related searches","0.54,0.66,0.66,1.00,1.00,0.81,0.66,0.66,0.81,0.81,0.54,0.66"
car parts used,0.05,5400,75,0.5,0.27,1790000000,Navigational,"Site links, Reviews, Indented, Image, Local pack, Related searches","0.36,0.81,0.54,0.54,0.54,1.00,0.66,0.29,0.44,0.36,0.29,0.54"
carid.com,0.05,5400,76,0.47,0.11,74,Navigational,"Site links, Reviews, Image pack, People also ask, Knowledge panel, Twitter carousel","1.00,1.00,0.81,0.81,0.81,1.00,0.54,0.81,1.00,0.81,0.66,0.81"
ebay car parts,0.05,5400,78,0.43,0.86,54,"Navigational, Transactional","Site links, Reviews, Image, Image pack, Video, People also ask, Related searches","1.00,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.67,0.79,0.67,0.79"
car accessories near me,0.25,4400,70,0.93,0.96,560000000,Transactional,"Site links, Reviews, Indented, Image, Image pack, Local pack, Related searches","0.81,0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.81,0.66,1.00"
cute car accessories,0.2,4400,58,0.27,1,84,Commercial,"Site links, Reviews, Image, Image pack, Video, Related searches, Popular products","0.55,0.55,0.82,1.00,0.55,0.55,0.55,0.55,0.55,0.55,0.67,0.67"
automotive parts store,0.05,4400,100,0.54,0.33,56,Commercial,"Site links, Indented, Image, Image pack, Video, People also ask, Local pack, Related searches","0.82,0.67,0.44,0.55,0.67,0.55,0.44,1.00,0.35,0.82,0.44,0.67"
ebay motor parts,0.05,4400,79,0.36,0.62,49,"Navigational, Transactional","Site links, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products","1.00,0.44,0.36,0.36,0.29,0.66,0.44,0.19,0.19,0.24,0.29,0.44"
ebay parts,0.05,4400,90,0.39,0.51,53,"Navigational, Transactional","Site links, Reviews, Image, Image pack, Video, People also ask, Related searches","0.81,1.00,1.00,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.00"
online car parts,0.05,4400,100,0.99,0.96,1740000000,Commercial,"Site links, Reviews, Video carousel, Related searches","0.36,0.29,0.29,0.29,0.44,1.00,0.36,0.29,0.29,0.54,0.44,0.24"
car interior accessories,0.2,3600,56,0.42,1,1090000000,Commercial,"Site links, Reviews, Image, Video, Related searches, Popular products, Shopping ads","0.67,0.81,0.23,1.00,0.81,0.44,0.67,0.67,0.67,0.23,0.23,0.30"
car auto parts,0.1,3600,100,1,0.57,888000000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Local pack, Related searches","0.44,0.81,0.66,0.44,1.00,0.81,1.00,0.66,0.81,0.81,0.66,0.29"
anything auto,0.05,3600,37,9,0.28,5400000000,Navigational,"Site links, Indented, Image, Video carousel, Local pack, Knowledge panel, Related searches, Ads bottom","1.00,1.00,1.00,0.67,0.81,0.44,0.67,0.44,0.53,0.67,0.44,0.53"
automobile parts,0.05,3600,100,0.82,0.35,330000000,Commercial,"Site links, Indented, Image, Image pack, Video carousel, Local pack, Related searches, Ads bottom","0.19,0.16,0.23,0.54,1.00,0.54,0.44,0.35,0.35,0.35,0.66,0.44"
mazda accessories,0.05,3600,50,0.32,0.91,122000000,Commercial,"Site links, Image, Related searches, Popular products, Ads bottom","1.00,0.81,0.81,0.81,0.81,0.65,0.54,0.54,0.81,0.81,0.54,0.65"
parts cars,0.05,3600,100,1.26,0.45,3050000000,Commercial,"Site links, Reviews, Indented, Image, Image pack, Video carousel, Local pack, Related searches","0.66,0.29,0.29,0.54,0.12,0.66,0.29,0.35,0.19,0.66,1.00,0.35"
best car accessories,0.3,2900,60,0.25,1,700000000,Commercial,"Site links, Reviews, Image, Video, Related searches, Popular products","0.53,0.66,0.53,0.53,0.53,0.44,0.53,0.53,1.00,0.53,0.44,0.53"
cool car accessories,0.1,2900,64,0.27,1,267000000,Commercial,"Reviews, Indented, Image, Video, People also ask, Related searches, Popular products","0.81,0.65,0.65,0.65,0.81,0.65,0.43,0.81,1.00,0.54,0.54,0.54"
