主图,ASIN,SKU,品牌,商品标题,商品主图,父体,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
,B09SYS5KPQ,Color: White,FEYOUN,"FEYOUN Key Fob Cover Compatible with Chevy Chevrolet Colorado Silverado Silverado Suburban Tahoe GMC Canyon Sierra 1500 2500 3500 HD TPU Remote Keyless Key Fob Case Protection Shell Accessories, White",https://images-na.ssl-images-amazon.com/images/I/41XdBe3CjOL._AC_US200_.jpg,B09V2SNFZZ,Automotive:Interior Accessories:Key Shells,Automotive,"9,186","6,393",70%,Key Shells,74,523,"-1,100%","3,122",-11%,5.97,,31%,3.22,281,6.50%,4.70,34,2022-02-20,FBA,10,4,1,,,,FBA,,,,Y,,,0.317 ounces,2.76 x 1.93 x 0.67 inches,2023-07-03
,B0BF17PN2M,Color: Red,Kirsnda,"Kirsnda for Chevrolet key fob cover case with keychain,Soft TPU key Shell/skin,4-Buttons fit GMC chevy Colorado Silverado Suburban Tahoe Silverado Remote Key Vehicle Accessories(Red)",https://images-na.ssl-images-amazon.com/images/I/41Ncvtvp8+L._AC_US200_.jpg,B0BF18QT4F,Automotive:Interior Accessories:Key Shells,Automotive,"10,324",437,4%,Key Shells,88,426,"12,200%","5,938",122%,13.94,,62%,3.22,63,5.87%,4.40,25,2022-09-11,FBA,10,5,1,Kirsnda,CN,"公司名称：Guangzhou Chuangyinka Trading Co., Ltd.",FBA,,,,Y,,,1.87 ounces,3 x 2.5 x 0.5 inches,2023-07-03
,B0BNHBXCHG,,SOYATER,SOYATER Leather Car Keychain Set for Chevrolet Silverado Colorado Tahoe Malibu Suburban Camaro Cruze Equinox Sonic r Men's and Women's Family Presents Keychain Keyring Lanyard Accessories (Black),https://m.media-amazon.com/images/I/41KUgwEx5RL._AC_US200_.jpg,B0BNHBXCHG,Automotive:Interior Accessories:Keychains,Automotive,"44,114","4,587",13%,Keychains,442,288,"-4,500%","3,450",-45%,11.98,,58%,3.22,37,0.00%,4.60,0,2022-11-27,FBA,7,1,1,yuxihongtaquminxiushangmaoyouxiangongsi,CN,"公司名称：yuxihongtaquminxiushangmaoyouxiangongsi
办公地址：
老观桥丽阳时代小区
巴中市
巴州区
四川省
636000
CN",FBA,,,Y,,,,1.76 ounces,5.71 x 2.2 x 0.55 inches,2023-07-03
,B09539X4D7,Size: For Colorado 15-22,Goodyear,"Goodyear Shatterproof in-Channel Window Deflectors for Trucks Chevrolet (Chevy) Colorado/GMC Canyon 2015-2022 Crew Cab, Rain Guards, Window Visors, Vent Deflector,Truck Accessories,4pcs.-GY003429LP",https://images-na.ssl-images-amazon.com/images/I/51dGyQvytnL._AC_US200_.jpg,B0C69R9GQ7,Automotive:Exterior Accessories:Deflectors & Shields:Side Window Wind Deflectors & Visors,Automotive,"15,964","-3,112",-19%,Side Window Wind Deflectors & Visors,51,283,"2,800%","24,335",28%,85.99,3,70%,12.67,252,6.01%,4.50,17,2021-05-16,FBA,9,6,2,,,,FBA,,Y,,Y,,goodyear window deflectors,4.24 pounds,41.9 x 12.1 x 1.8 inches,2023-07-03
,B0C2KCD999,Color: For Xfl Key Chain Jd,TLPSGOU,TLPSGOU Genuine Leather Car Keychain Keyring Accessories Compatible with Chevrolet Chevy Silverado Colorado Equinox Malibu Cruze Key Chain Family Present for Man and Woman Accessories,https://images-na.ssl-images-amazon.com/images/I/41OPDvkHsjS._AC_US200_.jpg,B0C7N9XVBZ,Automotive:Interior Accessories:Keychains,Automotive,"31,400","-13,078",-42%,Keychains,295,219,,"2,625",,11.99,,58%,3.22,10,4.11%,4.10,9,2020-05-02,FBA,7,6,1,hongdongxiandamengshangmaoyouxiangongsi43738,CN,"公司名称：hongdongxiandamengshangmaoyouxiangongsi
办公地址：
槐荫小区7号楼7单元827室
临汾市
洪洞县
山西省
041000
CN",FBA,,,,,,,0.317 ounces,6.22 x 2.24 x 0.47 inches,2023-07-04
,B08XZQ52CF,,Holust,Holust Genuine Leather Car Keychain Keyring Accessories Compatible with Chevrolet Chevy Silverado Colorado Equinox Malibu Cruze Key Chain Family Present for Man and Woman,https://m.media-amazon.com/images/I/41GCBjBUQrL._AC_US200_.jpg,B08XZQ52CF,Automotive:Interior Accessories:Keychains,Automotive,"98,762","-44,832",-51%,Keychains,941,128,"6,200%","1,534",62%,11.99,3,58%,3.22,121,4.69%,4.60,6,2021-03-03,FBA,7,1,1,MOEED KART LLC,US,"公司名称：MOEED KART LLC
办公地址：
98 Wadsworth Boulevard
Suite 127 PMB 5203
DENVER
CO
80226
US",FBA,,Y,,,,Keychains by Holust,1.76 ounces,6.14 x 3.46 x 0.35 inches,2023-07-03
,B0C2V5BT7V,,ANRODO,"ANRODO Leather Keychain Replacment for Chevrolet,2014-2018 Chevy Silverado Colorado 2015-2021 Colorado Series Keyring Present for Women and Men Key Chain Keychains with Logo Accessories",https://images-na.ssl-images-amazon.com/images/I/41SVAatTHEL._AC_US200_.jpg,B0C2V5BT7V,Automotive:Interior Accessories:Keychains,Automotive,"272,190","-247,535",-91%,Keychains,1929,111,,"1,441",,12.99,,55%,3.86,1,0.00%,5.00,0,2023-04-17,FBA,5,1,1,HATEEM INTERNATIONAL LLC STORE,US,"公司名称：HATEEM INTERNATIONAL LLC
办公地址：
3131 greenstone trl
Duluth
GA
30096
US",FBA,,,Y,,,,2.08 Ounces,5.83 x 3.35 x 1.22 inches,2023-06-28
,B0BXQ12WN6,Color: 71,Fivean,"Car Door Sill Protector for Cadillac ATS CTS EXT SRX XTS XLR Sedan ELR,Self-Adhesive Carbon Fiber Tape Anti Scratch Car Door Edge Guards Door Entry Guard Stickers, Inner Accessories…",https://images-na.ssl-images-amazon.com/images/I/51oDqTuuxeL._AC_US200_.jpg,B0BXQ3VBVL,Automotive:Interior Accessories:Door Entry Guard,Automotive,"67,834","36,783",54%,Automotive Door Entry Guard,161,98,"-2,300%","1,175",-23%,11.99,,53%,3.86,12,2.04%,3.60,2,2023-03-06,FBA,7,4,1,,,,FBA,,,,,,,2.39 ounces,6.14 x 2.99 x 0.94 inches,2023-07-04
,B088VN5RS3,,TN TrunkNets Inc,Truck Bed Envelope Style Mesh Cargo Net for Chevrolet Colorado and GMC Canyon 2015-2023 - Car Accessories - Premium Truck Bed Organizer - Vehicle Carrier Organizer for Chevrolet and GMC,https://m.media-amazon.com/images/I/61HHyObNQHL._AC_US200_.jpg,B088VN5RS3,Automotive:Exterior Accessories:Truck Bed & Tailgate Accessories:Cargo Nets,Automotive,"208,936","127,612",236%,Automotive Cargo Nets,526,90,"2,400%","2,695",24%,29.95,3,69%,4.75,155,5.56%,4.00,5,2020-05-18,FBA,7,1,2,TrunkNets Inc,US,公司名称：Trunknets LLC,FBA,,,,,,,12.8 ounces,7.8 x 5.1 x 2.5 inches,2023-07-03
,B0C4RMHB5B,Color: Keychain-c,aocotain,Genuine Leather Car Keychain Keyring Accessories Compatible with Chevrolet Chevy Silverado Colorado Tahoe Malibu Suburban Camaro Cruze Equinox Sonic Car Keychains Family Present for Man and Woman,https://images-na.ssl-images-amazon.com/images/I/41YKx53MWAL._AC_US200_.jpg,B0C4RTJTH4,Automotive:Interior Accessories:Keychains,Automotive,"466,474","-267,614",-57%,Keychains,463,75,,899,,11.99,,58%,3.22,,,,,2023-05-08,FBA,6,3,1,斛路电子商务有限公司,CN,"公司名称：lingaohuludianzishangwuyouxiangongsi
办公地址：
舞阳坝街道
湖北恩施学院
恩施土家族苗族自治州
恩施市
湖北省
445000
CN",FBA,,,,,,,1.13 ounces,5.31 x 2.28 x 0.67 inches,2023-06-27
,B0B5HNNT1B,Color: Black,WSAuto,WSAuto Key Fob Cover with Metal Keychain for Chevy Chevrolet Colorado Silverado Suburban Tahoe GMC Canyon Sierra 1500 2500 3500HD TPU Remote Keyless Key Fob Case Protection Shell Accessories Black,https://images-na.ssl-images-amazon.com/images/I/51bAi-IKR7L._AC_US200_.jpg,B0B5HNVNSV,Automotive:Interior Accessories:Key Shells,Automotive,"229,904","-170,613",-74%,Key Shells,1890,63,"-1,800%",629,-18%,9.99,,53%,3.22,34,1.59%,4.50,1,2022-06-29,FBA,8,4,1,WSAuto,CN,"公司名称：Guangzhouweishimaoyiyouxiangongsi
办公地址：
农林下路81号之
19B1-A1975（集群注册）
广州市
越秀区
广东省
510030
CN",FBA,,,,,,,1.44 ounces,5.59 x 4.61 x 0.59 inches,2023-06-30
