主图,ASIN,SKU,品牌,商品标题,商品主图,父体,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
,B01MRER777,,AntennaMastsRus,AntennaMastsRus - Short Replacement Rubber Antenna fits Ford F-150 (2009-2023) The Original 6 3/4 Inch Accessories - USA Stainless Steel Threading - Car Wash Proof - Internal Copper Coil,https://images-na.ssl-images-amazon.com/images/I/41sDSLdf74L._AC_US200_.jpg,B01MRER777,Automotive:Replacement Parts:Lighting & Electrical:Electrical,Automotive,"1,485",20,1%,Automotive Replacement Electrical Equipment,18,"1,999",-100%,"49,955",-1%,24.99,99,70%,3.86,"6,512",3.20%,4.70,64,2015-10-24,FBA,10,1,2,The Antenna Source,US,"公司名称：Bridgewood INC
电话号码：920-686-0644",FBA,,Y,,Y,,f150 antenna,1.13 ounces,8.11 x 1.69 x 1.34 inches,2023-07-04
,B071PCQQNL,,Ronin Factory,RONIN FACTORY Bullet Antenna for Ford F150 F250 F350 Super Duty Ford Raptor Ford Bronco Accessories Truck Ford F150 Accessories &amp; Dodge RAM - Anti-Theft Design - Short Replacement Antenna,https://images-na.ssl-images-amazon.com/images/I/41LOyV1dc9L._AC_US200_.jpg,B071PCQQNL,Automotive:Replacement Parts:Lighting & Electrical:Electrical,Automotive,"2,400",32,1%,Automotive Replacement Electrical Equipment,42,"1,590","1,400%","63,600",14%,40.00,326,75%,3.86,"7,613",3.21%,4.50,51,2017-06-05,FBA,7,1,1,,,,FBA,,Y,,Y,,50 cal antenna,3.84 ounces,0.5 x 0.5 x 4 inches,2023-07-03
,B08YYWJH8Q,Color: Black,PIMCAR,"PIMCAR Compatible with Ford 2015-2020 F150, 2017-2022 F250 F350 F450, 2018-2022 Expedition Center Console Organizer Insert Tray Pallet Storage Accessories (Work Great with The Factory Tray) - One Tray",https://images-na.ssl-images-amazon.com/images/I/51XK1nUBwBL._AC_US200_.jpg,B0B469KCVC,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"3,848",128,4%,Automotive Center Consoles,19,"1,062",500%,"15,813",5%,14.89,14,44%,6.10,672,4.05%,4.50,43,2021-03-14,NA,9,2,1,,,,NA,,Y,,Y,,Automotive Center Consoles by PIMCAR,0.65 pounds,13.1 x 4.7 x 2.2 inches,2023-07-04
,B0928MTSVD,Color: Black-Pu Leather,JDMCAR,"JDMCAR Center Console Cushion Compatible with 2015-2020 Ford F150 / 2017-2022 F250 F350 F450 and 2018-2023 Expedition Accessories, Customized PU Leather Armrest Cover Protector (Bucket Seat Only)",https://images-na.ssl-images-amazon.com/images/I/41NRGFYU45L._AC_US200_.jpg,B0C2H9P743,"Automotive:Replacement Parts:Body & Trim:Trim:Interior:Armrests, Parts & Accessories",Automotive,"4,075",487,12%,"Automotive Armrests & Accessories
Automotive Interior Accessories","15
809",983,200%,"35,378",2%,35.99,53,67%,6.39,"1,493",5.19%,4.80,51,2021-04-10,FBA,9,3,1,JDMCAR,CN,"公司名称：Guangzhouzhigongmaoyiyouxiangongsi
办公地址：
嘉禾街鹤泰路
五社通达创意园7号507房
广州市
白云区
广东省
510000
CN",FBA,,Y,,Y,,2018 f150 center console cover,1 pounds,15.6 x 12.3 x 3 inches,2023-07-04
,B0BRD2ZLJZ,Color: Ft-01,SDSHSM,"SDSHSM Genuine Leather Key Chain Suit for Ford Fusion Edge Explorer F150 F250 F350 F450 F550 KeyChain Key Ring Family Present,Accessories",https://m.media-amazon.com/images/I/41ODl6oyKfL._AC_US200_.jpg,B0C9XHP6VP,Automotive:Interior Accessories:Keychains,Automotive,"8,357","10,935",131%,Keychains,91,723,"-1,100%","8,668",-12%,11.99,,58%,3.22,177,22.54%,4.70,163,2022-10-13,FBA,7,5,1,,,,FBA,,Y,,,,Keychains by SDSHSM,0.634 ounces,5.87 x 1.54 x 0.47 inches,2023-07-04
,B096Z7VFP3,Size: F150 2015-2020,Proadsy,"Proadsy Front Windshield Sunshade Foldable Sun Shade Protector Custom Fit 2015-2020 Ford F-150 F150 Lariat, King Ranch, Platinum, XL XLT Limited Raptor Accessories 2023 Upgrade",https://images-na.ssl-images-amazon.com/images/I/41zgeEovFFS._AC_US200_.jpg,B09ZLB595C,Automotive:Interior Accessories:Sun Protection:Sunshades:Windshield Sunshades,Automotive,"4,668",943,20%,Automotive Windshield Sunshades,121,711,"13,300%","20,611",133%,28.99,5,64%,6.10,297,2.95%,4.50,21,2021-06-09,FBA,10,2,1,Proadsy Direct,CN,"公司名称：Lai Zengdi
办公地址：
No. 211, 2nd Floor, Building 2, No. 2, Shuiku Road
Nankeng Community, Bantian Street, Longgang District
Shenzhen
Guangdong
518000
CN",FBA,,Y,,,,Automotive Windshield Sunshades by Proadsy,12 ounces,13.19 x 11.77 x 1.85 inches,2023-07-04
,B0BNBVWJRK,Color: Black,Sinvanho,"Sinvanho Center Console Cover for Ford F150 F250 F350 F450 F550 2015-2022 with 40/20/40 Jump Seat, PU Leather Middle Console Cover Armrest Seat Box Lid Protective Cover Cushion Pad, Truck Accessories",https://images-na.ssl-images-amazon.com/images/I/4161xqX5eNL._AC_US200_.jpg,B0BWSVW3W8,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"5,614",-433,-7%,"Automobile Armrest Covers
Automotive Armrests
Automotive Center Consoles","5
18
36",677,"2,100%","20,303",21%,29.99,8,69%,4.75,147,4.73%,4.30,32,2022-11-24,FBA,10,4,1,Yize-us,CN,"公司名称：Shenzhen Yize Keji Youxian Gongsi
办公地址：
大浪街道浪口社区
华霆路78号2栋厂房5层东
深圳市
龙华区
广东省
518000
CN",FBA,,Y,Y,Y,,Automotive Center Consoles by Sinvanho,9.9 ounces,11.4 x 7.5 x 1.5 inches,2023-07-04
,B0BTBNSDCC,Color: for three seats,GEEDAR,GEEDAR Under Seat Storage Truck Tool Box Organizer for Truck Underseat Storage Ford F150 F250 F350 Dhevy Dilverado Accessories (3 compartment),https://images-na.ssl-images-amazon.com/images/I/41II2F+clRL._AC_US200_.jpg,B0C174G4PZ,Automotive:Interior Accessories:Consoles & Organizers:Under-Seat Consoles,Automotive,"9,384","-2,693",-30%,Under-Seat Consoles,4,578,400%,"23,114",4%,39.99,,66%,7.65,116,3.98%,4.40,23,2023-03-17,FBA,9,3,1,Geedar,CN,"公司名称：Qingdao wanguojinji dianzishangwu youxiangongsi
办公地址：
四流中路46号 B6-101
青岛市
李沧区
266041
CN",FBA,,Y,Y,Y,,Under-Seat Consoles by GEEDAR,3.43 pounds,12 x 49.5 x 5 inches,2023-07-04
,B0BD4SZQSM,Size: 21-23 F-150 Phone Holder,Karltys,Karltys Compatible with Cell Phone Holder Ford F-150 2021-2023 F150 Accessories Car Mobile Phone Holder Air Vent Mount for All 4-8Inch Phones Hands Free Thick Case Friendly Fully Adjustable Stand,https://images-na.ssl-images-amazon.com/images/I/41o3hn077lL._AC_US200_.jpg,B0BQBYK5XZ,Cell Phones & Accessories:Accessories:Automobile Accessories:Cradles,Cell Phones & Accessories,"9,253",-661,-7%,Cell Phone Automobile Cradles,358,508,-600%,"9,138",-6%,17.99,18,68%,4.24,170,4.33%,4.20,22,2022-09-04,FBA,10,11,1,HONGDIAN-US,CN,公司名称：XIE WEI,FBA,,,,Y,,,5.3 ounces,6.5 x 4.06 x 2.83 inches,2023-07-04
,B08C9ZQFR2,,CarQiWireless,"CarQiWireless Wireless Charger for F150 2009-2023, Center Console Organizer Box for Ford F150 Accessories F-150 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2015-2018",https://images-na.ssl-images-amazon.com/images/I/51Yx55q4BjL._AC_US200_.jpg,B08C9ZQFR2,Cell Phones & Accessories:Accessories:Chargers & Power Adapters,Cell Phones & Accessories,"8,333","4,699",71%,"Cell Phone Automobile Accessories
Cell Phone Chargers & Power Adapters","631
1480",494,100%,"24,695",1%,49.99,96,81%,5.69,"1,711",7.09%,4.10,35,2020-07-02,FBA,10,1,1,CarQiWireless,CN(HK),"公司名称：Hongkong Kingwei Network Co., Limited
办公地址：
FLAT C 9/F WINNING HOUSE 72-76 WING LOK STREET
SHEUNG WAN
HK
51800
HK",FBA,,,,Y,,,1.35 pounds,14.29 x 5.67 x 2.83 inches,2023-07-04
