主图,ASIN,SKU,品牌,商品标题,商品主图,父体,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
,B08VN4TQW8,Color: Pink,MECHCOS,Compatible with Ford Edge Escape Expedition Explorer Fusion Mustang Ranger F-150 F-250 Smart 3 4 5 Buttons Pink TPU Key Fob Cover Case Remote Holder Skin Protector Keyless Entry Sleeve Accessories,https://images-na.ssl-images-amazon.com/images/I/41xwV2A63cL._AC_US200_.jpg,B08XJSR6W8,Automotive:Interior Accessories:Keychains,Automotive,"16,906","-5,818",-34%,Keychains,136,418,"5,200%","4,999",52%,11.96,3,58%,3.22,"1,024",5.74%,4.70,24,2021-02-01,FBA,8,4,1,Mechcos,CN,"公司名称：Shenzhenshi Yuyuan Keji Youxiangongsi
办公地址：
民治街道民治大道567号优城(宜水商业广场）A栋1502号
深圳市
龙华新区
广东省
518000
CN",FBA,,Y,,,,Keychains by MECHCOS,0.317 ounces,4.25 x 3.19 x 0.75 inches,2023-07-03
,B09DKDLBNC,Size: for ford,CarQiWireless,"Auto Car Steering Wheel Tray for Ford F150 F250 F350 Transit Ranger Bronco Explorer Fusion Mustang Truck Accessories 2004-2023,for Laptop, Tablet, iPad Or Notebook Car Travel Table",https://images-na.ssl-images-amazon.com/images/I/51qEEhyQnmL._AC_US200_.jpg,B0B5GZGC6W,Automotive:Interior Accessories:Consoles & Organizers:Trays & Bags,Automotive,"13,415",843,6%,Automotive Trays & Bags,79,394,-200%,"7,876",-2%,19.99,11,54%,6.10,372,6.09%,4.20,24,2021-08-24,FBA,9,2,1,CarQiWireless,CN(HK),"公司名称：Hongkong Kingwei Network Co., Limited
办公地址：
FLAT C 9/F WINNING HOUSE 72-76 WING LOK STREET
SHEUNG WAN
HK
51800
HK",FBA,,,,Y,,,1.53 pounds,17.44 x 13.23 x 1.34 inches,2023-07-04
,B08VNN443C,Color: Black,MECHCOS,Compatible with Ford Edge Escape Expedition Explorer Fusion Mustang Ranger F-150 F-250 Smart 3 4 5 Buttons Black TPU Key Fob Cover Case Remote Holder Skin Protector Keyless Entry Sleeve Accessories,https://images-na.ssl-images-amazon.com/images/I/41+AIwNgotL._AC_US200_.jpg,B08XJSR6W8,Automotive:Interior Accessories:Keychains,Automotive,"11,391","1,444",13%,Keychains,85,381,"-1,900%","4,556",-19%,11.96,3,53%,3.86,"1,016",5.77%,4.70,22,2021-02-01,FBA,8,5,1,Mechcos,CN,"公司名称：Shenzhenshi Yuyuan Keji Youxiangongsi
办公地址：
民治街道民治大道567号优城(宜水商业广场）A栋1502号
深圳市
龙华新区
广东省
518000
CN",FBA,,Y,,,,Keychains by MECHCOS,0.317 ounces,3.82 x 3.15 x 0.87 inches,2023-06-27
,B09PTKZDQ3,Color: Black,PIMCAR,PIMCAR Compatible with 2019 2020 2021 2022 2023 Ford Ranger Center Console Organizer ABS Plastic Material Armrest Box Insert Tray Accessories (Not for 2023 Ranger XL/Raptor/Wildtrak)-Black Trim,https://images-na.ssl-images-amazon.com/images/I/51Hku+YAuVL._AC_US200_.jpg,B09WMDJFGC,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"12,428","1,227",10%,Automotive Center Consoles,129,360,"-1,100%","6,080",-11%,16.89,5,53%,5.40,480,9.17%,4.90,33,2022-01-05,FBA,10,3,1,PIMCAR,CN,"公司名称：guangzhouhuangannamaoyiyouxiangongsi
办公地址：
鹤龙街鹤边通达创意园西区二横路1号7号楼5楼506
广州市
白云区
广东省
510000
CN",FBA,,Y,,Y,,Automotive Center Consoles by PIMCAR,8.4 ounces,7 x 7 x 2.7 inches,2023-07-04
,B092ZDV42P,,JOJOMARK,JOJOMARK Compatible with Ford Ranger 2019 2020 2021 2022 2023 Accessories Center Console Organizer Interior Storage Box Armrest Secondary Storage Tray,https://images-na.ssl-images-amazon.com/images/I/51VJLtU5JxL._AC_US200_.jpg,B092ZDV42P,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"34,985","7,586",35%,Automotive Center Consoles,360,218,"2,900%","3,485",29%,15.99,,51%,5.40,390,6.42%,4.70,14,2020-10-07,FBA,9,1,1,JOJOMARK,CN,"公司名称：Shenzhen LianTaiying electronic Technology Co.,LTD
办公地址：
红星社区
红星国际新城一期2-31D
深圳市
宝安区松岗街道
广东
518000
CN",FBA,,Y,,Y,,Automotive Center Consoles by JOJOMARK,9.6 ounces,7.48 x 7.4 x 2.83 inches,2023-07-03
,B0B7WFK6NX,,PIMCAR,PIMCAR Compatible with 2019 2020 2021 2022 2023 Ford Ranger Center Console Cover Interior Accessories Custom PU Leather Armrest Cushion Protector Black (Not for 2023 Ranger XL/Raptor/Wildtrak),https://images-na.ssl-images-amazon.com/images/I/51NODZpPASL._AC_US200_.jpg,B0B7WFK6NX,"Automotive:Replacement Parts:Body & Trim:Trim:Interior:Armrests, Parts & Accessories:Armrests",Automotive,"19,142","21,286",111%,Automotive Armrests,64,160,700%,"3,678",7%,22.99,3,57%,6.39,92,9.38%,4.70,15,2022-07-27,FBA,9,1,1,PIMCAR,CN,"公司名称：guangzhouhuangannamaoyiyouxiangongsi
办公地址：
鹤龙街鹤边通达创意园西区二横路1号7号楼5楼506
广州市
白云区
广东省
510000
CN",FBA,,Y,,Y,,Automotive Armrests by PIMCAR,5.3 ounces,16.73 x 11.93 x 1.97 inches,2023-07-04
,B0C2VC57WM,,Autorder,Autorder Compatible with Dashboard Cover Mat Ford Ranger 1995-2011 /Ford Explorer 1995-2001 /Mazda B2300 B2500 B3000 B4000 1995-2008 Accessories Dash Cover Mat Flannel Sunshade Glare UV Rays Protector,https://m.media-amazon.com/images/I/41TVq0nzW4L._AC_US200_.jpg,B0C2VC57WM,Automotive:Interior Accessories:Covers:Dash Covers,Automotive,"141,216","-362,196",-93%,Interior Dash Covers,325,144,"11,500%","4,734",115%,32.88,13,66%,6.39,459,5.56%,4.20,8,2023-04-17,FBA,9,1,1,Autorder-US,CN,"公司名称：Guangzhou Huadi Auto Supplies Co., Ltd.
办公地址：
均禾街清湖苏元庄街三横路1号一栋2楼201
广州市
白云区
广东省
510440
CN",FBA,,,,Y,,,14 ounces,16.81 x 5.39 x 4.02 inches,2023-06-27
,B07XQNBZVD,Size: SuperCrew | Color: Gray Trim,CupHolderHero,"CupHolderHero for Ford Ranger Accessories 2019 2020 2021 2022 Interior Non-Slip Anti Dust Cup Holder Inserts, Center Console Mats, Door Pocket Liners 13-pc Set (SuperCrew – 5 Passenger) (Gray Trim)",https://m.media-amazon.com/images/I/51HfMyHwaoL._AC_US200_.jpg,B07XQL9SJ6,Automotive:Interior Accessories:Floor Mats & Cargo Liners:Floor Mats,Automotive,"87,641",232,1%,Automotive Floor Mats,755,143,"1,900%","4,458",19%,31.18,5,70%,4.75,371,0.00%,4.40,0,2019-09-22,FBA,10,7,1,CupHolderHero,US,"公司名称：Suma Brands Funding I, LLC
办公地址：
310 4th Ave S Suite 5010 PMB 95932
Minneapolis
MN
55415
US",FBA,,Y,,Y,,Automotive Floor Mats by CupHolderHero,14 ounces,16 x 8 x 0.25 inches,2023-07-03
,B081LDCY23,Color: Black,R RUIYA,Customized for 2019 2020 2021 2022 2023 Ford Ranger XL XLT Lariat Accessories Car Center Console Armrest Box Glove Secondary Storage Console Organizer Insert Tray with Coin and Glass Holder (Black),https://images-na.ssl-images-amazon.com/images/I/41hoIr6lzLL._AC_US200_.jpg,B09B25WXPJ,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"55,959","-5,355",-10%,"Glove Box Organizers
Automotive Center Consoles","105
468",101,"1,700%","1,713",17%,16.97,10,53%,5.40,"1,892",4.95%,4.70,5,2019-11-15,FBA,9,4,2,R RUIYA,CN,公司名称：Shenzhen shi Hua Hao dianzi tongxun youxian gongsi,FBA,,Y,,Y,,Automotive Center Consoles by R RUIYA,0.42 pounds,7.1 x 6.7 x 2.4 inches,2023-07-03
,B097DGBT3S,Color: Black Stitches,INTGET,INTGET Center Console Armrest Cover for Ford Ranger Accessories 2019 2020 2021 2022 2023 Interior Leather Middle Console Dog Seat Cover Arm Rest Box Lid Protector(Black Stitches),https://m.media-amazon.com/images/I/41FWFqqOe8S._AC_US200_.jpg,B098PZV2GF,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"39,342","29,591",75%,Automotive Center Consoles,339,99,-900%,"1,781",-9%,17.99,3,55%,5.40,362,2.02%,4.50,2,2021-06-16,FBA,9,4,1,Intget,CN,"公司名称：shen zhen shi ji yu wang luo ke ji you xian gong si
办公地址：
布吉街道西环路棕科云端大厦2栋B座1405
深圳
龙岗区
广东
518000
CN",FBA,,,,Y,,,4.2 ounces,14.69 x 9.61 x 1.02 inches,2023-06-28
