主图,ASIN,SKU,品牌,商品标题,商品主图,父体,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
,B09MW2XB6B,,MechanMagic,Key Fob Replacement Keyless Entry Remote Start Fits for GMC Sierra Chevrolet Silverado 1500 2500 3500 2014 2015 2016 2017 2018 2019 2020 GMC Canyon Chevy Colorado 2015-2021 M3N32337100 Chrome set of 1,https://images-na.ssl-images-amazon.com/images/I/41s7uN0VW+L._AC_US200_.jpg,B09MW2XB6B,Automotive:Interior Accessories:Anti-Theft:Keyless Entry Systems,Automotive,"5,418","1,332",25%,"Antitheft Keyless Entry Systems
Automotive Replacement Parts","21
1220",736,"2,300%","13,211",23%,17.95,19,66%,3.33,408,4.62%,4.30,34,2021-12-01,FBA,8,1,1,TotalKeylessRemote,CN,公司名称：shen zhen shi mai kai mai ji ke ji you xian gongsi,FBA,,Y,,,,gm 4 button key fob shell,0.07 pounds,4.8 x 4.21 x 0.63 inches,2023-07-04
,B08ZH7WCZY,,ANRDDO,"2 Wipers Factory Replacement For 2015-2017 Chevrolet Colorado, 2015-2018 GMC Canyon Original Equipment Windshield Wiper Blades Set - 22&quot;+18&quot; (Set of 2)",https://images-na.ssl-images-amazon.com/images/I/41Ou+gi7hdL._AC_US200_.jpg,B08ZH7WCZY,Automotive:Replacement Parts:Windshield Wipers & Washers:Wipers:Blades,Automotive,"72,162","-47,175",-65%,Automotive Replacement Windshield Wiper Blades,242,603,"-5,000%","14,465",-50%,23.99,37,62%,5.40,128,0.00%,4.60,0,2018-03-29,FBA,9,1,1,ANRDDO,CN,"公司名称：Duchang county kangda auto parts co. LTD.
办公地址：
芙蓉山工业园新妙湖大道71号
九江市
都昌县
江西省
332600
CN",FBA,,Y,,Y,,Automotive Replacement Windshield Wiper Blades by,12 ounces,17.52 x 11.93 x 0.98 inches,2023-07-05
,B09FSNX41P,,MechanMagic,Key Fob Replacement Compatible for Chevy Silverado GMC Sierra 1500 2500 HD 3500 HD 2014 2015 2016 2017 2018 2019 2020 Chevrolet Colorado GMC Canyon 2015-2021 Car Keyless Entry Remote Start Control,https://images-na.ssl-images-amazon.com/images/I/41CcuBMmvxL._AC_US200_.jpg,B09FSNX41P,Automotive:Interior Accessories:Anti-Theft:Keyless Entry Systems,Automotive,"7,240","1,668",23%,"Antitheft Keyless Entry Systems
Automotive Replacement Parts","33
1687",558,-400%,"16,712",-4%,29.95,13,74%,3.33,618,3.41%,4.30,19,2021-09-08,FBA,8,1,1,TotalKeylessRemote,CN,公司名称：shen zhen shi mai kai mai ji ke ji you xian gongsi,FBA,,Y,,,,2015 silverado remote,2.39 ounces,5.08 x 4.37 x 0.71 inches,2023-07-04
,B09SYS5KPQ,Color: White,FEYOUN,"FEYOUN Key Fob Cover Compatible with Chevy Chevrolet Colorado Silverado Silverado Suburban Tahoe GMC Canyon Sierra 1500 2500 3500 HD TPU Remote Keyless Key Fob Case Protection Shell Accessories, White",https://images-na.ssl-images-amazon.com/images/I/41XdBe3CjOL._AC_US200_.jpg,B09V2SNFZZ,Automotive:Interior Accessories:Key Shells,Automotive,"9,186","6,393",70%,Key Shells,74,523,"-1,100%","3,122",-11%,5.97,,31%,3.22,281,6.50%,4.70,34,2022-02-20,FBA,10,4,1,FEYOUN,CN,公司名称：Ningbo FeiYang DianZiShangWuYouXianGongSi,FBA,,,,Y,,,0.317 ounces,2.76 x 1.93 x 0.67 inches,2023-07-04
,B08L781BGK,Item Package Quantity: 1,Arruweer,Smart Key Fob Case Shell Fit for Chevy Chevrolet Silverado Colorado/GMC Sierra Canyon 2014 2015 2016 2017 M3N-32337100 Keyless Entry Remote Control Car Key Fob Cover Casing (1),https://images-na.ssl-images-amazon.com/images/I/41s8z841bgL._AC_US200_.jpg,B08L777L19,Automotive:Interior Accessories:Key Shells,Automotive,"12,974","-2,402",-19%,Key Shells,98,474,"-1,200%","4,735",-12%,9.99,7,53%,3.22,964,5.06%,4.40,24,2020-10-14,FBA,7,2,1,ALIWEI,CN,"公司名称：Shenzhen Aliwi Technology Co., Ltd",FBA,,Y,,,,Key Shells by Arruweer,1.13 ounces,4.75 x 3.1 x 0.5 inches,2023-07-04
,B0BLNCYKH5,Color: Black,Wei-Secret,"Metal Car Tire Valve Stem Caps,4 Pcs Car Tire Dust Caps Tire Valve Cover Work w Chevrolet Chevy Silverado Colorado Tahoe Malibu Suburban Camaro Cruze Equinox Sonic,Leak-Proof Car Tire Accessory,Black",https://images-na.ssl-images-amazon.com/images/I/41aUi+6DmJL._AC_US200_.jpg,B0BQGN9KPC,Automotive:Tires & Wheels:Accessories & Parts:Valve Stems & Caps:Stem Caps,Automotive,"11,256","2,557",23%,Tire Valve Stem Caps,50,457,0%,"4,565",0%,9.99,,53%,3.22,125,5.69%,4.40,26,2022-11-06,FBA,7,2,1,ZhangWenWenChengDuLu,CN,"公司名称：ChengDuLuTingDianMaoYiYouXianGongSi
办公地址：
人和春天5号梯013房
湛江市
开发区
广东省
524067
CN",FBA,,,,,,,0.282 ounces,3.86 x 2.24 x 0.35 inches,2023-07-04
,B0C2VK316R,Color: Suit for Chev--rt,MAKEER,Metal KeyChain KeyRing Replacement for Chevrolet Chevy Silverado Colorado Tahoe Malibu Suburban Camaro Cruze Equinox Sonic with car Logo keychains key chain Key Fob Accessory for Men Women(Sliver),https://images-na.ssl-images-amazon.com/images/I/410R1Uz0fQL._AC_US200_.jpg,B0C2VFKLKQ,Automotive:Interior Accessories:Keychains,Automotive,"8,628",-413,-5%,Keychains,123,446,"7,200%","5,343",72%,11.98,,56%,3.43,2,0.22%,3.00,1,2023-04-17,FBA,6,9,1,MARKETDOME,US,公司名称：MARKETDOME LLC,FBA,,,,,,,2.89 ounces,6.18 x 3.43 x 0.35 inches,2023-07-04
,B0BF17PN2M,Color: Red,Kirsnda,"Kirsnda for Chevrolet key fob cover case with keychain,Soft TPU key Shell/skin,4-Buttons fit GMC chevy Colorado Silverado Suburban Tahoe Silverado Remote Key Vehicle Accessories(Red)",https://images-na.ssl-images-amazon.com/images/I/41Ncvtvp8+L._AC_US200_.jpg,B0BF18QT4F,Automotive:Interior Accessories:Key Shells,Automotive,"10,738",437,4%,Key Shells,88,426,"12,200%","5,938",122%,13.94,,62%,3.22,62,5.87%,4.40,25,2022-09-11,FBA,10,5,1,Kirsnda,CN,"公司名称：Guangzhou Chuangyinka Trading Co., Ltd.",FBA,,,,Y,,,1.87 ounces,3 x 2.5 x 0.5 inches,2023-07-04
,B0C3HGP8YD,Color: For-xuefulan,Labstandard,"2PCS Car Cup Holder Coasters Compatible with Chevrolet Chevy Silverado Colorado Tahoe Malibu Suburban Camaro Cruze Equinox,Silicone Car Coasters for Cup Holder,Non-Slip Car Cup Mat for Cup Holder",https://images-na.ssl-images-amazon.com/images/I/41tqLhYY6mL._AC_US200_.jpg,B0C3HDHWYP,Automotive:Interior Accessories:Cup Holders,Automotive,"9,704","5,207",46%,Automotive Cup Holders,157,383,-800%,"4,209",-8%,10.99,,56%,3.22,5,0.78%,5.00,3,2023-04-24,FBA,7,3,1,wangshuxiadianpu,CN,公司名称：weixianxiayuemaoyiyouxiangongsi,FBA,,,Y,,,,0.634 ounces,6.1 x 3.43 x 0.28 inches,2023-07-04
,B09DGGG451,Size: For Colorado 15-22,Voron Glass,"Voron Glass in-Channel Extra Durable Rain Guards for Trucks Chevrolet (Chevy) Colorado/GMC Canyon 2015-2022 Crew Cab, Window Deflectors, Vent Window Visors, 4 Pieces - 220184",https://images-na.ssl-images-amazon.com/images/I/51Dn6YCnHdL._AC_US200_.jpg,B0C66B24F2,Automotive:Exterior Accessories:Deflectors & Shields:Side Window Wind Deflectors & Visors,Automotive,"15,439","3,230",21%,Side Window Wind Deflectors & Visors,44,347,"2,100%","20,816",21%,59.99,10,65%,12.25,291,8.36%,4.40,29,2021-08-23,FBA,8,6,3,Spark Lines Inc,US,"公司名称：Spark Lines Inc
办公地址：
1 S Corporate Drive, Suite C
RIVERDALE
NJ
07457
US",FBA,,Y,,,,channel vent visor,1.36 pounds,41.3 x 11.3 x 1.4 inches,2023-07-04
