主图,ASIN,SKU,品牌,商品标题,商品主图,父体,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
,B0864MTTRF,,Bosch Automotive,"BOSCH 6091C HEPA Cabin Air Filter - Compatible With Select Buick Enclave, LaCrosse, Cadillac ATS, CTS, Chevrolet Camaro, Cruze, Impala, Malibu, Silverado, Traverse, GMC Sierra, Terrain, Yukon + More",https://images-na.ssl-images-amazon.com/images/I/51CPGf+xSjL._AC_US200_.jpg,B0864MTTRF,Automotive:Replacement Parts:Filters:Air Filters & Accessories:Passenger Compartment Air Filters,Automotive,362,498,152%,Automotive Replacement Passenger Compartment Air Filters,6,"4,397","2,300%","54,083",23%,12.30,14,46%,4.75,"1,036",3.05%,4.80,134,2020-03-18,AMZ,9,1,6,Amazon,US,"公司名称：Amazon Export Sales LLC
办公地址：
345 Boren Ave N",AMZ,,Y,,Y,,Automotive Replacement Passenger Compartment Air F,5 ounces,9.6 x 8.3 x 1.4 inches,2023-07-04
,B07SQ32CBW,Color: Black,Yiz,"Dash Cover Custom Fit for 1999-2006 GMC Sierra/Chevy Chevrolet Silverado,2000-2006 GMC Yukon XL/Chevy Suburban Tahoe Avalanche,Dashboard Mat Pad (99-06, Black) Y44",https://images-na.ssl-images-amazon.com/images/I/416WRToNpGL._AC_US200_.jpg,B07SPMGXLQ,Automotive:Interior Accessories:Covers:Dash Covers,Automotive,"2,162",-559,-27%,Interior Dash Covers,2,"2,012",700%,"70,017",7%,34.80,53,63%,7.49,"3,922",4.52%,4.40,91,2019-04-27,FBA,7,8,2,yizhouauto,CN,"公司名称：linyiyizhouguojimaoyiyouxiangongsi
办公地址：
通达路与解放路交汇处银座中心D座2单元1008室
临沂
兰山
山东
276000
CN",FBA,Y,,,,,,1.1 pounds,16.57 x 11.93 x 2.6 inches,2023-07-05
,B01MY0NH60,,AntennaMastsRus,AntennaMastsRus - The Original 6 3/4 Inch is Compatible with Chevrolet Silverado 1500 (2006-2024) - Car Wash Proof Short Rubber Replacement Antenna Mast - Internal Copper Coil,https://images-na.ssl-images-amazon.com/images/I/41XhaZ1XlVL._AC_US200_.jpg,B01MY0NH60,Automotive:Replacement Parts:Lighting & Electrical:Electrical,Automotive,"1,696",188,11%,Automotive Replacement Electrical Equipment,23,"1,916",-400%,"47,880",-5%,24.99,138,72%,3.22,"8,060",5.11%,4.70,98,2016-12-20,NA,10,1,2,The Antenna Source,US,"公司名称：Bridgewood INC
电话号码：920-686-0644",NA,,Y,,Y,,2023 chevy silverado 1500 accessories,0.19 pounds,7.01 x 2.56 x 0.51 inches,2023-07-03
,B08KG1KYBK,Color: Full Set/Black,Aierxuan,"Aierxuan Seat Covers for Truck Chevy Chevrolet Silverado GMC Sierra Pickup 2007-2023 1500 2500HD 3500HD Trail Boss Z71 Crew Double Extended Cab Waterproof Leather Protectors (Full Set, Black)",https://images-na.ssl-images-amazon.com/images/I/51txvrtZ9zL._AC_US200_.jpg,B08KG7D13D,Automotive:Interior Accessories:Seat Covers & Accessories:Seat Covers,Automotive,"2,885",-743,-29%,Automotive Seat Covers,40,"1,647",400%,"329,383",4%,199.99,273,75%,20.23,"2,782",3.89%,4.50,64,2020-09-29,FBA,9,12,1,YI Tai,CN,"公司名称：Yi tai-Luo you cheng
办公地址：
银泰城8号楼3013室
台州市
椒江区洪家街道
浙江省
318000
CN",FBA,,Y,,Y,,Automotive Seat Covers by Aierxuan,14 pounds,25 x 6 x 21 inches,2023-07-05
,B08X43NJDM,,Obaee,"Obaee Driver Side Power Master Window Switch, Compatible with Chevy Silverado/Chevrolet Traverse/HHR/2007-2013 GMC Sierra/Yukon/Buick Enclave Replace OE 20945129 25789692",https://images-na.ssl-images-amazon.com/images/I/41Q2zRfU22S._AC_US200_.jpg,B08X43NJDM,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Interior Switches:Power Window,Automotive,"2,669",-996,-32%,Automotive Power Window Switches,1,"1,551",-700%,"23,094",-7%,14.89,9,58%,4.08,"1,480",5.61%,4.60,87,2021-02-22,FBA,10,1,1,Aygaiyigu,CN,"公司名称：Guangzhou Aiyigu Garment CO.,LTD",FBA,Y,Y,,Y,,Automotive Power Window Switches by Obaee,4.2 ounces,2.6 x 2.1 x 5.7 inches,2023-07-04
,B07411WTHZ,,AA Ignition,"HVAC Blend Door Actuator - Replaces 89018365, 604-106, 52402588 - Compatible with Chevrolet, Chevy, GMC 1994-2012 - Silverado 1500 and 2500, Tahoe, Sierra - HVAC Blend Control Actuator",https://images-na.ssl-images-amazon.com/images/I/31k9gQurFiL._AC_US200_.jpg,B07411WTHZ,Automotive:Replacement Parts:Engine Cooling & Climate Control:Air Conditioning:Heater Blend Door Levers,Automotive,"3,036",763,25%,Automotive Replacement Heater Blend Door Levers,1,"1,295","1,100%","32,362",11%,24.99,151,69%,4.08,"3,916",2.63%,4.50,34,2017-07-16,FBA,10,1,1,GWA Auto Parts,US,"公司名称：GWA Auto Parts LLC
电话号码：561-342-1501
办公地址：
155 Federal St
Ste 702
Boston
MA
02210
US",FBA,Y,,,Y,,,220.46 pounds,4.7 x 2.4 x 0.5 inches,2023-07-04
,B07M87Q543,,Bosch Automotive,"BOSCH 6076C HEPA Cabin Air Filter - Compatible With Select Cadillac Escalade, Chevrolet Silverado, Suburban, Tahoe, GMC Sierra, Yukon, Yukon XL",https://images-na.ssl-images-amazon.com/images/I/51CPGf+xSjL._AC_US200_.jpg,B07M87Q543,Automotive:Replacement Parts:Filters:Air Filters & Accessories:Passenger Compartment Air Filters,Automotive,"1,894","1,398",74%,Automotive Replacement Passenger Compartment Air Filters,32,"1,268","3,800%","23,546",38%,18.57,818,56%,5.40,736,1.03%,4.70,13,2018-12-18,FBM,9,1,4,Newparts,US,"公司名称：Newparts, Inc.
办公地址：
231 Hogan Rd
GORDONSVILLE
TN
38563
US",FBM,,,,Y,,,0.1 pounds,11 x 9.8 x 1.4 inches,2023-07-05
,B08FMVTMKH,Size: For Silverado 1500 19-23,Voron Glass,"Voron Glass in-Channel Extra Durable Rain Guards for Trucks Chevrolet (Chevy) Silverado/GMC Sierra 1500 2019-2022 Crew Cab, Window Deflectors, Vent Window Visors, 4 Pieces - 220089",https://images-na.ssl-images-amazon.com/images/I/5100MrSRaaL._AC_US200_.jpg,B0C865YWH3,Automotive:Exterior Accessories:Deflectors & Shields:Side Window Wind Deflectors & Visors,Automotive,"5,264","-1,111",-21%,Side Window Wind Deflectors & Visors,3,"1,109",600%,"66,528",6%,59.99,44,65%,12.25,"2,071",5.95%,4.30,66,2020-06-10,FBA,8,6,2,Spark Lines Inc,US,"公司名称：Spark Lines Inc
办公地址：
1 S Corporate Drive, Suite C
RIVERDALE
NJ
07457
US",FBA,Y,Y,,,,hood visor bug deflector,1.02 pounds,41.3 x 11.4 x 1.4 inches,2023-07-04
,B01I89CPFM,Size: Front Driver Side (LH),A-Premium,A-Premium Front Driver Side Power Window Regulator w/Motor Replacement for Chevrolet Silverado Tahoe GMC Yukon XL Sierra Escalade Pickup Truck SUV 2000-2006,https://images-na.ssl-images-amazon.com/images/I/41u1o7yzvaL._AC_US200_.jpg,B0BHLFPQTS,Automotive:Replacement Parts:Window Regulators & Motors:Window Regulator & Motor Assemblies,Automotive,"3,236",-415,-11%,Automotive Replacement Window Regulator & Motor Assemblies,1,"1,100","-1,300%","51,689",-13%,46.99,71,58%,12.67,"5,707",3.64%,4.60,40,2016-07-09,FBA,10,2,3,PremiumpartsWhosale,CN(HK),"公司名称：CENTURY HUATENG NETWORK OVERSEAS LIMITED
办公地址：
FLAT/RM 02, 7/F, SPA CENTRE
NO. 53-55 LOCKHART ROAD
WAN CHAI
HongKong
999077
HK",FBA,Y,,,Y,,,0.01 ounces,25.4 x 11.6 x 3.5 inches,2023-07-05
,B0814M7S3N,Color: Black 2014-2018,Moonlinks,Moonlinks Bed Rail Stake Pocket Covers Compatible with 2014-2018 GMC Sierra 1500 and Chevrolet Silverado Stake Pocket Hole Plug Covers 1500/2500/2500HD/3500HD(Set of 2),https://images-na.ssl-images-amazon.com/images/I/51ZYJJh4l-L._AC_US200_.jpg,B08GLDG92T,Automotive:Exterior Accessories:Truck Bed & Tailgate Accessories:Tonneau Covers,Automotive,"3,861","1,387",54%,Truck Tonneau Covers,6,963,-500%,"9,620",-5%,9.99,39,46%,3.86,"4,347",5.92%,4.30,57,2019-11-05,FBA,10,4,1,Moonlinks,CN,"公司名称：Shenzhen Ju Ming Jia Xing Industrial Co., Ltd.
办公地址：
西丽万科云城三期6栋2505
深圳市
南山区
广东
518000
CN",FBA,Y,Y,,Y,,Truck Tonneau Covers by Moonlinks,3.2 ounces,4.84 x 4.65 x 1.34 inches,2023-07-04
