主图,ASIN,SKU,品牌,商品标题,商品主图,父体,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
,B07QG3X6NH,Style: Weatherbeater,Husky Liners,"Husky Liners - Weatherbeater | Fits 2015 - 2023 Ford F-150 SuperCrew Cab (includes 22 - 23 Lightning Models) w/o Fold Flat Storage, Front &amp; 2nd Row Liners - Black, 3 pc. | 94041",https://images-na.ssl-images-amazon.com/images/I/41XvEVeTkRL._AC_US200_.jpg,B0BKR9J96V,Automotive:Interior Accessories:Floor Mats & Cargo Liners:Floor Mats,Automotive,"1,554",233,15%,Automotive Floor Mats,13,"1,905",500%,"238,105",5%,124.99,212,63%,27.37,"14,422",5.93%,4.80,113,2019-04-09,AMZ,10,3,5,Amazon,US,"公司名称：Allied Exhaust Systems, Inc.
电话号码：605-368-9645
办公地址：
Po Box 2004
Benicia
CA
94510
US",AMZ,,Y,,Y,,Automotive Floor Mats by Husky Liners,13.9 pounds,37 x 32 x 2 inches,2023-07-04
,B07Q62NHFY,,Husky Liners,"Husky Liners - Custom Fit Sunshade | 2015 - 2023 Ford F-150 (includes 22-23 Lightning SuperCrew) 2017 - 2023 F-250, F-350, Silver | 97007",https://images-na.ssl-images-amazon.com/images/I/31wNgQIMcbL._AC_US200_.jpg,B07Q62NHFY,Automotive:Interior Accessories:Sun Protection:Sunshades:Windshield Sunshades,Automotive,"2,824",66,2%,Automotive Windshield Sunshades,85,"1,076","6,100%","56,307",61%,52.33,21,62%,11.83,"1,400",2.32%,4.60,25,2019-04-01,AMZ,8,1,2,Amazon,,,AMZ,,Y,,Y,,Automotive Windshield Sunshades by Husky Liners,3.04 pounds,40.5 x 8 x 2.5 inches,2023-07-04
,B08L44X6NZ,,BAK,BAK BAKFlip MX4 Hard Folding Truck Bed Tonneau Cover | 448339 | Fits 2021 - 2023 Ford F-150 (incl. Raptor/Lightning) 5' 7&quot; Bed (67.1&quot;),https://images-na.ssl-images-amazon.com/images/I/515n5K409aL._AC_US200_.jpg,B08L44X6NZ,Automotive:Exterior Accessories:Truck Bed & Tailgate Accessories:Tonneau Covers,Automotive,"33,813","-2,797",-8%,Truck Tonneau Covers,79,585,"-1,400%","643,500",-14%,"1,119.00",25,77%,89.98,332,0.00%,4.60,0,2017-12-14,FBM,9,1,4,Truck Ya!,US,"公司名称：Brody Allen Mossbarger
办公地址：
1362 Dos Hermanos Glen
ESCONDIDO
CA
92027
US",FBM,,Y,,Y,,Truck Tonneau Covers by BAK,61.9 pounds,69.1 x 23.2 x 7.4 inches,2023-07-04
,B00RPGWE9C,,Husky Liners,"Husky Liners - Weatherbeater | Fits 2015 - 2023 Ford F-150 SuperCrew/SuperCab ( 22 - 23 Lightning Model) | Front Row Liner, Black | 18361",https://images-na.ssl-images-amazon.com/images/I/41Ccc54XmIL._AC_US200_.jpg,B00RPGWE9C,Automotive:Interior Accessories:Floor Mats & Cargo Liners:Floor Mats,Automotive,"11,958","-1,680",-14%,Automotive Floor Mats,139,508,800%,"45,714",8%,89.99,64,63%,19.39,"1,410",7.09%,4.80,36,2015-01-02,AMZ,9,1,7,Amazon,US,公司名称：Archer Logistics Inc.,AMZ,,Y,,Y,,Automotive Floor Mats by Husky Liners,2.63 pounds,"1""L x 1""W x 1""Th",2023-07-04
,B08L479JGJ,,BAK,BAK BAKFlip G2 Hard Folding Truck Bed Tonneau Cover | 226339 | Fits 2021 - 2023 Ford F-150 (incl. Raptor/Lightning) 5' 7&quot; Bed (67.1&quot;),https://images-na.ssl-images-amazon.com/images/I/51uNk280KpL._AC_US200_.jpg,B08L479JGJ,Automotive:Exterior Accessories:Truck Bed & Tailgate Accessories:Tonneau Covers,Automotive,"298,370","-99,415",-33%,Truck Tonneau Covers,329,485,200%,"480,150",2%,"1,049.95",3,76%,89.98,23,0.00%,4.20,0,2020-10-11,FBM,9,1,5,Western Wild Motors,US,"公司名称：M4 Auto Performance LLC
电话号码：469-478-9844
办公地址：
6801 E Parker RD
Allen
TX
75002
US",FBM,,Y,,Y,,Truck Tonneau Covers by BAK,59.9 pounds,68 x 23 x 23 inches,2023-07-05
,B07D9L2HPP,,3W,"3W Floor Mats Fit for Ford F150/F-150 Lightning SuperCrew Cab 2015-2023, TPE All Weather Custom Fit Car Accessories 1st and 2nd Row Full Set Car Liners Black (Not for Fold Flat Storage &amp; Vinyl Floor)",https://images-na.ssl-images-amazon.com/images/I/41dt8rf4rAL._AC_US200_.jpg,B09MDGNYMC,Automotive:Interior Accessories:Floor Mats & Cargo Liners:Floor Mats,Automotive,"21,918","-5,497",-25%,Automotive Floor Mats,190,432,"1,800%","56,155",18%,126.99,31,64%,26.95,443,6.02%,4.60,26,2018-05-24,FBA,10,1,1,3W Auto Accessory,US,"公司名称：3W Auto Accessory Inc
办公地址：
29-24 213th street
BAYSIDE
NY
11360
US",FBA,,Y,,Y,,Automotive Floor Mats by 3W,16.46 pounds,40 x 22 x 5 inches,2023-07-04
,B0896RQ7VT,Style: Front & Rear Rows,LASFIT,"LASFIT Floor Mats Fit for 2015-2023 Ford F-150/ F150 Lightning SuperCrew Cab (Not Fit Rear Seat with Under-Seat Fold Flat Storage), All Weather TPE Car Liners",https://images-na.ssl-images-amazon.com/images/I/41WbIIWtJZL._AC_US200_.jpg,B0BN414N94,Automotive:Interior Accessories:Floor Mats & Cargo Liners:Floor Mats,Automotive,"12,050","-2,411",-24%,Automotive Floor Mats,93,418,-500%,"48,901",-5%,116.99,28,64%,24.85,638,3.59%,4.80,15,2020-05-26,FBA,9,2,1,JUST Auto,CN,"公司名称：shenzhenshizhizhikejiyouxiangongsi
办公地址：
xinanjiedaowenhuishequqianjinyilu265hao
taihuadasha2-13H
深圳市
广东
518000
CN",FBA,,Y,,Y,,Automotive Floor Mats by LASFIT,17.84 pounds,39 x 28 x 4.5 inches,2023-07-04
,B0B5Y9MFCK,,ESI,"ESI Ultimate Tailgate Seal with Taper Seal Compatible with All Ford Model Years F150, F250, F350, F450, Ford Raptor and Ford Lightning",https://images-na.ssl-images-amazon.com/images/I/31dSa6ddl6L._AC_US200_.jpg,B0B5Y9MFCK,Automotive:Replacement Parts:Body & Trim:Trim:Weather Stripping,Automotive,"20,798",-80,0%,Automotive Weather Stripping,26,348,"1,200%","10,074",12%,28.95,,66%,5.40,46,2.30%,4.10,8,2022-07-05,FBA,8,1,2,"Extruded Solutions, Inc.",US,"公司名称：Extruded Solutions Inc
电话号码：630-871-6450
办公地址：
1185 W Hawthorne Ln
WEST CHICAGO
IL
60185
US",FBA,,Y,Y,,,Automotive Weather Stripping by ESI,12.3 ounces,11.38 x 10.91 x 1.65 inches,2023-07-04
,B09YJ6PKFN,Size: Rear | Color: Black,BASELAYER,"BaseLayer Rear Floor Mat Liner for Ford F-150 Trucks - Custom Fitted Waterproof Floor Mat for 2015+ F-150 Vehicles, F-150 Lightning, Durable All-Weather Mat - Made in USA (Gray)",https://images-na.ssl-images-amazon.com/images/I/21cJxzqp-vL._AC_US200_.jpg,B0BVTG4V4P,Automotive:Interior Accessories:Floor Mats & Cargo Liners:Floor Mats,Automotive,"24,548",-395,-2%,Automotive Floor Mats,174,286,"2,000%","28,585",20%,99.95,9,47%,38.37,110,4.20%,4.80,12,2022-04-20,FBA,2,5,1,Salex Organizers,US,"公司名称：Salex Products, Inc
办公地址：
1300 Tower Road
WINNETKA
IL
60093
US",FBA,,,,Y,,,14.82 pounds,37.5 x 61 x 0.5 inches,2023-07-04
,B08LCKS8SV,Size: For F-150 SuperCrew 2015-2023,Optimal Co,Dark Tinted Tape-On Side Window Deflector Visors Rain Guards Compatible with Ford F150 SuperCrew (Crew cab) 2015-2023 XL XLT Lariat King Ranch Platinum Limited Lightning 2018 2019 2020 2021 2022,https://images-na.ssl-images-amazon.com/images/I/41cYrSHiWcL._AC_US200_.jpg,B0C7Q2MSJG,Automotive:Exterior Accessories:Deflectors & Shields:Side Window Wind Deflectors & Visors,Automotive,"11,502","14,713",128%,Side Window Wind Deflectors & Visors,25,231,"7,200%","13,626",72%,58.99,9,65%,11.83,438,0.00%,4.30,291,2020-10-17,FBA,10,4,1,Optimal Co,CN(TW),"公司名称：Exnovatek Co., Ltd.
办公地址：
249-1 Changshou Rd.
Guishan Dist.
Taoyuan City
333
TW",FBA,,Y,,Y,,f150 lightning,2.64 pounds,46.4 x 8 x 1.4 inches,2023-07-04
