主图,ASIN,SKU,品牌,商品标题,商品主图,父体,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
,B09CCSFQRD,Size: F150 Pickup Truck 1997-2023,MAXRACING,MAXRACING Short Aluminum Antenna Compatible with Ford F150 Pickup Truck 1997-2023,https://images-na.ssl-images-amazon.com/images/I/41JJQVuBZDL._AC_US200_.jpg,B0C8Y2F4W7,Automotive:Replacement Parts:Switches & Relays:Relays:Antenna,Automotive,387,-22,-5%,Automotive Replacement Antenna Relays,1,"4,383",-700%,"87,616",-7%,19.99,25,68%,3.40,"2,482",1.87%,4.30,82,2021-08-10,NA,10,63,1,POISON SCORPION,CN,"公司名称：guangzhou hengshangda wang luo ke ji youxiangongsi
办公地址：
广园西路岗头大街9号610房
广州市
越秀区
广东省
510400
CN",NA,Y,Y,,Y,,Automotive Replacement Antenna Relays by MAXRACING,4.2 ounces,5 x 2.44 x 0.75 inches,2023-07-05
,B0BFBYKCCF,Color: American Flag,EcoAuto,EcoAuto Bullet Antenna Replacement for Dodge Ram &amp; Ford F150 F250 F350 Super Duty Ford Raptor Bronco Trucks - Anti-Theft Design - Radio Antenna for Truck 1990 - Current (American Flag),https://images-na.ssl-images-amazon.com/images/I/41qPBxcnX3L._AC_US200_.jpg,B0BFBZ8ZWK,Automotive:Exterior Accessories:Antenna Toppers,Automotive,"1,008",-110,-11%,Antenna Toppers,1,"3,055","1,800%","67,179",18%,21.99,24,70%,3.22,482,3.04%,4.60,93,2022-09-07,FBA,10,8,1,EcoAuto,US,公司名称：Import Global LLC,FBA,,Y,Y,Y,,Antenna Toppers by EcoAuto,2.89 ounces,7.48 x 3.31 x 0.75 inches,2023-07-05
,B07M8J9LND,,Bosch Automotive,"BOSCH 6081C HEPA Cabin Air Filter - Compatible With Select Ford Expedition, F-150, F-250 Super Duty, F-350 Super Duty, F-450 Super Duty, F-550 Super Duty, Lincoln Navigator",https://images-na.ssl-images-amazon.com/images/I/51CPGf+xSjL._AC_US200_.jpg,B07M8J9LND,Automotive:Replacement Parts:Filters:Air Filters & Accessories:Passenger Compartment Air Filters,Automotive,"1,040",-111,-11%,Automotive Replacement Passenger Compartment Air Filters,14,"2,840","2,800%","57,282",28%,19.97,12,57%,5.69,"1,488",1.58%,4.80,45,2018-12-18,AMZ,9,1,5,Amazon,US,"公司名称：Newparts, Inc.
办公地址：
231 Hogan Rd
GORDONSVILLE
TN
38563
US",AMZ,,,,Y,,,6.2 ounces,11.4 x 10.2 x 1.8 inches,2023-07-04
,B073W7NBXX,,big-autoparts,"big-autoparts 2 Replacement Keyless Entry Remote Key Fob Clicker Transmitter for Ford 1998-2016 F-150 F-250 F-350, Mazda, Mercury, Lincoln - 3 Button,black",https://images-na.ssl-images-amazon.com/images/I/414hzbtDM9L._AC_US200_.jpg,B073W7NBXX,Automotive:Interior Accessories:Anti-Theft:Keyless Entry Systems,Automotive,"1,537",330,21%,"Antitheft Keyless Entry Systems
Automotive Replacement Parts","2
332","2,203","-1,800%","22,007",-18%,9.99,59,45%,3.97,"5,108",7.67%,4.40,169,2017-07-10,FBA,9,1,1,Big-Autoparts,CN,"公司名称：Xuan Zhou
办公地址：
天琅二街2号705房
广州
黄埔区
广东
510700
CN",FBA,Y,Y,,Y,,remote key fob replacement,1.44 ounces,4.13 x 2.2 x 0.94 inches,2023-07-04
,B01MRER777,,AntennaMastsRus,AntennaMastsRus - Short Replacement Rubber Antenna fits Ford F-150 (2009-2023) The Original 6 3/4 Inch Accessories - USA Stainless Steel Threading - Car Wash Proof - Internal Copper Coil,https://images-na.ssl-images-amazon.com/images/I/41sDSLdf74L._AC_US200_.jpg,B01MRER777,Automotive:Replacement Parts:Lighting & Electrical:Electrical,Automotive,"1,485",20,1%,Automotive Replacement Electrical Equipment,18,"1,999",-100%,"49,955",-1%,24.99,99,70%,3.86,"6,512",3.20%,4.70,64,2015-10-24,FBA,10,1,2,The Antenna Source,US,"公司名称：Bridgewood INC
电话号码：920-686-0644",FBA,,Y,,Y,,f150 antenna,1.13 ounces,8.11 x 1.69 x 1.34 inches,2023-07-04
,B01LZA8UUN,Size: 5.5ft Bed | Pattern Name: T1 Soft Roll-Up | Configuration: 2015-2020 F-150,Tyger Auto,"Tyger Auto T1 Soft Roll Up Truck Bed Tonneau Cover Compatible with 2015-2020 Ford F-150 | Styleside 5.5' Bed | TG-BC1F9029, Black",https://images-na.ssl-images-amazon.com/images/I/51xAfaI2pSL._AC_US200_.jpg,B0BV9LFBT7,Automotive:Exterior Accessories:Truck Bed & Tailgate Accessories:Tonneau Covers,Automotive,"1,509",447,32%,Truck Tonneau Covers,1,"1,913","1,900%","395,991",19%,207.00,749,71%,29.13,"16,142",3.19%,4.70,61,2016-09-25,FBM,9,14,3,MaxMate Depot,US,"公司名称：Tyger Auto Inc.
电话号码：866-340-3038
办公地址：
1313 E. Maple Street
STE 201-565
BELLINGHAM
WA
98225
US",FBM,Y,Y,,Y,,Truck Tonneau Covers by Tyger Auto,220.46 pounds,73.4 x 7.5 x 2.9 inches,2023-07-05
,B07QG3X6NH,Style: Weatherbeater,Husky Liners,"Husky Liners - Weatherbeater | Fits 2015 - 2023 Ford F-150 SuperCrew Cab (includes 22 - 23 Lightning Models) w/o Fold Flat Storage, Front &amp; 2nd Row Liners - Black, 3 pc. | 94041",https://images-na.ssl-images-amazon.com/images/I/41XvEVeTkRL._AC_US200_.jpg,B0BKR9J96V,Automotive:Interior Accessories:Floor Mats & Cargo Liners:Floor Mats,Automotive,"1,554",233,15%,Automotive Floor Mats,13,"1,905",500%,"238,105",5%,124.99,212,63%,27.37,"14,422",5.93%,4.80,113,2019-04-09,AMZ,10,3,5,Amazon,US,"公司名称：Allied Exhaust Systems, Inc.
电话号码：605-368-9645
办公地址：
Po Box 2004
Benicia
CA
94510
US",AMZ,,Y,,Y,,Automotive Floor Mats by Husky Liners,13.9 pounds,37 x 32 x 2 inches,2023-07-04
,B07S14KDJW,Color: Black,RUXIFEY,"RUXIFEY LED License Plate Lights Tag Light Lamp Assembly Compatible with Ford F150 F250 F350 Super Duty Ranger Explorer Bronco Excursion Expedition, 6500K Black, Pack of 2",https://images-na.ssl-images-amazon.com/images/I/41-cfsQ0jpL._AC_US200_.jpg,B0B2QVZFP8,Automotive:Lights & Lighting Accessories:Accent & Off Road Lighting:License Plate Lights,Automotive,"1,941",97,5%,Automotive License Plate Light Assemblies,6,"1,796",-800%,"23,330",-8%,12.99,11,55%,3.86,"3,557",5.29%,4.40,95,2019-06-06,FBA,9,2,1,RUXIFEY,CN,"公司名称：SHENZHENZHIFEISHANGWUYOUXIANGONGSI
办公地址：
祠堂坊18栋304
深圳市
福田区
广东省
518000
CN",FBA,,Y,,Y,,Automotive License Plate Light Assemblies by RUXIF,1.9 ounces,4.41 x 2.44 x 1.85 inches,2023-07-05
,B071PCQQNL,,Ronin Factory,RONIN FACTORY Bullet Antenna for Ford F150 F250 F350 Super Duty Ford Raptor Ford Bronco Accessories Truck Ford F150 Accessories &amp; Dodge RAM - Anti-Theft Design - Short Replacement Antenna,https://images-na.ssl-images-amazon.com/images/I/41LOyV1dc9L._AC_US200_.jpg,B071PCQQNL,Automotive:Replacement Parts:Lighting & Electrical:Electrical,Automotive,"2,962",-719,-20%,Automotive Replacement Electrical Equipment,53,"1,561","1,500%","62,440",15%,40.00,326,75%,3.86,"7,613",3.20%,4.50,50,2017-06-05,FBA,7,1,1,RoninFactory,US,"公司名称：Ronin Factory LLC
办公地址：
3030 Robert Trent Jones Lane
Unit 225
LAS VEGAS
NV
89141
US",FBA,,Y,,Y,,ford raptor accessories,3.84 ounces,0.5 x 0.5 x 4 inches,2023-07-05
,B09YTK9NPG,Size: Large size (15 ?''-16'') | Color: A-Black,West Llama,"West Llama Customized Auto Car Steering Wheel Cover for Ford F-150, F-250, F-350, Expedition (Black)",https://images-na.ssl-images-amazon.com/images/I/51e8xc1x5XL._AC_US200_.jpg,B09YTFDJPV,Automotive:Interior Accessories:Steering Wheels & Accessories:Steering Accessories,Automotive,"2,510",-140,-5%,"Steering Wheel Accessories
Steering Wheel Covers","19
34","1,465","1,200%","29,285",12%,19.99,10,58%,5.40,282,3.62%,4.50,53,2022-04-25,FBA,9,15,1,West Llama Auto,CN,公司名称：Guang Zhou Chuang Yue Mao Yi You Xian Gong Si,FBA,,Y,,Y,,Steering Wheel Covers by West Llama,12 ounces,11.42 x 4.25 x 3.78 inches,2023-07-05
