主图,ASIN,SKU,品牌,商品标题,商品主图,父体,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
,B073TV3JV6,Size: 1 Pack,BougeRV,BougeRV 2 Inch Trailer Hitch Cover Tube Cover Plug Cap Rubber Fits 2 Inch Receivers Class 3 4 5 for Toyota Ford Jeep Chevrolet Nissan Dodge Ram Porsche Mercedes Benz Polaris Ranger ATV UTV Polaris,https://images-na.ssl-images-amazon.com/images/I/41OI6B1C23L._AC_US200_.jpg,B08K7BZF2S,Automotive:Exterior Accessories:Towing Products & Winches:Hitch Accessories:Hitch Plugs,Automotive,"1,002",71,7%,"Towing Hitch Plugs
Towing Hitch Covers","1
1","2,692",300%,"18,817",3%,6.99,14,27%,4.08,"6,813",3.12%,4.60,84,2017-07-08,FBA,9,4,1,BougeRV,CN,"公司名称：GuangZhouBoJuXinXiKeJiYouXianGongSi
电话号码：1-669-232-7427",FBA,Y,Y,,Y,,Towing Hitch Plugs by BougeRV,3.2 ounces,3.2 x 3 x 2 inches,2023-07-04
,B07S14KDJW,Color: Black,RUXIFEY,"RUXIFEY LED License Plate Lights Tag Light Lamp Assembly Compatible with Ford F150 F250 F350 Super Duty Ranger Explorer Bronco Excursion Expedition, 6500K Black, Pack of 2",https://images-na.ssl-images-amazon.com/images/I/41-cfsQ0jpL._AC_US200_.jpg,B0B2QVZFP8,Automotive:Lights & Lighting Accessories:Accent & Off Road Lighting:License Plate Lights,Automotive,"1,941",97,5%,Automotive License Plate Light Assemblies,6,"1,796",-800%,"23,330",-8%,12.99,11,55%,3.86,"3,557",5.29%,4.40,95,2019-06-06,FBA,9,2,1,RUXIFEY,CN,"公司名称：SHENZHENZHIFEISHANGWUYOUXIANGONGSI
办公地址：
祠堂坊18栋304
深圳市
福田区
广东省
518000
CN",FBA,,Y,,Y,,Automotive License Plate Light Assemblies by RUXIF,1.9 ounces,4.41 x 2.44 x 1.85 inches,2023-07-05
,B06XS2K18C,,USARemote,"Key Fob Keyless Entry Remote fits Ford, Lincoln, Mercury, Mazda F150 F250 F350 Escape Expedition Explorer Ranger (and More), Set of 2",https://images-na.ssl-images-amazon.com/images/I/51bEiO8GfYL._AC_US200_.jpg,B06XS2K18C,Automotive:Interior Accessories:Anti-Theft:Keyless Entry Systems,Automotive,"3,389",721,19%,"Antitheft Keyless Entry Systems
Automotive Replacement Parts","5
708","1,207",500%,"13,216",5%,10.95,152,49%,3.97,"7,095",5.47%,4.20,66,2017-03-20,FBA,8,1,3,USAREMOTE,US,"公司名称：Wholesale-24-7 LLC
办公地址：
1 Industrial Way West
Building E Suite F
Eatontown
NJ
07724
US",FBA,,Y,,,,ford key fob cover,0.06 pounds,1.3 x 0.5 x 2 inches,2023-07-04
,B07N8HLV3R,,VIPMOTOZ,VIPMOTOZ Bright White SMD LED License Plate Light Compatible with Ford F150 F250 F350 Super Duty Ranger Pickup Explorer Bronco Excursion Expedition Rear Bumper Tag Lamp Housing Assembly,https://images-na.ssl-images-amazon.com/images/I/41vQRVOowqS._AC_US200_.jpg,B07N8HLV3R,Automotive:Lights & Lighting Accessories:Accent & Off Road Lighting:License Plate Lights,Automotive,"4,348",40,1%,Automotive License Plate Light Assemblies,17,"1,035","1,000%","13,361",10%,12.91,13,55%,3.86,"2,019",6.28%,4.60,65,2019-01-29,FBA,9,1,1,VIPMOTOZ,US,"公司名称：VIP Lightz Inc.
电话号码：1-844-884-7847
办公地址：
18351 Colima Rd #91
Rowland Heights
CA
91748
US",FBA,,Y,,Y,,Automotive License Plate Light Assemblies by VIPMO,2.11 ounces,4.33 x 2.48 x 1.93 inches,2023-07-05
,B0796N8RCT,,Partsam,Partsam Red/White 12 LED Smoke Lens Chrome Housing Tail High Mount 3rd Third Brake Light Cargo Lamp Waterproof Replacement for Ford F-250 F-350 F-450 F-550 Super Duty 1999-2016 /Ford Ranger 1993-2011,https://images-na.ssl-images-amazon.com/images/I/41H0jnFvO5L._AC_US200_.jpg,B0796N8RCT,"Automotive:Lights & Lighting Accessories:Lighting Assemblies & Accessories:Brake & Tail Light Assemblies, Parts & Accessories:High Mount Stop Lights",Automotive,"6,669","-2,524",-36%,Automotive High Mount Stop Light Assemblies,3,829,-400%,"28,177",-4%,33.99,53,73%,4.24,"3,074",5.67%,4.50,47,2018-01-21,FBA,9,1,1,partsam,US,"公司名称：AutoStoa LLC
电话号码：408-326-0280
办公地址：
2900 N. MacArthur Drive, Suite 150
Tracy
CA
95376
US",FBA,Y,Y,,Y,,Automotive High Mount Stop Light Assemblies by Par,9.9 ounces,11.5 x 2.6 x 2.52 inches,2023-07-04
,B07W6DFZTC,,LESAUCE,"LESAUCE LED License Plate Light Tag Lamp Assembly Replacement For Ford F-150 F-250 F-350 F-450 F-550 Superduty Ranger Pickup Truck Explorer Bronco Excursion Expedition, DC12V 6000K White, Pack of 2",https://images-na.ssl-images-amazon.com/images/I/41SCyf9Qq3L._AC_US200_.jpg,B07W6DFZTC,Automotive:Lights & Lighting Accessories:Accent & Off Road Lighting:License Plate Lights,Automotive,"5,248","-2,406",-29%,Automotive License Plate Light Assemblies,18,721,-600%,"9,365",-6%,12.99,13,55%,3.86,"3,145",4.58%,4.10,33,2019-08-05,FBA,9,1,2,LESAUCE LIGHTING,CN,"公司名称：ShenZhenLiPengDianZiShangWuYouXianGongSi
办公地址：
BanTianJieDaoBuLongLuHongShengYuanGongYeYuan C Dong 502
ShenZhenShiLongGangQu
Guangdong
518000
CN",FBA,,Y,,Y,,Automotive License Plate Light Assemblies by LESAU,1.44 ounces,5.08 x 2.44 x 1.73 inches,2023-07-04
,B07T46MDZC,,HUSUKU,Steering Wheel Mounted Cruise Control Switch Button Kit Replacement Fit for Ford 1998-2003 Ranger 2001-2005 Explorer Sport Trac F150 Mercury Mountaineer Mazda B3000 F87Z9C888BB (Black),https://images-na.ssl-images-amazon.com/images/I/41rn01JbpfL._AC_US200_.jpg,B07T585QHB,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Interior Switches:Cruise Control,Automotive,"8,399","-1,863",-22%,Automotive Cruise Control Switches,1,681,0%,"13,613",0%,19.99,14,65%,4.08,"1,787",7.20%,4.50,49,2019-06-17,FBA,9,1,1,RenDian,CN,"公司名称：ShenZhen RenDian E-Commerce Co., Ltd",FBA,Y,Y,,Y,,Automotive Cruise Control Switches by HUSUKU,4.16 Ounces,4.21 x 3.9 x 2.4 inches,2023-07-05
,B09BJF1T1T,Size: 8 ENDS Door Latch Cable Repair Kit,YMHHefy,"8 ENDS Door Latch Cable Repair Kit Compatible with Ford F-150, F-250, F-350, E-series, Ranger, Expedition, Excursion, Navigator (Four Cables - 6 Standard 2 Locking Cam) Aluminum",https://images-na.ssl-images-amazon.com/images/I/41ON+k7EJ4L._AC_US200_.jpg,B09CTMF2R3,Automotive:Replacement Parts:Body & Trim:Body:Doors,Automotive,"7,406",-302,-4%,Automotive Doors,13,660,"7,500%","6,586",75%,9.98,8,53%,3.22,589,3.18%,4.40,21,2021-07-29,FBA,9,4,1,YHeshop,CN,"公司名称：Guangzhou Yinghe e-commerce Co., Ltd",FBA,,Y,,Y,,ford ranger rear door repair kit,1.13 ounces,3.35 x 2.2 x 0.59 inches,2023-07-04
,B00I8ISKDA,,ECOGARD,"ECOGARD XC35518C Premium Cabin Air Filter with Activated Carbon Odor Eliminator Fits Lexus LS430 2001-2006, SC430 2002-2010, GS300 2001-2005, GS430 2001-2005 | Ford Ranger 2019-2020",https://images-na.ssl-images-amazon.com/images/I/41Y5JTCC3IL._AC_US200_.jpg,B00I8ISKDA,Automotive:Replacement Parts:Filters:Air Filters & Accessories:Passenger Compartment Air Filters,Automotive,"9,474","-3,202",-34%,Automotive Replacement Passenger Compartment Air Filters,114,651,"2,100%","8,189",21%,12.58,,47%,4.75,991,2.92%,4.80,19,2014-02-03,AMZ,8,1,4,Amazon,US,"公司名称：NJ
办公地址：
610 Plum Street
TRENTON
NJ
08638
US",AMZ,,Y,,,,2019 ford ranger cabin air filter,10.2 ounces,11.6 x 9 x 2.3 inches,2023-06-26
,B09J25GN2T,Size Name: 8Pcs,VKVXCLON,"Door Latch Cable Repair Kit Latch Lock Cable Ends Compatible with Ford F150 F250 F350, E-Series, Ranger, Expedition, Excursion, Navigator (8Pcs)",https://images-na.ssl-images-amazon.com/images/I/61JgvnIcVWL._AC_US200_.jpg,B09LHF9LPX,Automotive:Replacement Parts:Body & Trim:Body:Doors,Automotive,"9,980","-1,579",-16%,Automotive Doors,13,566,400%,"5,648",4%,9.98,,53%,3.22,297,4.06%,4.40,23,2021-10-08,FBA,9,3,1,Woclon,CN,公司名称：Guangzhou yunjinyue xinxi keji youxiangongsi,FBA,,Y,,Y,,door latch cable repair kit ford,1.13 ounces,2.95 x 1.61 x 0.63 inches,2023-07-04
