主图,ASIN,SKU,品牌,商品标题,商品主图,父体,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
,B0C16HLFSJ,Color: Bd-.4,Labstandard,"for GMC Car Cup Holder Coaster,Cup Holder Insert Coaster for GMC Sierra Denali Canyon Terrain Yukon Jimmy Acadia,Anti Slip Car Cup Coaster for Audi Interior Accessories,Black",https://images-na.ssl-images-amazon.com/images/I/51YGCnBFkhL._AC_US200_.jpg,B0C16GFZXV,Automotive:Interior Accessories:Cup Holders,Automotive,"3,977","1,815",49%,Automotive Cup Holders,63,"1,023","21,300%","12,265",213%,11.99,,58%,3.22,17,1.08%,4.80,11,2023-03-31,FBA,7,3,1,GOGEBAKAN,US,公司名称：HKODYB OCERD INC,FBA,,Y,Y,,,Automotive Cup Holders by Labstandard,0.81 ounces,"2.75""L x 2.75""W",2023-07-05
,B07DQD19Y1,Color: Black Trim,JDMCAR,JDMCAR Compatible with Center Console Tray Chevy Colorado/GMC Canyon Accessories 2015-2020 2021 2022,https://images-na.ssl-images-amazon.com/images/I/51cUJcEHlpL._AC_US200_.jpg,B09LS1WL9S,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"8,027","-3,000",-37%,Automotive Center Consoles,56,793,-800%,"13,473",-8%,16.99,55,53%,5.40,"7,088",9.96%,4.80,79,2018-06-10,FBA,9,2,1,JDMCAR,CN,公司名称：Guangzhouzhigongmaoyiyouxiangongsi,FBA,,Y,,Y,,Automotive Center Consoles by JDMCAR,0.58 pounds,9.4 x 6.5 x 2.8 inches,2023-07-04
,B0C38SW8SF,Color: Gc-red,MIGUOER,"MIGUOER Genuine Leather Car Keychain for GMC Sierra Denali Canyon Terrain Yukon Jimmy Acadia,Car Key Chain Ring for Men and Woean (Red)",https://images-na.ssl-images-amazon.com/images/I/41wb6IqgQ9L._AC_US200_.jpg,B0BZRS6W5Z,Automotive:Interior Accessories:Keychains,Automotive,"6,518","-1,399",-18%,Keychains,57,747,"3,000%","8,956",30%,11.99,,58%,3.22,135,3.08%,4.50,23,2023-04-21,FBA,8,4,2,ROWISE LLC,US,"公司名称：ROWISE LLC
办公地址：
13395 VOYAGER PKWY
STE 130 PMB 2135
COLORADO SPRINGS
CO
80921
US",FBA,,,,,,,1.13 ounces,6.97 x 2.4 x 0.39 inches,2023-07-04
,B09MW2XB6B,,MechanMagic,Key Fob Replacement Keyless Entry Remote Start Fits for GMC Sierra Chevrolet Silverado 1500 2500 3500 2014 2015 2016 2017 2018 2019 2020 GMC Canyon Chevy Colorado 2015-2021 M3N32337100 Chrome set of 1,https://images-na.ssl-images-amazon.com/images/I/41s7uN0VW+L._AC_US200_.jpg,B09MW2XB6B,Automotive:Interior Accessories:Anti-Theft:Keyless Entry Systems,Automotive,"5,418","1,332",25%,"Antitheft Keyless Entry Systems
Automotive Replacement Parts","21
1220",736,"2,300%","13,211",23%,17.95,19,66%,3.33,408,4.62%,4.30,34,2021-12-01,FBA,8,1,1,TotalKeylessRemote,CN,公司名称：shen zhen shi mai kai mai ji ke ji you xian gongsi,FBA,,Y,,,,gm 4 button key fob shell,0.07 pounds,4.8 x 4.21 x 0.63 inches,2023-07-04
,B08ZH7WCZY,,ANRDDO,"2 Wipers Factory Replacement For 2015-2017 Chevrolet Colorado, 2015-2018 GMC Canyon Original Equipment Windshield Wiper Blades Set - 22&quot;+18&quot; (Set of 2)",https://images-na.ssl-images-amazon.com/images/I/41Ou+gi7hdL._AC_US200_.jpg,B08ZH7WCZY,Automotive:Replacement Parts:Windshield Wipers & Washers:Wipers:Blades,Automotive,"72,162","-47,175",-65%,Automotive Replacement Windshield Wiper Blades,242,603,"-5,000%","14,465",-50%,23.99,37,62%,5.40,128,0.00%,4.60,0,2018-03-29,FBA,9,1,1,ANRDDO,CN,"公司名称：Duchang county kangda auto parts co. LTD.
办公地址：
芙蓉山工业园新妙湖大道71号
九江市
都昌县
江西省
332600
CN",FBA,,Y,,Y,,Automotive Replacement Windshield Wiper Blades by,12 ounces,17.52 x 11.93 x 0.98 inches,2023-07-05
,B09FSNX41P,,MechanMagic,Key Fob Replacement Compatible for Chevy Silverado GMC Sierra 1500 2500 HD 3500 HD 2014 2015 2016 2017 2018 2019 2020 Chevrolet Colorado GMC Canyon 2015-2021 Car Keyless Entry Remote Start Control,https://images-na.ssl-images-amazon.com/images/I/41CcuBMmvxL._AC_US200_.jpg,B09FSNX41P,Automotive:Interior Accessories:Anti-Theft:Keyless Entry Systems,Automotive,"7,240","1,668",23%,"Antitheft Keyless Entry Systems
Automotive Replacement Parts","33
1687",558,-400%,"16,712",-4%,29.95,13,74%,3.33,618,3.41%,4.30,19,2021-09-08,FBA,8,1,1,TotalKeylessRemote,CN,公司名称：shen zhen shi mai kai mai ji ke ji you xian gongsi,FBA,,Y,,,,2015 silverado remote,2.39 ounces,5.08 x 4.37 x 0.71 inches,2023-07-04
,B0BW4PW651,Color: A,aocotain,2 PCS Car Cup Holder Insert Coaster Interior Accessories Silicone Anti Slip Cup Mat for GMC Terrain Acadia Yukon Canyon Sierra Savana (2.75&quot; Diameter),https://images-na.ssl-images-amazon.com/images/I/41YWS+C-y6L._AC_US200_.jpg,B0C4RC69XV,Automotive:Interior Accessories:Cup Holders,Automotive,"246,016","-219,807",-89%,Automotive Cup Holders,585,555,"-3,100%","5,544",-31%,9.99,,53%,3.22,33,2.34%,4.80,13,2023-03-13,NA,8,4,1,斛路电子商务有限公司,CN,"公司名称：lingaohuludianzishangwuyouxiangongsi
办公地址：
舞阳坝街道
湖北恩施学院
恩施土家族苗族自治州
恩施市
湖北省
445000
CN",NA,,Y,,,,Automotive Cup Holders by aocotain,1.48 ounces,"2.75""L x 2.75""W",2023-06-29
,B09SYS5KPQ,Color: White,FEYOUN,"FEYOUN Key Fob Cover Compatible with Chevy Chevrolet Colorado Silverado Silverado Suburban Tahoe GMC Canyon Sierra 1500 2500 3500 HD TPU Remote Keyless Key Fob Case Protection Shell Accessories, White",https://images-na.ssl-images-amazon.com/images/I/41XdBe3CjOL._AC_US200_.jpg,B09V2SNFZZ,Automotive:Interior Accessories:Key Shells,Automotive,"9,186","6,393",70%,Key Shells,74,523,"-1,100%","3,122",-11%,5.97,,31%,3.22,281,6.50%,4.70,34,2022-02-20,FBA,10,4,1,FEYOUN,CN,公司名称：Ningbo FeiYang DianZiShangWuYouXianGongSi,FBA,,,,Y,,,0.317 ounces,2.76 x 1.93 x 0.67 inches,2023-07-04
,B019NUGJ5M,Size: 5ft Bed | Pattern Name: T3 Soft Tri-Fold | Configuration: 2015-2022 Colorado / Canyo,Tyger Auto,Tyger Auto T3 Soft Tri-Fold Truck Bed Tonneau Cover Compatible with 2015-2022 Chevy Colorado / GMC Canyon | Fleetside 5'2&quot; Bed (62&quot;) | TG-BC3C1039,https://images-na.ssl-images-amazon.com/images/I/51iV8m1IU3L._AC_US200_.jpg,B0BV88374L,Automotive:Exterior Accessories:Truck Bed & Tailgate Accessories:Tonneau Covers,Automotive,"13,322",-687,-5%,Truck Tonneau Covers,25,495,"1,000%","109,395",10%,221.00,318,66%,42.57,"5,264",7.07%,4.80,35,2015-12-20,AMZ,9,10,2,Amazon,US,"公司名称：Tyger Auto Inc.
电话号码：866-340-3038
办公地址：
1313 E. Maple Street
STE 201-565
BELLINGHAM
WA
98225
US",AMZ,,Y,,Y,,Truck Tonneau Covers by Tyger Auto,28.01 pounds,63.9 x 22.1 x 2.1 inches,2023-07-04
,B08L781BGK,Item Package Quantity: 1,Arruweer,Smart Key Fob Case Shell Fit for Chevy Chevrolet Silverado Colorado/GMC Sierra Canyon 2014 2015 2016 2017 M3N-32337100 Keyless Entry Remote Control Car Key Fob Cover Casing (1),https://images-na.ssl-images-amazon.com/images/I/41s8z841bgL._AC_US200_.jpg,B08L777L19,Automotive:Interior Accessories:Key Shells,Automotive,"12,974","-2,402",-19%,Key Shells,98,474,"-1,200%","4,735",-12%,9.99,7,53%,3.22,964,5.06%,4.40,24,2020-10-14,FBA,7,2,1,ALIWEI,CN,"公司名称：Shenzhen Aliwi Technology Co., Ltd",FBA,,Y,,,,Key Shells by Arruweer,1.13 ounces,4.75 x 3.1 x 0.5 inches,2023-07-04
