主图,ASIN,SKU,品牌,商品标题,商品主图,父体,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
,B0864MTTRF,,Bosch Automotive,"BOSCH 6091C HEPA Cabin Air Filter - Compatible With Select Buick Enclave, LaCrosse, Cadillac ATS, CTS, Chevrolet Camaro, Cruze, Impala, Malibu, Silverado, Traverse, GMC Sierra, Terrain, Yukon + More",https://images-na.ssl-images-amazon.com/images/I/51CPGf+xSjL._AC_US200_.jpg,B0864MTTRF,Automotive:Replacement Parts:Filters:Air Filters & Accessories:Passenger Compartment Air Filters,Automotive,362,498,152%,Automotive Replacement Passenger Compartment Air Filters,6,"4,397","2,300%","54,083",23%,12.30,14,46%,4.75,"1,036",3.05%,4.80,134,2020-03-18,AMZ,9,1,6,Amazon,US,"公司名称：Amazon Export Sales LLC
办公地址：
345 Boren Ave N",AMZ,,Y,,Y,,Automotive Replacement Passenger Compartment Air F,5 ounces,9.6 x 8.3 x 1.4 inches,2023-07-04
,B0879FLXLC,,Gledewen,"Tailgate Handle Latch and Bezel Trim with Rod Clips | for 1999-2007 Chevy Silverado GMC Sierra 1500 2500 3500 | Replaces# 15997911, 15228539, 15228541, 15228540",https://images-na.ssl-images-amazon.com/images/I/41m80bt5OLL._AC_US200_.jpg,B0879FLXLC,Automotive:Replacement Parts:Body & Trim:Trim:Exterior Door Handles,Automotive,"1,176",220,20%,"Automotive Exterior Door Handles
Automotive Body Parts","1
35","2,366","-1,800%","44,859",-19%,18.96,9,55%,5.69,"5,101",0.00%,4.70,0,2020-04-17,FBA,8,1,1,GledewenDirect,CN,公司名称：ruianshihongyidianzishangwushanghang,FBA,Y,Y,,,,Automotive Exterior Door Handles by Gledewen,1.25 pounds,9.8 x 5 x 3.9 inches,2023-07-05
,B07JH7LH3C,,VIPMOTOZ,VIPMOTOZ Full LED License Plate Light For Cadillac Escalade Chevy Silverado 1500 2500 3500 Suburban Tahoe GMC Sierra 1500 2500 3500 Yukon XL Tag Lamp Assembly Replacement,https://images-na.ssl-images-amazon.com/images/I/41ml4-YtyyL._AC_US200_.jpg,B07JH7LH3C,Automotive:Lights & Lighting Accessories:Accent & Off Road Lighting:License Plate Lights,Automotive,"2,292",50,2%,Automotive License Plate Light Assemblies,10,"2,114","-2,600%","27,460",-26%,12.99,35,55%,3.86,"16,649",7.57%,4.60,160,2018-10-15,FBA,9,1,1,VIPMOTOZ,US,"公司名称：VIP Lightz Inc.
电话号码：1-844-884-7847
办公地址：
18351 Colima Rd #91
Rowland Heights
CA
91748
US",FBA,,,,Y,,,2.08 ounces,4.5 x 2.5 x 2 inches,2023-07-04
,B07W6GTWZW,Size: For Chevey GMC | Color: 6000K Xenon White,LESAUCE,"LESAUCE Full LED License Plate Light Tag Lamp Assembly Replacement for Chevy Silverado 1500 2500 3500 Suburban Tahoe GMC Sierra Yukon XL for Escalade, 6000K White, Pack of 2",https://images-na.ssl-images-amazon.com/images/I/419aJkwlFrL._AC_US200_.jpg,B0C9M3NCP5,Automotive:Lights & Lighting Accessories:Accent & Off Road Lighting:License Plate Lights,Automotive,"2,371","-1,416",-50%,"Automotive License Plate Light Assemblies
Automotive Light Bulbs","11
73","2,095",600%,"27,214",6%,12.99,21,55%,3.86,"3,238",3.48%,4.60,73,2019-08-05,FBA,9,2,1,LESAUCE LIGHTING,CN,"公司名称：ShenZhenLiPengDianZiShangWuYouXianGongSi
办公地址：
BanTianJieDaoBuLongLuHongShengYuanGongYeYuan C Dong 502
ShenZhenShiLongGangQu
Guangdong
518000
CN",FBA,Y,,,Y,,,1.76 ounces,5.08 x 2.48 x 1.85 inches,2023-07-05
,B07SQ32CBW,Color: Black,Yiz,"Dash Cover Custom Fit for 1999-2006 GMC Sierra/Chevy Chevrolet Silverado,2000-2006 GMC Yukon XL/Chevy Suburban Tahoe Avalanche,Dashboard Mat Pad (99-06, Black) Y44",https://images-na.ssl-images-amazon.com/images/I/416WRToNpGL._AC_US200_.jpg,B07SPMGXLQ,Automotive:Interior Accessories:Covers:Dash Covers,Automotive,"2,162",-559,-27%,Interior Dash Covers,2,"2,012",700%,"70,017",7%,34.80,53,63%,7.49,"3,922",4.52%,4.40,91,2019-04-27,FBA,7,8,2,yizhouauto,CN,"公司名称：linyiyizhouguojimaoyiyouxiangongsi
办公地址：
通达路与解放路交汇处银座中心D座2单元1008室
临沂
兰山
山东
276000
CN",FBA,Y,,,,,,1.1 pounds,16.57 x 11.93 x 2.6 inches,2023-07-05
,B08KG1KYBK,Color: Full Set/Black,Aierxuan,"Aierxuan Seat Covers for Truck Chevy Chevrolet Silverado GMC Sierra Pickup 2007-2023 1500 2500HD 3500HD Trail Boss Z71 Crew Double Extended Cab Waterproof Leather Protectors (Full Set, Black)",https://images-na.ssl-images-amazon.com/images/I/51txvrtZ9zL._AC_US200_.jpg,B08KG7D13D,Automotive:Interior Accessories:Seat Covers & Accessories:Seat Covers,Automotive,"2,885",-743,-29%,Automotive Seat Covers,40,"1,647",400%,"329,383",4%,199.99,273,75%,20.23,"2,782",3.89%,4.50,64,2020-09-29,FBA,9,12,1,YI Tai,CN,"公司名称：Yi tai-Luo you cheng
办公地址：
银泰城8号楼3013室
台州市
椒江区洪家街道
浙江省
318000
CN",FBA,,Y,,Y,,Automotive Seat Covers by Aierxuan,14 pounds,25 x 6 x 21 inches,2023-07-05
,B08X43NJDM,,Obaee,"Obaee Driver Side Power Master Window Switch, Compatible with Chevy Silverado/Chevrolet Traverse/HHR/2007-2013 GMC Sierra/Yukon/Buick Enclave Replace OE 20945129 25789692",https://images-na.ssl-images-amazon.com/images/I/41Q2zRfU22S._AC_US200_.jpg,B08X43NJDM,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Interior Switches:Power Window,Automotive,"2,669",-996,-32%,Automotive Power Window Switches,1,"1,551",-700%,"23,094",-7%,14.89,9,58%,4.08,"1,480",5.61%,4.60,87,2021-02-22,FBA,10,1,1,Aygaiyigu,CN,"公司名称：Guangzhou Aiyigu Garment CO.,LTD",FBA,Y,Y,,Y,,Automotive Power Window Switches by Obaee,4.2 ounces,2.6 x 2.1 x 5.7 inches,2023-07-04
,B07411WTHZ,,AA Ignition,"HVAC Blend Door Actuator - Replaces 89018365, 604-106, 52402588 - Compatible with Chevrolet, Chevy, GMC 1994-2012 - Silverado 1500 and 2500, Tahoe, Sierra - HVAC Blend Control Actuator",https://images-na.ssl-images-amazon.com/images/I/31k9gQurFiL._AC_US200_.jpg,B07411WTHZ,Automotive:Replacement Parts:Engine Cooling & Climate Control:Air Conditioning:Heater Blend Door Levers,Automotive,"3,036",763,25%,Automotive Replacement Heater Blend Door Levers,1,"1,295","1,100%","32,362",11%,24.99,151,69%,4.08,"3,916",2.63%,4.50,34,2017-07-16,FBA,10,1,1,GWA Auto Parts,US,"公司名称：GWA Auto Parts LLC
电话号码：561-342-1501
办公地址：
155 Federal St
Ste 702
Boston
MA
02210
US",FBA,Y,,,Y,,,220.46 pounds,4.7 x 2.4 x 0.5 inches,2023-07-04
,B07M87Q543,,Bosch Automotive,"BOSCH 6076C HEPA Cabin Air Filter - Compatible With Select Cadillac Escalade, Chevrolet Silverado, Suburban, Tahoe, GMC Sierra, Yukon, Yukon XL",https://images-na.ssl-images-amazon.com/images/I/51CPGf+xSjL._AC_US200_.jpg,B07M87Q543,Automotive:Replacement Parts:Filters:Air Filters & Accessories:Passenger Compartment Air Filters,Automotive,"1,894","1,398",74%,Automotive Replacement Passenger Compartment Air Filters,32,"1,268","3,800%","23,546",38%,18.57,818,56%,5.40,736,1.03%,4.70,13,2018-12-18,FBM,9,1,4,Newparts,US,"公司名称：Newparts, Inc.
办公地址：
231 Hogan Rd
GORDONSVILLE
TN
38563
US",FBM,,,,Y,,,0.1 pounds,11 x 9.8 x 1.4 inches,2023-07-05
,B08YRSF3JS,Color: Chrome,Nakuuly,Exterior Chrome Door Handle 4 PCS Front Rear Driver &amp; Passenger Compatible with 2007-2014 Cadillac Escalade Chevy Avalanche Silverado Suburban GMC Sierra Yukon OE # 20828258 22738721 25960525 22738722,https://images-na.ssl-images-amazon.com/images/I/41ipEoW1LkL._AC_US200_.jpg,B0C64Y3SG8,Automotive:Replacement Parts:Body & Trim:Trim:Exterior Door Handles,Automotive,"3,667","1,318",36%,Automotive Exterior Door Handles,4,"1,129",-800%,"53,051",-8%,46.99,4,72%,6.10,390,2.13%,4.40,24,2021-04-14,FBA,9,2,1,BaoSJ,CN,"公司名称：Ruian Xiafeng Autoparts CO.,Ltd,
办公地址：
韩田村
瑞安市
塘下镇
浙江省
325200
CN",FBA,,Y,,Y,,Automotive Exterior Door Handles by Nakuuly,2.33 pounds,11.81 x 5.98 x 4.69 inches,2023-07-04
