主图,ASIN,SKU,品牌,商品标题,商品主图,父体,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
,B08CR8YZC3,,ROVIKE,"Gas Cap,Fuel Cap For 2000-2019 Dodge Ram 1500 2500 3500 Charger Challenger Dart Durango Journey Nitro Grand Caravan Caliber Dakota &amp; Chrysler 200 300 Town and Country Aspen Sebring &amp; Jeep Wrangler JK",https://images-na.ssl-images-amazon.com/images/I/51c1vhUndhL._AC_US200_.jpg,B08CR8YZC3,Automotive:Replacement Parts:Caps:Fuel Tank Caps,Automotive,"1,577",-355,-21%,Automotive Replacement Fuel Tank Caps,2,"2,465",-300%,"29,259",-3%,11.87,3,52%,3.86,"3,395",5.76%,4.20,142,2020-07-09,FBA,9,1,1,ROVIKE,CN,"公司名称：Wenzhou Maiji Electronic Commerce Co., Ltd
办公地址：
龙湾区永中街道永中西路288号万华锦园4幢902室
温州市
浙江
325024
CN",FBA,Y,Y,,,,Automotive Replacement Fuel Tank Caps by ROVIKE,2.46 ounces,3.11 x 2.87 x 2.83 inches,2023-07-04
,B0864MVP3P,,Bosch Automotive,"BOSCH 6090C HEPA Cabin Air Filter - Compatible With Select Ram 1500, 1500 Classic, 2500, 3500, 4500, 5500 Trucks",https://images-na.ssl-images-amazon.com/images/I/51CPGf+xSjL._AC_US200_.jpg,B0864MVP3P,Automotive:Replacement Parts:Filters:Air Filters & Accessories:Passenger Compartment Air Filters,Automotive,"1,212",224,18%,Automotive Replacement Passenger Compartment Air Filters,16,"2,306","5,400%","32,260",54%,13.99,6,55%,4.24,556,2.25%,4.70,52,2020-03-18,AMZ,9,1,3,Amazon,,,AMZ,,,,Y,,,3.84 ounces,8.7 x 7.9 x 1.1 inches,2023-07-04
,B0BRZ7SP3W,,LESAUCE,"LESAUCE Full LED License Plate Light Tag Light For 2003-2018 Dodge RAM 1500 2500 3500 Pickup Truck, 6000K White, Smoke Lens, Tag Lamp Assembly Replacement, 2 PCS",https://images-na.ssl-images-amazon.com/images/I/41m70isEybL._AC_US200_.jpg,B0BRZ7SP3W,Automotive:Lights & Lighting Accessories:Accent & Off Road Lighting:License Plate Lights,Automotive,"24,588","-23,175",-94%,Automotive License Plate Light Assemblies,39,"1,771","4,900%","46,028",49%,25.99,15,69%,4.24,21,0.00%,4.10,0,2023-05-07,FBA,10,1,1,LESAUCE LIGHTING,CN,"公司名称：ShenZhenLiPengDianZiShangWuYouXianGongSi
办公地址：
BanTianJieDaoBuLongLuHongShengYuanGongYeYuan C Dong 502
ShenZhenShiLongGangQu
Guangdong
518000
CN",FBA,Y,Y,,Y,,Automotive License Plate Light Assemblies by LESAU,6.1 ounces,5.9 x 2.4 x 2.4 inches,2023-07-04
,B07H27LQ2S,Size: 5.6ft Bed | Configuration: Soft Tri-fold,oEdRo,"oEdRo Soft Tri-Fold Truck Bed Tonneau Cover Compatible with 2009-2023 Dodge Ram 1500 (Inclu. Classic &amp; New), Fleetside 5.6 Ft Bed w/o Ram Box",https://images-na.ssl-images-amazon.com/images/I/51WaFcvaYrL._AC_US200_.jpg,B0BTX4LDN8,Automotive:Exterior Accessories:Truck Bed & Tailgate Accessories:Tonneau Covers,Automotive,"3,963","-2,923",-71%,Truck Tonneau Covers,7,"1,765","3,500%","439,467",35%,248.99,218,49%,89.98,"2,577",0.00%,4.40,0,2018-09-12,AMZ,10,7,2,Amazon,CN,"公司名称：Yiwu PinLi E-commerce Co. , Ltd",AMZ,Y,Y,,Y,,Truck Tonneau Covers by oEdRo,29.6 pounds,70.9 x 25.2 x 4.3 inches,2023-07-05
,B08FSXXWZV,,ROVIKE,"Gas Cap, Fuel Cap For 2003-2018 Jeep Wrangler JK, 2003-2006 Wrangler TJ, Liberty, Cherokee, Compass, Commander,Grand Cherokee &amp; Dodge Ram 1500 Journey Dakota Dart Durango Caravan &amp; Chrysler 200 300",https://images-na.ssl-images-amazon.com/images/I/41fk9SBrgXL._AC_US200_.jpg,B08FSXXWZV,Automotive:Replacement Parts:Caps:Fuel Tank Caps,Automotive,"2,256",-165,-7%,Automotive Replacement Fuel Tank Caps,3,"1,618",800%,"19,399",8%,11.99,10,51%,4.08,"2,941",4.39%,4.10,71,2020-08-12,FBA,9,1,1,ROVIKE,CN,"公司名称：Wenzhou Maiji Electronic Commerce Co., Ltd
办公地址：
龙湾区永中街道永中西路288号万华锦园4幢902室
温州市
浙江
325024
CN",FBA,Y,Y,,,,Automotive Replacement Fuel Tank Caps by ROVIKE,0.16 pounds,3.9 x 3.86 x 2.64 inches,2023-07-04
,B00L32LLPC,Size: 6.4ft Bed | Pattern Name: T3 Soft Tri-Fold | Configuration: 2002-2018 1500; 2019-202,Tyger Auto,Tyger Auto T3 Soft Tri-fold Truck Bed Tonneau Cover Compatible with 2002-2018 Dodge Ram 1500; 2003-2022 2500 3500; 2019-2023 Classic 6'4&quot; (76&quot;) Bed TG-BC3D1011,https://images-na.ssl-images-amazon.com/images/I/41-B1P7WIZL._AC_US200_.jpg,B0C6D322WD,Automotive:Exterior Accessories:Truck Bed & Tailgate Accessories:Tonneau Covers,Automotive,"2,636",663,26%,Truck Tonneau Covers,2,"1,397","12,700%","331,089",127%,237.00,"1,000",47%,89.98,"18,336",1.86%,4.70,26,2014-06-15,AMZ,9,13,2,Amazon,US,"公司名称：Tyger Auto Inc.
电话号码：866-340-3038
办公地址：
1313 E. Maple Street
STE 201-565
BELLINGHAM
WA
98225
US",AMZ,,,,Y,,,31.06 pounds,78.5 x 71.3 x 1.3 inches,2023-07-05
,B078LY5ZKK,Size: Bucket Console 2013-2023 Ram | Color: Neoprene Cover for 2013-2023 Ram,ISSYAUTO,ISSYAUTO Center Console Cover Compatible with 2013-2022 2023 Ram 1500 2500 3500 Console Armrest Cover Protector,https://images-na.ssl-images-amazon.com/images/I/51XVU-xe-IL._AC_US200_.jpg,B0C5J11XGD,"Automotive:Replacement Parts:Body & Trim:Trim:Interior:Armrests, Parts & Accessories:Armrest Covers",Automotive,"3,665",-992,-29%,"Automobile Armrest Covers
Automotive Armrests","3
9","1,269","2,200%","31,712",22%,24.99,36,69%,4.08,"1,352",5.36%,4.40,68,2018-01-03,FBA,9,9,1,ISSYAUTO,CN,"公司名称：GUANGZHOU SHIYIZHONG XINXI KEJI YOUXIANGONGSI
电话号码：00-861-382-503-0064
办公地址：
西增路63号自编C10号楼泰荣商务中心309室
广州
荔湾区
广东
510160
CN",FBA,Y,Y,,Y,,Automobile Armrest Covers by ISSYAUTO,3.84 ounces,15 x 9.8 x 0.8 inches,2023-07-04
,B07G5S8TN4,,ECOTRIC,Tailgate Molding Cap Spoiler Compatible with 2009-2019 Dodge Ram 1500 2500 3500 Classic Tailgate Cover Molding Top Cap Protector Lip Spoiler Replace for CH1909100 55372052AH 6502632 926-578,https://images-na.ssl-images-amazon.com/images/I/41jrolCD8TL._AC_US200_.jpg,B07G5S8TN4,Automotive:Replacement Parts:Body & Trim:Body:Truck Beds & Tailgates,Automotive,"2,483","1,642",64%,Truck Beds & Tailgates,3,"1,057","1,600%","30,653",16%,29.00,32,11%,21.57,"1,616",2.74%,4.30,29,2018-08-02,FBM,9,1,1,FAMETRADE LLC,US,"公司名称：FameTrade LLC
办公地址：
212 E 22nd Suite MP #1171
Cheyenne
WY
82001
US",FBM,,Y,,Y,,ram tailgate cap,3.14 pounds,63.4 x 7 x 2 inches,2023-07-04
,B0785RMF1K,Color: Black,iFJF,"Mounting Clamps Truck Caps Camper Shell for Chevy Silverado Sierra 1500 2500 3500,Dodge Dakota Ram 1500 2500 3500,F150 F250,Titan,Tundra 4 PCS",https://images-na.ssl-images-amazon.com/images/I/412lIayiR6L._AC_US200_.jpg,B088BB44VR,Automotive:Exterior Accessories:Truck Bed & Tailgate Accessories:Cargo Bed Cover Accessories,Automotive,"5,105",-448,-9%,Cargo Bed Cover Accessories,1,"1,023",700%,"21,462",7%,20.98,54,56%,6.10,"3,335",34.80%,4.60,356,2017-12-05,FBA,9,2,2,Mengbo,CN,"公司名称：wuhumengbodianzishangwuyouxiangongsi
办公地址：
安徽新芜经济开发区林安物流园一期12栋207-5室
芜湖
湾沚区
安徽
241199
CN",FBA,Y,Y,,Y,,glasstite topper parts,2.48 pounds,3.9 x 3.1 x 1.2 inches,2023-07-04
,B07HCCXXF9,Size: 4602863AD,ATRACYPART,"Master Power Window Switch | Compatible with 2009-2012 Dodge Ram 1500 2500 3500, 2008-2010 Jeep Liberty | Replaces# 4602863AD, 4602863AB, 4602533AB, 4602533AD, 901-473",https://images-na.ssl-images-amazon.com/images/I/51kwQsNTv5L._AC_US200_.jpg,B0BRK6TS1W,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Interior Switches:Power Window,Automotive,"2,721",340,10%,Automotive Power Window Switches,2,"1,004",400%,"27,097",4%,26.99,21,70%,4.08,"2,315",48.11%,4.40,483,2018-09-13,FBA,9,10,1,ATRACYPART,CN,公司名称：Ruianshiweiruimaoyiyouxiangongsi,FBA,,Y,,Y,,Automotive Power Window Switches by ATRACYPART,0.2 pounds,7 x 2.4 x 2.2 inches,2023-07-04
