主图,ASIN,SKU,品牌,商品标题,商品主图,父体,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
,B0BP7NC5WJ,,BestEvMod,BestEvMod for Rivian R1T &amp; Rivian R1S Accessories Center Console Organizer Tray Armrest Storage Box ABS Material with PVC Trim Compatible with Rivian R1T/R1S 2022 2023 Accessories(V2 Yellow),https://images-na.ssl-images-amazon.com/images/I/51Wkt8zRk2L._AC_US200_.jpg,B0BP7NC5WJ,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"13,031","-1,623",-11%,Automotive Center Consoles,113,679,"1,300%","10,151",13%,14.95,,49%,5.40,21,0.00%,4.40,0,2022-12-05,FBA,9,1,1,BestEvMod,CN,"公司名称：guangzhoushihuangxiaojingkejiyouxiangongsi
办公地址：
黄埔大道中336号
第六层E98
广州
天河
广东
510655
CN",FBA,,Y,,Y,,Automotive Center Consoles by BestEvMod,8.8 ounces,8.7 x 7.24 x 2.32 inches,2023-07-03
,B0BXDFD2ZB,,BestEvMod,"BestEvMod for Rivian R1T &amp; Rivian R1S Accessories Center Console Organizer Tray Armrest Storage Box ABS Material with PVC Trim Compatible with Rivian R1T/R1S 2022 2023 Accessories(W/O Coin,Yellow)",https://m.media-amazon.com/images/I/51hQifwNkcL._AC_US200_.jpg,B0BXDFD2ZB,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"188,056","-110,350",-94%,Automotive Center Consoles,1602,652,"-2,500%","9,747",-25%,14.95,,49%,5.40,5,0.00%,4.70,0,2023-03-02,FBA,9,1,1,BestEvMod,CN,"公司名称：guangzhoushihuangxiaojingkejiyouxiangongsi
办公地址：
黄埔大道中336号
第六层E98
广州
天河
广东
510655
CN",FBA,,,,Y,,,9.6 ounces,8.35 x 6.69 x 2.6 inches,2023-07-03
,B0BP7SZ17X,,BestEvMod,BestEvMod for Rivian R1T &amp; Rivian R1S Lower Center Console Organizer Tray Interior Accessories Storage Box ABS Material with PVC Trim Compatible with Rivian R1T/R1S 2022 2023 Accessories (Yellow),https://images-na.ssl-images-amazon.com/images/I/51lP5WCt38L._AC_US200_.jpg,B0BP7SZ17X,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"24,040","-1,409",-6%,Automotive Center Consoles,310,627,-100%,"16,922",-1%,26.99,,58%,7.33,19,0.00%,4.50,0,2022-12-05,FBA,9,1,1,BestEvMod,CN,"公司名称：guangzhoushihuangxiaojingkejiyouxiangongsi
办公地址：
黄埔大道中336号
第六层E98
广州
天河
广东
510655
CN",FBA,,Y,,Y,,Automotive Center Consoles by BestEvMod,1.48 pounds,16.81 x 11.38 x 2.24 inches,2023-07-04
,B0BXDFNGGR,,BestEvMod,"BestEvMod for Rivian R1T &amp; Rivian R1S Accessories Center Console Organizer Tray Armrest Storage Box ABS Material with PVC Trim Compatible with Rivian R1T/R1S 2022 2023 Accessories(W/O Coin,Black)",https://m.media-amazon.com/images/I/51NPT0YI+JL._AC_US200_.jpg,B0BXDFNGGR,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"204,042","-144,594",-95%,Automotive Center Consoles,1718,618,"-2,500%","9,239",-25%,14.95,,49%,5.40,9,0.00%,4.20,0,2023-03-02,FBA,9,1,1,BestEvMod,CN,"公司名称：guangzhoushihuangxiaojingkejiyouxiangongsi
办公地址：
黄埔大道中336号
第六层E98
广州
天河
广东
510655
CN",FBA,,,,Y,,,9.9 ounces,8.35 x 6.77 x 2.64 inches,2023-07-03
,B0BT86GKRH,,BestEvMod,BestEvMod for Rivian R1T &amp; Rivian R1S Lower Center Console Organizer Tray Interior Accessories Storage Box ABS Material with PVC Trim Compatible with Rivian R1T/R1S 2022 2023 Accessories (Black),https://images-na.ssl-images-amazon.com/images/I/41Yu3Vo46+L._AC_US200_.jpg,B0BT86GKRH,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"61,311","130,575",213%,Automotive Center Consoles,871,552,"1,000%","14,898",10%,26.99,,58%,7.33,9,0.00%,4.50,0,2023-01-26,FBA,9,1,1,BestEvMod,CN,"公司名称：guangzhoushihuangxiaojingkejiyouxiangongsi
办公地址：
黄埔大道中336号
第六层E98
广州
天河
广东
510655
CN",FBA,,Y,,Y,,Automotive Center Consoles by BestEvMod,1.47 pounds,16.5 x 11.4 x 2.3 inches,2023-07-04
,B0BVVL23ZY,,HANSSHOW,"HANSSHOW Sunshade Glass Roof Sunshade Compatible with Rivian R1T, UV Blocking/Heat Insulation Cover Set Foldable Sun Shade Compatible with Rivian R1T 2022 2023 (1 pcs)(No Clips/Suctions Needed)",https://images-na.ssl-images-amazon.com/images/I/41595k6zhZL._AC_US200_.jpg,B0BVVL23ZY,Automotive:Interior Accessories:Sun Protection:Sunshades:Windshield Sunshades,Automotive,"19,636","-1,975",-10%,Automotive Windshield Sunshades,431,263,"12,200%","17,752",122%,67.50,8,67%,12.25,15,3.42%,4.70,9,2023-02-14,FBA,9,1,2,Hansshow-tesplus,CN,公司名称：guangzhouhanxiaokejiyouxiangongsi,FBA,,,Y,Y,,,1.12 pounds,19.3 x 0.2 x 23.2 inches,2023-07-04
,B0BRZXDWWV,,BestEvMod,BestEvMod for Rivian R1T Truck Bed Mat Liner Foldable Accessories Pickup Heavyweight Bed Mat All-Weather Protection Compatible with Rivian R1T 2022 2023 Accessories,https://images-na.ssl-images-amazon.com/images/I/512b7vPjfJL._AC_US200_.jpg,B0BRZXDWWV,Automotive:Exterior Accessories:Truck Bed & Tailgate Accessories:Truck Bed Mats,Automotive,"12,721","9,632",76%,Truck Bed Mats,2,255,"-1,300%","30,597",-13%,119.99,,72%,16.03,19,3.92%,4.60,10,2023-01-09,FBA,9,1,1,BestEvMod,CN,"公司名称：guangzhoushihuangxiaojingkejiyouxiangongsi
办公地址：
黄埔大道中336号
第六层E98
广州
天河
广东
510655
CN",FBA,,Y,Y,Y,,Truck Bed Mats by BestEvMod,12 pounds,29 x 19 x 6 inches,2023-07-04
,B0C6FQ2275,Color: v2 Yellow - With Inserts,TWRAPS,"TWRAPS Armrest Organizer for Rivian R1T/R1S (Console, Tray Organizer) (v2 Yellow - with Inserts)",https://images-na.ssl-images-amazon.com/images/I/31zg-6uHT1L._AC_US200_.jpg,B0BGJPKJN3,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"28,735","-2,859",-10%,"Automotive Armrests
Automotive Body Parts","158
1354",242,-100%,"6,037",-1%,24.95,,68%,4.24,54,2.07%,4.50,5,2023-05-25,FBA,8,3,1,TWRAPS,US,公司名称：SilverWiz,FBA,,,,,,,6.4 ounces,8 x 6 x 2 inches,2023-07-04
,B0BVZFZ1FP,Color: Upgrade Jack Puck-4 Pack,RIVIGEAR,RIVIGEAR Jack Pucks Floor Jack Lifting Jack Pad Lift Point Adapter with Storage Case Compatible with Rivian R1T R1S - Upgrade Version - 4 Pack,https://images-na.ssl-images-amazon.com/images/I/41bHCxj3DjL._AC_US200_.jpg,B0BCJNRBKS,"Automotive:Tools & Equipment:Garage & Shop:Vehicle Lifts, Hoists & Jacks:Jacks:Floor Jacks",Automotive,"34,828","46,827",179%,Floor Jacks (Automotive),82,197,"6,800%","19,698",68%,99.99,,77%,7.65,31,1.02%,4.00,2,2023-02-15,FBA,10,2,1,RIVIGEAR Direct,CN,公司名称：yingruiguojitiyufuwushenzhenyouxiangongsi,FBA,,Y,,Y,,Floor Jacks by RIVIGEAR,4.38 pounds,9.57 x 8.9 x 3.62 inches,2023-07-04
,B0BRQ2C16L,Color: Upper + Lower Layer,BestEvMod,BestEvMod for Rivian R1T R1S All-Weather Front Trunk Mat TPE Material Rubber Cargo Liner Compatible with Rivian R1T R1S 2022 2023 Accessories (Upper + Lower Layer),https://images-na.ssl-images-amazon.com/images/I/41xtZ0mVvGL._AC_US200_.jpg,B0BRQ34DV2,Automotive:Interior Accessories:Floor Mats & Cargo Liners:Cargo Liners,Automotive,"27,918","-3,827",-14%,Cargo Liners,63,190,"4,400%","15,198",44%,79.99,,67%,14.77,11,1.58%,4.40,3,2023-01-04,FBA,9,3,1,BestEvMod,CN,"公司名称：guangzhoushihuangxiaojingkejiyouxiangongsi
办公地址：
黄埔大道中336号
第六层E98
广州
天河
广东
510655
CN",FBA,,,,Y,,,4.39 pounds,24.8 x 19.5 x 4.3 inches,2023-07-04
