主图,ASIN,SKU,品牌,商品标题,商品主图,父体,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
,B01JYSX028,,Bosch Automotive,"BOSCH 6055C HEPA Cabin Air Filter - Compatible With Select Lexus ES, GS, GX, IS, LS, RX, Subaru Legacy, Outback, Toyota 4Runner, Camry, Corolla, Highlander, Prius, RAV4, Sequoia, Sienna, Tundra +More",https://images-na.ssl-images-amazon.com/images/I/51CPGf+xSjL._AC_US200_.jpg,B01JYSX028,Automotive:Replacement Parts:Filters:Air Filters & Accessories:Passenger Compartment Air Filters,Automotive,135,27,22%,Automotive Replacement Passenger Compartment Air Filters,4,"8,498","4,100%","117,952",41%,13.88,82,46%,5.40,"3,982",2.12%,4.70,180,2015-07-16,AMZ,9,1,6,Amazon,US,"公司名称：Newparts, Inc.
办公地址：
231 Hogan Rd
GORDONSVILLE
TN
38563
US",AMZ,Y,Y,,Y,,Automotive Replacement Passenger Compartment Air F,0.13 pounds,9.3 x 9.6 x 1.8 inches,2023-07-05
,B00J6F92GI,Style: EHT976H,Raybestos,Raybestos Element3 EHT? Replacement Front Brake Pad Set for Select Toyota 4Runner/FJ Cruiser/Sequoia/Tacoma/Tundra and Lexus GX460/GX470 Model Years (EHT976H),https://images-na.ssl-images-amazon.com/images/I/41nHMLU3Q2L._AC_US200_.jpg,B0B85SV7TS,Automotive:Replacement Parts:Brake System:Brake Pads,Automotive,233,-1,0%,Automotive Replacement Brake Pads,1,"6,699","1,200%","181,877",12%,27.15,73,56%,7.81,"2,080",3.72%,4.50,249,2014-03-21,AMZ,9,284,12,Amazon,,,AMZ,Y,Y,,Y,,Automotive Replacement Brake Pads by Raybestos,2.13 pounds,9.3 x 6.1 x 2.1 inches,2023-07-04
,B07KRQVFLD,,ANRDDO,2 wipers Factory Replacement For 2007-2020 Toyota Tundra 2008-2020 Toyota Sequoia Original Equipment Replacement Windshield Wiper Blades Set - 26&quot;+23&quot; Pinch Tab (Set of 2) Not for J Hook,https://images-na.ssl-images-amazon.com/images/I/41-gW-RHuiL._AC_US200_.jpg,B07KRQVFLD,Automotive:Replacement Parts:Windshield Wipers & Washers:Wipers:Blades,Automotive,"16,993","-6,670",-39%,Automotive Replacement Windshield Wiper Blades,161,"3,101","-4,800%","74,392",-48%,23.99,6,61%,5.69,"1,437",0.00%,4.30,0,2018-03-29,FBA,9,1,1,ANRDDO,CN,"公司名称：Duchang county kangda auto parts co. LTD.
办公地址：
芙蓉山工业园新妙湖大道71号
九江市
都昌县
江西省
332600
CN",FBA,,Y,,Y,,Automotive Replacement Windshield Wiper Blades by,13.7 ounces,17.76 x 13.89 x 1.02 inches,2023-07-04
,B00XTAGHU0,,Motivx Tools,"Motivx Tools Oil Filter Wrench for Toyota Camry, Tundra, Tacoma, 4Runner, RAV4 and More - 64mm 14 Flute Precision CNC Machined Aluminum Oil Filter Removal Tool",https://images-na.ssl-images-amazon.com/images/I/41b9nhYUdTS._AC_US200_.jpg,B00XTAGHU0,Automotive:Tools & Equipment:Oil System Tools:Oil Filter Wrenches,Automotive,"1,020",73,7%,Oil Filter Wrenches,2,"2,554",100%,"76,492",1%,29.95,463,71%,4.08,"9,212",4.78%,4.80,122,2015-05-16,FBA,8,1,2,Motivx Tools LLC,US,"公司名称：Motivx Tools LLC
电话号码：1-833-466-8489
办公地址：
11108 Woodland Ave E STE C
PUYALLUP
Washington
98373
US",FBA,Y,,,Y,,,6.4 ounces,3.5 x 3.5 x 1.9 inches,2023-07-04
,B0BJKSLCH3,Material Type: Black Screws | Style: Quicksand,Dubbs Hardware,"Tacoma Accessories 2016-2022 3rd Gen Tacoma - Key Fob Case Upgrade Mod - Compatible with Toyota Tacoma 4Runner Tundra (Quicksand, Black Screws)",https://images-na.ssl-images-amazon.com/images/I/31sTHNstUxL._AC_US200_.jpg,B0BJJ42S3H,Automotive:Interior Accessories:Key Shells,Automotive,"3,202",-424,-14%,"Key Shells
Keychains","10
21","1,179",500%,"29,463",5%,24.99,10,72%,3.22,423,6.36%,3.80,75,2022-10-23,FBA,9,23,2,ssquared35,US,公司名称：NC,FBA,,,Y,Y,,,0.634 ounces,3.5 x 2.7 x 0.7 inches,2023-07-05
,B07JG83SQR,,iBetter,"Heavy Duty Oil Filter Wrench for Toyota,Lexus,RAV4,Camry,Tundra,Highlander,Sienna and More-Cup Style Oil Filter Cap Removal Socket Tool for 2.5-5.7L Engine with 64mm Cartridge Style Oil Filter Housing",https://images-na.ssl-images-amazon.com/images/I/41BJxeARR6L._AC_US200_.jpg,B08277FBF9,Automotive:Tools & Equipment:Oil System Tools:Oil Filter Wrenches,Automotive,"4,526",-55,-1%,Oil Filter Wrenches,5,"1,152",100%,"13,593",1%,11.80,63,50%,4.08,"3,246",3.65%,4.40,42,2018-10-14,FBA,8,1,1,Ibetter,CN,"公司名称：Shenzhen JiuZhouYu Trade Co.,Ltd
办公地址：
民治街道万众润丰创业园A栋公寓209
深圳市
龙华新区
广东
518110
CN",FBA,,Y,,,,Oil Filter Wrenches by iBetter,6.4 ounces,5.39 x 5.08 x 1.85 inches,2023-07-04
,B07JGHX63G,,EcoAuto,Antenna Ornament for 2007-2014 Toyota Tundra - Toyota Genuine Accessory 86392-0C040 Manual Radio Antenna Mounted Base Bezel,https://images-na.ssl-images-amazon.com/images/I/41+5IIk4WpL._AC_US200_.jpg,B07JGHX63G,Automotive:Exterior Accessories:Antenna Toppers,Automotive,"2,809","1,288",47%,Antenna Toppers,5,"1,125",200%,"11,193",2%,9.95,13,46%,3.86,"4,245",6.58%,4.70,74,2018-10-16,FBA,10,1,2,EcoAuto,US,公司名称：Import Global LLC,FBA,,Y,,Y,,Antenna Toppers by EcoAuto,0.634 ounces,3.8 x 2.1 x 0.5 inches,2023-07-05
,B08PFHHBV5,Color: Red,GANGMU TEC,"TRD Grille Decor Badge, 3-Color Upgrade Emblem, Universal Compatible with Toyota 4Runner Tacoma Tundra &amp; Other Mesh or Slotted Grille (Red)",https://images-na.ssl-images-amazon.com/images/I/41SDaB6zm8L._AC_US200_.jpg,B0B59V48J8,Automotive:Exterior Accessories:Emblems,Automotive,"6,574","-1,873",-28%,Emblems,25,"1,087","2,700%","18,468",27%,16.99,10,62%,3.86,695,4.42%,4.30,48,2020-12-01,FBA,10,10,1,"Gangmu Tec Co.,Ltd.",CN,公司名称：shanghai gangmuxinxi kejiyouxiangongsi,FBA,,Y,,Y,,Emblems by GANGMU TEC,2.11 ounces,5.31 x 3.43 x 1.1 inches,2023-07-05
,B07Q1L53RD,Color: Black,Gledewen,Gledewen Tailgate Handle Liftgate Latch Handle with Keyhole | for 2000-2006 Toyota Tundra | Replaces# 69090-0C010 69090-0C030-C0,https://images-na.ssl-images-amazon.com/images/I/41-Fb37M3CL._AC_US200_.jpg,B0C1TVW4PZ,Automotive:Replacement Parts:Body & Trim:Trim:Exterior Door Handles,Automotive,"4,486","-1,071",-21%,Automotive Exterior Door Handles,6,"1,017",0%,"20,329",0%,19.99,7,61%,4.75,"3,080",4.82%,4.60,49,2019-03-25,FBA,8,2,1,GledewenDirect,CN,公司名称：ruianshihongyidianzishangwushanghang,FBA,,Y,,,,Automotive Exterior Door Handles by Gledewen,12.3 ounces,4.7 x 2.4 x 0.5 inches,2023-07-05
,B07Q2KM86L,Color: Black,Gledewen,"Gledewen Tailgate Handle Liftgate Latch Handle with Keyhole | for 2007-2013 Toyota Tundra | Replaces# 69090-0C040, 690900C040, 81213",https://images-na.ssl-images-amazon.com/images/I/41uGMT912-L._AC_US200_.jpg,B0C1TWBKJ1,Automotive:Replacement Parts:Body & Trim:Trim:Exterior Door Handles,Automotive,"3,745","2,702",87%,Automotive Exterior Door Handles,3,973,-700%,"20,423",-7%,20.99,10,58%,5.69,"2,609",5.76%,4.60,56,2019-03-25,FBA,7,2,1,GledewenDirect,CN,公司名称：ruianshihongyidianzishangwushanghang,FBA,,Y,,,,Automotive Exterior Door Handles by Gledewen,14.2 ounces,4.7 x 2.4 x 0 inches,2023-07-04
