主图,ASIN,SKU,品牌,商品标题,商品主图,父体,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
,B0BJKSLCH3,Material Type: Black Screws | Style: Quicksand,Dubbs Hardware,"Tacoma Accessories 2016-2022 3rd Gen Tacoma - Key Fob Case Upgrade Mod - Compatible with Toyota Tacoma 4Runner Tundra (Quicksand, Black Screws)",https://images-na.ssl-images-amazon.com/images/I/31sTHNstUxL._AC_US200_.jpg,B0BJJ42S3H,Automotive:Interior Accessories:Key Shells,Automotive,"4,582","-1,520",-34%,"Key Shells
Keychains","11
33","1,169",500%,"29,213",5%,24.99,10,72%,3.22,420,6.42%,3.80,75,2022-10-23,FBA,9,23,2,ssquared35,US,"公司名称：NC
办公地址：
4873 Keeneland Place Southwest
CONCORD
NC
28027
US",FBA,,,Y,Y,,,0.634 ounces,3.5 x 2.7 x 0.7 inches,2023-07-03
,B07K6GZRP9,Color: black,JDMCAR,"JDMCAR Center Console Organizer Compatible with 2014-2019 2020 2021 Toyota Tundra Accessories, Insert ABS Black Materials Tray, Armrest Secondary Storage Box - Full Tray",https://images-na.ssl-images-amazon.com/images/I/61B9a6bihnL._AC_US200_.jpg,B08Q3LKS73,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"12,576","-6,079",-48%,Automotive Center Consoles,134,577,500%,"17,858",5%,30.95,56,60%,7.65,"5,740",4.85%,4.70,28,2018-11-03,FBA,9,2,1,JDMCAR,CN,"公司名称：Guangzhouzhigongmaoyiyouxiangongsi
办公地址：
嘉禾街鹤泰路
五社通达创意园7号507房
广州市
白云区
广东省
510000
CN",FBA,,,,Y,,,2.09 pounds,14.6 x 13 x 2.8 inches,2023-07-04
,B0B1PNDHKB,Color: black,JDMCAR,JDMCAR Center Console Organizer Compatible with 2022 2023 Toyota Tundra Accessories and 2023 Toyota Sequoia Armrest Secondary Storage Box ABS Material with Non-Slip Mats (Black Trim),https://images-na.ssl-images-amazon.com/images/I/51KR4ZC+blL._AC_US200_.jpg,B0BCG56R25,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"14,997","2,476",17%,Automotive Center Consoles,152,413,"1,900%","10,733",19%,25.99,4,62%,6.10,149,3.87%,4.60,16,2022-05-18,FBA,9,2,1,JDMCAR,CN,"公司名称：Guangzhouzhigongmaoyiyouxiangongsi
办公地址：
嘉禾街鹤泰路
五社通达创意园7号507房
广州市
白云区
广东省
510000
CN",FBA,,Y,,Y,,Automotive Center Consoles by JDMCAR,0.08 pounds,11.8 x 12.4 x 2.2 inches,2023-07-04
,B09B2P5Q9H,Color: Red,MOCHENT,"MOCHENT 2 Pcs Upgrated Classic Retro Tri-Color Stripe Decal Sticker for Toyota Tacoma 4Runner Tundra Rav4 Accessories, Grille Fender Hood Side Skirt Bumper Side Mirror Dashboard Decoration (Red/Orange/Yellow)",https://images-na.ssl-images-amazon.com/images/I/512iYoVpSmL._AC_US200_.jpg,B09Y61FQ3C,"Automotive:Exterior Accessories:Bumper Stickers, Decals & Magnets:Decals",Automotive,"12,435",612,5%,Automotive Decals,222,406,100%,"3,645",1%,8.98,4,49%,3.22,272,4.43%,4.00,18,2021-06-21,FBA,9,3,1,Mochent,CN,"公司名称：Guangzhou qi cheng ke ji you xian gong si
办公地址：
燕玲路89号499室C176号
广州
天河区
广东
510630
CN",FBA,,,,Y,,,0.634 ounces,10 x 6 x 1 inches,2023-07-04
,B01NALK2FC,"Size: 6 3/4"" Inch - PREMIUM CHOICE | Color: Black",AntennaMastsRus,AntennaMastsRus - The Original 6 3/4 Inch Replacement Rubber Antenna Mast fits Toyota Tundra (2000-2020) Accessories - USA Stainless Steel Threading - Car Wash Proof - Internal Copper Coil,https://images-na.ssl-images-amazon.com/images/I/418vFqBW9ZL._AC_US200_.jpg,B00SAB97S2,Automotive:Replacement Parts:Lighting & Electrical:Electrical,Automotive,"12,808","-1,850",-11%,Automotive Replacement Electrical Equipment,281,384,-500%,"9,596",-5%,24.99,81,72%,3.22,"4,161",4.17%,4.30,16,2015-06-14,FBA,10,26,2,The Antenna Source,US,"公司名称：Bridgewood INC
电话号码：920-686-0644",FBA,,Y,,Y,,trd shift knob,1.44 ounces,8.15 x 2.72 x 0.43 inches,2023-07-03
,B09K7527L4,Size: Fullset | Color: Black,Coverado,"Coverado Tundra Seat Covers, Waterproof Leather Car Seat Covers, Custom Seat Protectors Truck Pickup Auto Accessories Fit 2007-2021 Toyota Tundra Crew/Crewmax/Extended/Double Cab(Full Set 5PCS, Black)",https://images-na.ssl-images-amazon.com/images/I/515CENqXLAL._AC_US200_.jpg,B0BVLSXHJG,Automotive:Interior Accessories:Seat Covers & Accessories:Seat Covers,Automotive,"36,716","-19,323",-53%,Automotive Seat Covers,229,366,"3,500%","58,541",35%,159.95,18,75%,16.45,276,6.01%,4.30,22,2021-10-24,FBA,9,3,1,,,,FBA,,Y,,Y,,Automotive Seat Covers by Coverado,15.57 pounds,27 x 22.2 x 3.8 inches,2023-07-04
,B09LXD22RY,Color: Red,JDMCAR,"JDMCAR Compatible with Toyota Tundra Accessories 2021 2020 2019 2018 2017 2016 2015 2014 Premium Liner Accessories, Custom Console, Cup Holder, and Door Pocket Inserts Kit - (Bucket Seat,Red Trim)",https://images-na.ssl-images-amazon.com/images/I/51OX8lLSl-L._AC_US200_.jpg,B09JK2BDPH,Automotive:Interior Accessories:Cup Holders,Automotive,"11,400","7,882",69%,Automotive Cup Holders,187,356,"1,000%","10,676",10%,29.99,5,67%,5.40,349,4.78%,4.30,17,2021-11-15,FBA,9,7,1,JDMCAR,CN,"公司名称：Guangzhouzhigongmaoyiyouxiangongsi
办公地址：
嘉禾街鹤泰路
五社通达创意园7号507房
广州市
白云区
广东省
510000
CN",FBA,,,,Y,,,14.7 ounces,"6.5""L x 6.5""W",2023-07-03
,B09DG1G7F1,Size: 1 PC | Color: Tundra,REMOCH,"REMOCH Stainless Steel Fuel Door Spring Compatible with Toyota Tundra 2007-2021, Gas Door Spring Gas Tank Doors Cover Repair Kit Replacement Accessories 77305-0C060 77305-0C050 (1 PC)",https://images-na.ssl-images-amazon.com/images/I/21RqyxQ0XcL._AC_US200_.jpg,B0B3GTJ7LX,Automotive:Exterior Accessories:Gas Tank Doors,Automotive,"27,137","-14,589",-54%,Gas Tank Doors,11,302,"2,600%","3,285",26%,10.88,3,55%,3.22,173,4.30%,4.70,13,2021-08-23,FBA,9,2,1,HCGS,CN,"公司名称：guangzhoushihongchengdianzishangwuyouxiangongsi
办公地址：
碧桂园豪庭3街1座
金隆路
广州市南沙区
广东省
510000
CN",FBA,,Y,,Y,,Gas Tank Doors by REMOCH,0.634 ounces,5.04 x 4.33 x 0.35 inches,2023-07-04
,B07DJ5Z1L7,,JDMCAR,JDMCAR Center Console Organizer Compatible with Toyota Tundra Accessories 2007-2020 2021，Armrest Box Secondary Storage Tray -(Full Console w/Bucket Seats ONLY),https://images-na.ssl-images-amazon.com/images/I/51aSZBMU9JL._AC_US200_.jpg,B07DJ5Z1L7,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"24,379",943,4%,Automotive Center Consoles,258,267,-100%,"5,337",-1%,19.99,14,57%,5.69,"1,128",5.24%,4.50,14,2018-06-03,FBA,10,1,1,JDMCAR,CN,"公司名称：Guangzhouzhigongmaoyiyouxiangongsi
办公地址：
嘉禾街鹤泰路
五社通达创意园7号507房
广州市
白云区
广东省
510000
CN",FBA,,Y,,Y,,Automotive Center Consoles by JDMCAR,15.6 ounces,12.6 x 7.9 x 2.8 inches,2023-07-04
,B0BYD74S7N,Color: Red Trim,JDMCAR,"JDMCAR Liner Accessories Compatible with 2022 2023 Toyota Tundra, Custom Non-Slip Anti Dust Cup Holder and Door Pocket Inserts Kit - 30 PC Set",https://images-na.ssl-images-amazon.com/images/I/51EYQkCOdLL._AC_US200_.jpg,B0C1N1MLD5,Automotive:Interior Accessories:Cup Holders,Automotive,"9,286","8,626",93%,Automotive Cup Holders,167,259,"1,300%","7,767",13%,29.99,,66%,5.69,11,1.93%,4.80,5,2023-03-13,FBA,9,4,1,,,,FBA,,,,Y,,,1.76 pounds,17.7 x 7.9 x 0.8 inches,2023-07-04
