整车厂-品牌,车种,级别,车型,动力总成
福特,Light Trucks,Pickup Truck,Ford F-Series,ICE
雪佛兰,Light Trucks,Pickup Truck,Silverado,ICE
Ram (2021-),Light Trucks,Pickup Truck,Ram P-U,ICE
Tesla,Light Trucks,SUV-D,Model Y,EV
日产,Light Trucks,SUV-C,Rogue,ICE
GMC,Light Trucks,Pickup Truck,GMC Sierra,ICE
丰田,Cars,D,Camry,ICE
丰田,Light Trucks,SUV-D,RAV4,ICE
吉普 (2021-),Light Trucks,SUV-E,Grand Cherokee (Jeep (2009-)),ICE
丰田,Light Trucks,Pickup Truck,Tacoma,ICE
Tesla,Cars,D,Model 3,EV
本田,Light Trucks,SUV-D,CR-V,HV
斯巴鲁,Light Trucks,SUV-D,Outback,ICE
丰田,Light Trucks,SUV-D,Highlander,ICE
本田,Cars,C,Civic,ICE
丰田,Cars,C,Corolla,ICE
丰田,Light Trucks,SUV-D,RAV4,HV
雪佛兰,Light Trucks,SUV-C,Equinox,ICE
本田,Light Trucks,SUV-D,CR-V,ICE
雪佛兰,Cars,D,Malibu,ICE
现代,Light Trucks,SUV-C,Tucson (ix35),ICE
斯巴鲁,Cars,SUV-C,XV,ICE
马自达,Light Trucks,SUV-C,CX-5,ICE
福特,Light Trucks,SUV-D,Explorer,ICE
日产,Cars,C,Sentra,ICE
福特,Light Trucks,SUV-C,Escape,ICE
雪佛兰,Light Trucks,SUV-C,Trailblazer,ICE
克莱斯勒 (2021-),Light Trucks,MPV,Pacifica (Chrysler (2009-)),ICE
现代,Cars,C,Avante (Elantra),ICE
福特,Light Trucks,SUV-C,Bronco Sport,ICE
福特,Light Trucks,不可分级,Transit,ICE
本田,Light Trucks,SUV-D,Honda Pilot,ICE
斯巴鲁,Light Trucks,SUV-C,Forester,ICE
雪佛兰,Light Trucks,Pickup Truck,Chevrolet Colorado,ICE
雪佛兰,Light Trucks,SUV-D,Traverse,ICE
起亚,Light Trucks,SUV-C,Sportage,ICE
起亚,Cars,C,Kia Forte,ICE
雪佛兰,Light Trucks,SUV-E,Tahoe,ICE
本田,Cars,D,Accord,HV
