国家/地区,集团,整车厂/品牌,车种,级别,车型,动力总成,202301,202302,202303,202304,202305,202306,,
中国,大众集团,捷达,Sedan/Hatchback,C,捷达VA3,ICE,2086,3250,6518,6365,5352,6685,一汽-大众汽车,-
中国,大众集团,捷达,SUV,SUV-C,捷达 (JETTA) VS5,ICE,6763,5822,6253,4964,6668,6310,一汽-大众汽车,-
中国,大众集团,捷达,SUV,SUV-D,捷达 (JETTA) VS7,ICE,2182,1929,2230,2848,2157,4006,一汽-大众汽车,-
中国,大众集团,大众,Sedan/Hatchback,B,新波罗 (New Polo),ICE,2161,567,1019,2822,6094,919,上汽大众,-
中国,大众集团,大众,Sedan/Hatchback,C,ID.3,EV,381,283,3417,2052,2847,2789,上汽大众,-
中国,大众集团,大众,Sedan/Hatchback,C,全新桑塔纳 (New Santana),ICE,6053,6069,45,1,-5,0,上汽大众,-
中国,大众集团,大众,Sedan/Hatchback,C,凌渡 (Lamando),ICE,-,-,2,1,0,0,上汽大众,-
中国,大众集团,大众,Sedan/Hatchback,C,宝来 (Bora),ICE,15352,7363,16861,14480,8780,19484,一汽-大众汽车,-
中国,大众集团,大众,Sedan/Hatchback,C,朗逸 (Lavida),ICE,19100,17588,18251,26688,32344,28841,上汽大众,-
中国,大众集团,大众,Sedan/Hatchback,C,速腾 (Sagitar),ICE,22480,20725,18571,9058,22721,24496,一汽-大众汽车,-
中国,大众集团,大众,Sedan/Hatchback,C,高尔夫 (Golf) A8,ICE,4250,1775,3878,3607,5701,5488,一汽-大众汽车,-
中国,大众集团,大众,Sedan/Hatchback,D,CC,ICE,1815,675,2761,2142,2311,3192,一汽-大众汽车,-
中国,大众集团,大众,Sedan/Hatchback,D,全新帕萨特 (New Passat (NMS)),PHV,469,729,1032,888,992,1744,上汽大众,-
中国,大众集团,大众,Sedan/Hatchback,D,全新帕萨特 (New Passat (NMS)),ICE,12725,18020,20519,15557,5664,13309,上汽大众,-
中国,大众集团,大众,Sedan/Hatchback,D,凌渡 L (Lamando L),ICE,7560,9549,8724,7620,10087,13321,上汽大众,-
中国,大众集团,大众,Sedan/Hatchback,D,辉昂 (Phideon),ICE,104,132,2224,527,0,-1,上汽大众,-
中国,大众集团,大众,Sedan/Hatchback,D,迈腾 (Magotan),PHV,1268,2675,24,1233,1274,530,一汽-大众汽车,-
中国,大众集团,大众,Sedan/Hatchback,D,迈腾 (Magotan),ICE,7676,8839,18187,13688,13860,20390,一汽-大众汽车,-
