主图,ASIN,SKU,品牌,商品标题,商品主图,父体,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
,B093CRBVMB,Size: Windshield Sunshade - Regular/Crew/Double Cab,Galaxy Auto Shield,"Custom Fit Windshield Sun Shade for 2019 2020 2021 2022 2023 Chevrolet Silverado 1500 2500 3500, 2Dr 4Dr, Insulated Window Sunshade Privacy Accessories Blockout UV Reflector Protection - Made in USA",https://images-na.ssl-images-amazon.com/images/I/41FWDZxHekL._AC_US200_.jpg,B09WF83LYW,Automotive:Interior Accessories:Sun Protection:Sunshades:Windshield Sunshades,Automotive,"6,440","1,271",21%,Automotive Windshield Sunshades,165,787,"5,700%","29,111",57%,36.99,15,56%,10.57,349,2.29%,4.60,18,2021-04-22,FBA,7,5,2,GalaxyAutoShield,US,"公司名称：LUMINOUS AUTO GROUP LLC
办公地址：
14417 Stonebridge View Drive
Gaithersburg
MD
20877
US",FBA,,,,,,,14.4 ounces,31 x 4 x 3.25 inches,2023-07-04
,B09SYS5KPQ,Color: White,FEYOUN,"FEYOUN Key Fob Cover Compatible with Chevy Chevrolet Colorado Silverado Silverado Suburban Tahoe GMC Canyon Sierra 1500 2500 3500 HD TPU Remote Keyless Key Fob Case Protection Shell Accessories, White",https://images-na.ssl-images-amazon.com/images/I/41XdBe3CjOL._AC_US200_.jpg,B09V2SNFZZ,Automotive:Interior Accessories:Key Shells,Automotive,"9,186","6,393",70%,Key Shells,74,523,"-1,100%","3,122",-11%,5.97,,31%,3.22,281,6.50%,4.70,34,2022-02-20,FBA,10,4,1,,,,FBA,,,,Y,,,0.317 ounces,2.76 x 1.93 x 0.67 inches,2023-07-03
,B08FMVM87V,Size: For Silverado 19-23,CLIM ART,"CLIM ART in-Channel Incredibly Durable Rain Guards for Chevrolet (Chevy) Silverado/GMC Sierra 1500 2019-2023 Crew Cab, Original Window Deflectors, Vent Window Visors, Truck Accessories, 4pcs- 619003LP",https://images-na.ssl-images-amazon.com/images/I/51W54fCv4oL._AC_US200_.jpg,B0C66BGB6P,Automotive:Exterior Accessories:Deflectors & Shields:Side Window Wind Deflectors & Visors,Automotive,"11,033",-219,-2%,Side Window Wind Deflectors & Visors,16,471,"3,000%","35,320",30%,74.99,17,69%,12.25,837,5.94%,4.40,28,2020-08-10,FBA,9,6,3,Spark Lines Inc,US,"公司名称：Spark Lines Inc
办公地址：
1 S Corporate Drive, Suite C
RIVERDALE
NJ
07457
US",FBA,,Y,,Y,,clim art rain guards,1.72 pounds,41.3 x 11.3 x 1.4 inches,2023-07-04
,B092PY8GXJ,Color: （black+black）with white button,JKCOVER,JKCOVER 2PCS Smart Key Fob Case Cover Compatible with 2019 2020 2021 2022 Chevrolet Chevy Silverado and GMC Sierra 1500 2500HD 3500HD Accessories Silicone Black Remote Key Chain Protector (5 Button),https://images-na.ssl-images-amazon.com/images/I/41f-qeDXMjS._AC_US200_.jpg,B09D2X88M9,Automotive:Interior Accessories:Key Shells,Automotive,"8,731","9,625",110%,Key Shells,130,467,-500%,"5,594",-5%,11.98,7,57%,3.40,"1,376",5.78%,4.60,27,2021-04-15,FBA,9,3,1,JKCOVER,CN,"公司名称：Guangzhou Songxianjun Trading Co.,LTD
办公地址：
鹤龙街鹤边五社通达创意园西区二横路1号7栋503室
广州市
白云区
广东
510000
CN",FBA,,Y,,Y,,Key Shells by JKCOVER,0.1 pounds,2.7 x 1.7 x 0.6 inches,2023-07-03
,B0BF17PN2M,Color: Red,Kirsnda,"Kirsnda for Chevrolet key fob cover case with keychain,Soft TPU key Shell/skin,4-Buttons fit GMC chevy Colorado Silverado Suburban Tahoe Silverado Remote Key Vehicle Accessories(Red)",https://images-na.ssl-images-amazon.com/images/I/41Ncvtvp8+L._AC_US200_.jpg,B0BF18QT4F,Automotive:Interior Accessories:Key Shells,Automotive,"10,324",437,4%,Key Shells,88,426,"12,200%","5,938",122%,13.94,,62%,3.22,63,5.87%,4.40,25,2022-09-11,FBA,10,5,1,Kirsnda,CN,"公司名称：Guangzhou Chuangyinka Trading Co., Ltd.",FBA,,,,Y,,,1.87 ounces,3 x 2.5 x 0.5 inches,2023-07-03
,B08FMVWHX1,Size: For Silverado 1500 19-23,Goodyear,"Goodyear Shatterproof in-Channel Window Deflectors for Chevrolet (Chevy) Silverado/GMC Sierra 1500 2019-2023 Crew Cab,Rain Guards,Window Visors,Vent Deflector, Truck Accessories,4pcs- GY003415LP",https://images-na.ssl-images-amazon.com/images/I/51dQo2RNmXL._AC_US200_.jpg,B0C69PZKW6,Automotive:Exterior Accessories:Deflectors & Shields:Side Window Wind Deflectors & Visors,Automotive,"15,174","-1,453",-10%,Side Window Wind Deflectors & Visors,22,385,"5,500%","30,796",55%,79.99,31,69%,12.67,919,6.75%,4.40,26,2020-08-10,FBM,9,6,1,Spark Lines Inc,US,"公司名称：Spark Lines Inc
办公地址：
1 S Corporate Drive, Suite C
RIVERDALE
NJ
07457
US",FBM,,Y,,Y,,goodyear window deflectors,2.14 pounds,41.9 x 12.1 x 1.8 inches,2023-07-04
,B0BFWFJSWS,Size: 2019-2023 Silverado/GMC Sierra,Autorder,Autorder Custom Fit for Dashboard Cover Mat for 2019-2022 2023 Chevrolet Silverado/GMC Sierra 1500 2500 3500 Accessories Dash Mat Flannel Nonslip Dash Cover Sunshade Glare UV Rays Protector Black,https://images-na.ssl-images-amazon.com/images/I/51ruFeVrvML._AC_US200_.jpg,B0C5DF16FC,Automotive:Interior Accessories:Covers:Dash Covers,Automotive,"12,589","3,115",25%,Interior Dash Covers,20,306,"12,700%","8,837",127%,28.88,7,63%,6.39,239,6.54%,4.20,20,2022-09-19,FBA,10,9,1,Autorder-US,CN,"公司名称：Guangzhou Huadi Auto Supplies Co., Ltd.
办公地址：
均禾街清湖苏元庄街三横路1号一栋2楼201
广州市
白云区
广东省
510440
CN",FBA,,,,Y,,,1.17 pounds,11.1 x 8.39 x 4.29 inches,2023-07-04
,B0BNHBXCHG,,SOYATER,SOYATER Leather Car Keychain Set for Chevrolet Silverado Colorado Tahoe Malibu Suburban Camaro Cruze Equinox Sonic r Men's and Women's Family Presents Keychain Keyring Lanyard Accessories (Black),https://m.media-amazon.com/images/I/41KUgwEx5RL._AC_US200_.jpg,B0BNHBXCHG,Automotive:Interior Accessories:Keychains,Automotive,"44,114","4,587",13%,Keychains,442,288,"-4,500%","3,450",-45%,11.98,,58%,3.22,37,0.00%,4.60,0,2022-11-27,FBA,7,1,1,yuxihongtaquminxiushangmaoyouxiangongsi,CN,"公司名称：yuxihongtaquminxiushangmaoyouxiangongsi
办公地址：
老观桥丽阳时代小区
巴中市
巴州区
四川省
636000
CN",FBA,,,Y,,,,1.76 ounces,5.71 x 2.2 x 0.55 inches,2023-07-03
,B09C5S84K7,Color: Black & Black with Red Button,PIMCAR,"PIMCAR Remote Silicone Protector Smart 5-Button Key Fob Case Cover Compatible with 2019-2023 Chevrolet Chevy Silverado and GMC Sierra 1500 2500HD 3500HD Accessories (Black with Red Button, 2PCS)",https://images-na.ssl-images-amazon.com/images/I/418ShVBr6+L._AC_US200_.jpg,B09HX4Z2BF,Automotive:Interior Accessories:Key Shells,Automotive,"36,092","-15,539",-43%,"Key Shells
Keychains","199
214",257,-200%,"3,081",-2%,11.99,6,57%,3.40,654,7.39%,4.60,19,2021-08-08,FBA,9,3,1,PIMCAR,CN,"公司名称：guangzhouhuangannamaoyiyouxiangongsi
办公地址：
鹤龙街鹤边通达创意园西区二横路1号7号楼5楼506
广州市
白云区
广东省
510000
CN",FBA,,Y,,Y,,Key Shells by PIMCAR,4.2 ounces,8.7 x 5.7 x 0.7 inches,2023-07-04
,B0BFDL7SWZ,Size: Fit Full Console | Color: 2022-2023,Xipoo,"Xipoo Fit Chevrolet Silverado Wireless Charger 2022-2023 15W Fast Charging Wireless Charger Tray for 2022 2023 Chevy Silverado GMC Sierra 1500 2500HD 3500HD Accessories (Fit Full Console, 2022-2023)",https://images-na.ssl-images-amazon.com/images/I/51lpaq3INrL._AC_US200_.jpg,B09V1DW7HH,Automotive:Tools & Equipment:Garage & Shop:Electric Vehicle Charging Equipment:Charging Stations,Automotive,"18,298","5,533",30%,Automotive Center Consoles,184,253,"3,700%","43,007",37%,169.99,32,82%,5.69,55,1.19%,3.50,3,2022-09-14,FBA,9,8,1,Eureka 1,CN,"公司名称：Changzhouyuechicheliangpeijianyouxiangongsi
办公地址：
孟河镇汤家村委西潘23号
常州市
新北区
江苏省
213000
CN",FBA,,,,Y,,,1.41 pounds,11.54 x 8.54 x 2.72 inches,2023-07-04
