主图,ASIN,SKU,品牌,商品标题,商品主图,父体,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
,B0C16HLFSJ,Color: Bd-.4,Labstandard,"for GMC Car Cup Holder Coaster,Cup Holder Insert Coaster for GMC Sierra Denali Canyon Terrain Yukon Jimmy Acadia,Anti Slip Car Cup Coaster for Audi Interior Accessories,Black",https://images-na.ssl-images-amazon.com/images/I/51YGCnBFkhL._AC_US200_.jpg,B0C16GFZXV,Automotive:Interior Accessories:Cup Holders,Automotive,"3,682","2,799",104%,Automotive Cup Holders,63,"1,028","21,300%","12,325",213%,11.99,,58%,3.22,17,1.07%,4.80,11,2023-03-31,FBA,7,3,1,,,,FBA,,,Y,,,,0.81 ounces,"2.75""L x 2.75""W",2023-07-03
,B07DQD19Y1,Color: Black Trim,JDMCAR,JDMCAR Compatible with Center Console Tray Chevy Colorado/GMC Canyon Accessories 2015-2020 2021 2022,https://images-na.ssl-images-amazon.com/images/I/51cUJcEHlpL._AC_US200_.jpg,B09LS1WL9S,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"8,027","-3,000",-37%,Automotive Center Consoles,56,793,-800%,"13,473",-8%,16.99,55,53%,5.40,"7,088",9.96%,4.80,79,2018-06-10,FBA,9,2,1,JDMCAR,CN,"公司名称：Guangzhouzhigongmaoyiyouxiangongsi
办公地址：
嘉禾街鹤泰路
五社通达创意园7号507房
广州市
白云区
广东省
510000
CN",FBA,,Y,,Y,,Automotive Center Consoles by JDMCAR,0.58 pounds,9.4 x 6.5 x 2.8 inches,2023-07-04
,B0BW4PW651,Color: A,aocotain,2 PCS Car Cup Holder Insert Coaster Interior Accessories Silicone Anti Slip Cup Mat for GMC Terrain Acadia Yukon Canyon Sierra Savana (2.75&quot; Diameter),https://images-na.ssl-images-amazon.com/images/I/41YWS+C-y6L._AC_US200_.jpg,B0C4RC69XV,Automotive:Interior Accessories:Cup Holders,Automotive,"246,016","-219,807",-89%,Automotive Cup Holders,585,555,"-3,100%","5,544",-31%,9.99,,53%,3.22,33,2.34%,4.80,13,2023-03-13,NA,8,4,1,,,,NA,,Y,,,,Automotive Cup Holders by aocotain,1.48 ounces,"2.75""L x 2.75""W",2023-06-28
,B09SYS5KPQ,Color: White,FEYOUN,"FEYOUN Key Fob Cover Compatible with Chevy Chevrolet Colorado Silverado Silverado Suburban Tahoe GMC Canyon Sierra 1500 2500 3500 HD TPU Remote Keyless Key Fob Case Protection Shell Accessories, White",https://images-na.ssl-images-amazon.com/images/I/41XdBe3CjOL._AC_US200_.jpg,B09V2SNFZZ,Automotive:Interior Accessories:Key Shells,Automotive,"9,186","6,393",70%,Key Shells,74,523,"-1,100%","3,122",-11%,5.97,,31%,3.22,281,6.50%,4.70,34,2022-02-20,FBA,10,4,1,,,,FBA,,,,Y,,,0.317 ounces,2.76 x 1.93 x 0.67 inches,2023-07-03
,B0BVFZVFBG,,JDMCAR,JDMCAR Center Console Cover Compatible with 2015-2022 Chevy Colorado/GMC Canyon Accessories Customized Neoprene Armrest Box Lid Protector Cover,https://images-na.ssl-images-amazon.com/images/I/41P0p4a0cAL._AC_US200_.jpg,B0BVFZVFBG,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"18,659","-6,241",-33%,Automotive Center Consoles,178,375,"-1,100%","7,496",-11%,19.99,,53%,6.39,48,4.00%,4.80,15,2023-02-09,NA,10,1,1,,,,NA,,Y,,Y,,Automotive Center Consoles by JDMCAR,0.01 pounds,14.61 x 9.69 x 2.76 inches,2023-07-04
,B09539X4D7,Size: For Colorado 15-22,Goodyear,"Goodyear Shatterproof in-Channel Window Deflectors for Trucks Chevrolet (Chevy) Colorado/GMC Canyon 2015-2022 Crew Cab, Rain Guards, Window Visors, Vent Deflector,Truck Accessories,4pcs.-GY003429LP",https://images-na.ssl-images-amazon.com/images/I/51dGyQvytnL._AC_US200_.jpg,B0C69R9GQ7,Automotive:Exterior Accessories:Deflectors & Shields:Side Window Wind Deflectors & Visors,Automotive,"15,964","-3,112",-19%,Side Window Wind Deflectors & Visors,51,283,"2,800%","24,335",28%,85.99,3,70%,12.67,252,6.01%,4.50,17,2021-05-16,FBA,9,6,2,,,,FBA,,Y,,Y,,goodyear window deflectors,4.24 pounds,41.9 x 12.1 x 1.8 inches,2023-07-03
,B08L92YR3K,Color: Red,JDMCAR,"JDMCAR Custom Liner Accessories Compatible with Chevy Colorado/GMC Canyon 2015-2021 2022, Cup Holder, Door Pocket, and Center Console Insert Mat Kit 26-PC Set (Crew Cab, Red Trim)",https://images-na.ssl-images-amazon.com/images/I/51ksJcmJ7oL._AC_US200_.jpg,B08SJP8XRC,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"28,044","-7,204",-26%,Automotive Center Consoles,253,277,-500%,"5,537",-5%,19.99,11,64%,4.24,"1,061",3.61%,4.30,10,2020-10-15,FBA,10,4,1,,,,FBA,,Y,,Y,,Automotive Center Consoles by JDMCAR,12 ounces,15 x 7 x 0.5 inches,2023-07-03
,B07PGW539W,Size: Crew Cab Automatic (4 External Door Handles) | Color: Gray Trim,CupHolderHero,"CupHolderHero fits Chevy Colorado and GMC Canyon Accessories 2015-2022 Interior Non-Slip Anti Dust Cup Holder Inserts, Center Console Liner Mats, Door Pocket 26-pc Set (Crew Cab) (Gray Trim)",https://images-na.ssl-images-amazon.com/images/I/51zh0m1aQlL._AC_US200_.jpg,B07PGW8PVN,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"33,048","-8,391",-25%,Automotive Center Consoles,451,237,"3,100%","7,960",31%,33.59,40,72%,4.24,508,0.00%,4.30,0,2019-03-20,FBA,9,8,1,CupHolderHero,US,"公司名称：Suma Brands Funding I, LLC
办公地址：
310 4th Ave S Suite 5010 PMB 95932
Minneapolis
MN
55415
US",FBA,,,,Y,,,0.31 pounds,12 x 5 x 0.1 inches,2023-07-04
,B0C4YD5XLT,Color: black-03,aocotain,4 PCS Car Wheel Air Cover Exterior Accessories Tire Stem Valve Caps Dust Cover Black Metal Tyre Valve Stem Cap Accessory for GMC Terrain Acadia Yukon Canyon Sierra Savana,https://images-na.ssl-images-amazon.com/images/I/51ZD3Pf1hKL._AC_US200_.jpg,B0C4YBCR67,Automotive:Tires & Wheels:Accessories & Parts:Valve Stems & Caps:Stem Caps,Automotive,"57,712","-22,235",-39%,Tire Valve Stem Caps,269,148,,"1,478",,9.99,,53%,3.22,,,,,2023-05-10,NA,6,6,1,,,,NA,,,,,,,0.422 ounces,4.65 x 2.8 x 0.28 inches,2023-06-18
,B091MK219K,Color: Red,EDBETOS,EDBETOS Center Console Organizer Tray Compatible with Chevy Colorado GMC Canyon Accessories 2015 2016 2017 2018 2019 2020 2021 2022 Armrest Secondary Storage Glove Box (Red Trim),https://m.media-amazon.com/images/I/51cWWrqE3WL._AC_US200_.jpg,B0949HPV6K,Automotive:Interior Accessories:Consoles & Organizers:Glove Box Organizers,Automotive,"44,643","13,566",40%,"Glove Box Organizers
Automotive Center Consoles","101
403",127,-100%,"1,852",-1%,14.59,10,48%,5.40,"1,159",3.91%,4.60,5,2021-04-02,FBA,2,3,1,BETOS INC,CN,公司名称：Guangzhou Bitusi Maoyi youxian gongsi,FBA,,,,Y,,,9.5 ounces,9.29 x 6.46 x 2.72 inches,2023-07-02
,B0C62795DF,Model: White-Single Set,Yuebutor,Yuebutor Key Fob Cover Case Compatible with Chevy Silverado 1500 2500HD 3500HD Tahoe Suburban Colorado Canyon GMC Sierra Yukon Accessories Shell Protector (White-Single Set),https://images-na.ssl-images-amazon.com/images/I/31SmUXWkCQL._AC_US200_.jpg,B0C629N13C,Automotive:Interior Accessories:Key Shells,Automotive,"42,843","-12,808",-30%,Key Shells,331,106,,"1,161",,10.96,,50%,3.86,,,,,2023-05-22,FBA,8,8,1,Yuebutor,CN,"公司名称：Guangzhou Touyue Trading Co.
办公地址：
黄村北路26号D区二楼7788房之743（仅限办公）
广州
天河
广东
510630
CN",FBA,,,,Y,,,0.01 pounds,2.5 x 1.5 x 0.1 inches,2023-07-03
,B088VN5RS3,,TN TrunkNets Inc,Truck Bed Envelope Style Mesh Cargo Net for Chevrolet Colorado and GMC Canyon 2015-2023 - Car Accessories - Premium Truck Bed Organizer - Vehicle Carrier Organizer for Chevrolet and GMC,https://m.media-amazon.com/images/I/61HHyObNQHL._AC_US200_.jpg,B088VN5RS3,Automotive:Exterior Accessories:Truck Bed & Tailgate Accessories:Cargo Nets,Automotive,"208,936","127,612",236%,Automotive Cargo Nets,526,90,"2,400%","2,695",24%,29.95,3,69%,4.75,155,5.56%,4.00,5,2020-05-18,FBA,7,1,2,TrunkNets Inc,US,公司名称：Trunknets LLC,FBA,,,,,,,12.8 ounces,7.8 x 5.1 x 2.5 inches,2023-07-03
,B08TQNBQHR,Style: 5 inchs 2-Stair Drop Side Steps,KYX,"KYX 5 Inches Running Boards Compatible with 2015-2022 Chevy Colorado/GMC Canyon Crew Cab, Drop Side Steps Nerf Bars Rock Slider, Car Steel Step Guards,Pickup Truck Step Rails Accessories",https://images-na.ssl-images-amazon.com/images/I/415WLBxjOpL._AC_US200_.jpg,B0BTHM5Q5L,Automotive:Exterior Accessories:Running Boards & Steps:Running Boards,Automotive,"64,514","-6,517",-10%,Running Boards,58,86,"4,700%","18,059",47%,209.99,12,65%,42.99,171,10.47%,4.60,9,2021-07-26,AMZ,10,4,1,Amazon,,,AMZ,,,,Y,,,500 Pounds,79 x 9.5 x 9.5 inches,2023-07-04
,B0B5XTKQ6H,Size: 2015-2020 GMC Canyon/Chevy Colorado,Shademax,Shademax Stake Pocket Covers Custom Fit for 2015-2020 GMC Canyon/Chevy Colorado Truck Bed Rail Hole Plugs Stake Pocket Caps Cover Accessories (Set of 2),https://m.media-amazon.com/images/I/41PcB1JSbYL._AC_US200_.jpg,B0C9TTPS1C,Automotive:Exterior Accessories:Truck Bed & Tailgate Accessories:Tonneau Covers,Automotive,"37,376","58,520",157%,Truck Tonneau Covers,379,82,"-4,900%",956,-49%,11.66,7,50%,4.08,61,7.32%,4.10,6,2022-07-05,FBA,9,4,1,Shademax-US,CN,公司名称：Guang zhou hua di shi ye you xian gong si,FBA,,,,Y,,,6.4 ounces,4.88 x 4.88 x 1.34 inches,2023-07-04
,B07KY14B8Z,Color: Heavy Texture,TAC TRUCK ACCESSORIES COMPANY,TAC Side Steps Running Boards Fit 2015-2023 Chevy Colorado/GMC Canyon Crew Cab Truck Pickup 3&quot; Texture Black Side Bars Nerf Bars Step Rails Running Boards Off Road Exterior Accessories 2Pcs,https://m.media-amazon.com/images/I/31rlWkxhOYL._AC_US200_.jpg,B0BSRQTKQM,Automotive:Exterior Accessories:Running Boards & Steps:Running Boards,Automotive,"131,553","8,952",12%,Running Boards,231,81,"-3,400%","13,364",-34%,164.99,101,63%,38.79,859,14.81%,4.70,12,2018-11-27,FBM,9,3,2,TSS_USA,US,公司名称：California,FBM,,Y,,Y,,Running Boards by TAC TRUCK ACCESSORIES COMPANY,35.2 Pounds,83.5 x 9.3 x 8.6 inches,2023-07-02
,B0B5HNNT1B,Color: Black,WSAuto,WSAuto Key Fob Cover with Metal Keychain for Chevy Chevrolet Colorado Silverado Suburban Tahoe GMC Canyon Sierra 1500 2500 3500HD TPU Remote Keyless Key Fob Case Protection Shell Accessories Black,https://images-na.ssl-images-amazon.com/images/I/51bAi-IKR7L._AC_US200_.jpg,B0B5HNVNSV,Automotive:Interior Accessories:Key Shells,Automotive,"229,904","-170,613",-74%,Key Shells,1890,63,"-1,800%",629,-18%,9.99,,53%,3.22,34,1.59%,4.50,1,2022-06-29,FBA,8,4,1,WSAuto,CN,"公司名称：Guangzhouweishimaoyiyouxiangongsi
办公地址：
农林下路81号之
19B1-A1975（集群注册）
广州市
越秀区
广东省
510030
CN",FBA,,,,,,,1.44 ounces,5.59 x 4.61 x 0.59 inches,2023-06-30
,B0BFB4Z8LD,Color: Red,JWWY,"JWWY for Colorado Radio AC Knobs Air Conditioner Switch Button for 2015-2022 Chevrolet Colorado, Center Console 4WD Switch Knob for GMC Chevy Colorado GMC Canyon Accessories Aluminum Alloy Red",https://m.media-amazon.com/images/I/51rOJzQJlfL._AC_US200_.jpg,B0BZVBF8QN,Automotive:Replacement Parts:Switches & Relays:Switches:Air Conditioning:Air Conditioning & Heater Control,Automotive,"155,848","90,881",115%,Automotive Replacement Heater Control Switches,152,63,"5,100%","1,637",51%,25.99,,70%,3.86,34,6.35%,4.30,4,2022-09-13,FBA,10,7,1,JWWY,CN,"公司名称：ShenZhen BaiShunTongDa Technology Co. Ltd
办公地址：
平湖街道平新北路
融湖中心城1栋A单元403室
深圳
龙岗区
广东
518111
CN",FBA,,,Y,Y,,,2.18 ounces,4.09 x 3.98 x 1.3 inches,2023-07-01
