主图,ASIN,SKU,品牌,商品标题,商品主图,父体,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
,B07MLXMV8Y,Color: Black,JOJOMARK,"JOJOMARK Center Console Organizer Tray Compatible with 2014-2018 GMC Sierra Accessories, (2015-2020) Yukon/Chevy Tahoe Silverado Suburban, Armrest Storage Box Replaces 22817343(Black)",https://images-na.ssl-images-amazon.com/images/I/51ZgyiykFhL._AC_US200_.jpg,B09DB7N73M,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"3,060",445,15%,Automotive Center Consoles,11,"1,098",-100%,"18,655",-1%,16.99,21,49%,6.10,"4,563",5.56%,4.70,61,2019-01-07,FBA,9,3,1,JOJOMARK,CN,"公司名称：Shenzhen LianTaiying electronic Technology Co.,LTD
办公地址：
红星社区
红星国际新城一期2-31D
深圳市
宝安区松岗街道
广东
518000
CN",FBA,,,,Y,,,1.21 pounds,13.1 x 7.1 x 1.5 inches,2023-07-04
,B0C16HLFSJ,Color: Bd-.4,Labstandard,"for GMC Car Cup Holder Coaster,Cup Holder Insert Coaster for GMC Sierra Denali Canyon Terrain Yukon Jimmy Acadia,Anti Slip Car Cup Coaster for Audi Interior Accessories,Black",https://images-na.ssl-images-amazon.com/images/I/51YGCnBFkhL._AC_US200_.jpg,B0C16GFZXV,Automotive:Interior Accessories:Cup Holders,Automotive,"3,682","2,799",104%,Automotive Cup Holders,63,"1,028","21,300%","12,325",213%,11.99,,58%,3.22,17,1.07%,4.80,11,2023-03-31,FBA,7,3,1,,,,FBA,,,Y,,,,0.81 ounces,"2.75""L x 2.75""W",2023-07-03
,B08LYTT4Y7,"Size: 2PCS | Color: Black, Black",TANDRIVE,"TANDRIVE 2PCS Silicone Smart Key Fob Case Cover For 2023 2022 2021 2020 2019 Chevy Silverado And GMC Sierra 1500 2500HD 3500HD, Remote Protector Accessories Holder(5-Button, Black and Black)",https://images-na.ssl-images-amazon.com/images/I/41dpfbbpKYL._AC_US200_.jpg,B09LMK2X2H,Automotive:Interior Accessories,Automotive,"6,287","-1,377",-22%,Automotive Interior Accessories,1255,769,"1,500%","9,220",15%,11.99,8,58%,3.22,"2,417",6.76%,4.70,52,2020-10-26,FBA,9,9,1,Tandrive,CN,"公司名称：Hebei Kuyu Maoyi Youxian Zeren Gongsi
办公地址：
柳林镇仙人村村南（阿尔卡迪亚酒店对面）
邢台市
内丘县
河北省
054200
CN",FBA,,Y,,Y,,2020 gmc denali key fob cover,3.52 ounces,7.2 x 4.96 x 0.67 inches,2023-07-03
,B095RJCDQM,Color: Half-size tray with black trim,JKCOVER,JKCOVER Compatible with Chevy Silverado/GMC Sierra 2014-2018 and Chevy Tahoe Suburban/GMC Yukon 2015-2020 Center Console Organizer Tray Accessories-Full Console w/Bucket Seats ONLY - (Black Trim),https://images-na.ssl-images-amazon.com/images/I/519zmloFr+L._AC_US200_.jpg,B0B722FHR2,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"8,239","-1,030",-12%,Automotive Center Consoles,57,663,-800%,"11,264",-8%,16.99,11,49%,6.10,"1,540",7.24%,4.70,48,2021-05-24,FBA,10,3,1,JKCOVER,CN,"公司名称：Guangzhou Songxianjun Trading Co.,LTD
办公地址：
鹤龙街鹤边五社通达创意园西区二横路1号7栋503室
广州市
白云区
广东
510000
CN",FBA,,,,Y,,,1.17 pounds,13.58 x 7.36 x 3.39 inches,2023-07-04
,B07YV6PGBB,Color: Chrome,Wheel Accessories Parts,Wheel Accessories Parts 24 Pcs 14mm 1.50 14x1.50 Thread GM 9596070 | 611-236 1.77&quot; Long OEM Style Lug Nuts Chrome 7/8&quot; Hex Fits 2008+ Chevy Silverado GMC Sierra 1500,https://images-na.ssl-images-amazon.com/images/I/41GJOdGNNWL._AC_US200_.jpg,B07YVBGG5M,Automotive:Tires & Wheels:Accessories & Parts:Lug Nuts & Accessories:Lug Nuts,Automotive,"10,666",503,5%,Wheel & Tire Lug Nuts,29,555,100%,"20,612",1%,37.14,37,64%,7.97,"1,288",5.95%,4.30,33,2019-10-07,FBA,10,2,2,,,,FBA,,,,Y,,,5.37 pounds,6.85 x 4.84 x 2.4 inches,2023-07-03
,B0BW4PW651,Color: A,aocotain,2 PCS Car Cup Holder Insert Coaster Interior Accessories Silicone Anti Slip Cup Mat for GMC Terrain Acadia Yukon Canyon Sierra Savana (2.75&quot; Diameter),https://images-na.ssl-images-amazon.com/images/I/41YWS+C-y6L._AC_US200_.jpg,B0C4RC69XV,Automotive:Interior Accessories:Cup Holders,Automotive,"246,016","-219,807",-89%,Automotive Cup Holders,585,555,"-3,100%","5,544",-31%,9.99,,53%,3.22,33,2.34%,4.80,13,2023-03-13,NA,8,4,1,,,,NA,,Y,,,,Automotive Cup Holders by aocotain,1.48 ounces,"2.75""L x 2.75""W",2023-06-28
,B07V5WQXNG,Size: 2014-2018 - Bench Seat (SEATING FOR 6) CREW CAB | Color: Red Trim,CupHolderHero,"CupHolderHero for 2014-2022 Chevy Silverado 1500 Accessories and GMC Sierra - Interior Cup Holder Inserts, Center Console Liner Mats, Door Pocket 33-pc Set (Crew Cab with Bench Seats) (Red Trim)",https://images-na.ssl-images-amazon.com/images/I/51MJOnn2f+L._AC_US200_.jpg,B0BFCN3VS2,Automotive:Interior Accessories:Cup Holders,Automotive,"8,159",-133,-2%,Automotive Cup Holders,130,549,"1,100%","19,204",11%,34.98,150,69%,5.69,"4,636",5.83%,4.00,32,2019-09-02,FBA,9,36,1,CupHolderHero,US,"公司名称：Suma Brands Funding I, LLC
办公地址：
310 4th Ave S Suite 5010 PMB 95932
Minneapolis
MN
55415
US",FBA,,,,Y,,,0.62 pounds,12.4 x 8.54 x 2.28 inches,2023-07-04
,B097SNZKH3,,Proadsy,"Proadsy Front Windshield Sun Shade Foldable Sunshade Protector Custom Fit 2023 2022 2021 2020 2019 GMC Sierra 1500 2500 3500 SLT, AT4, Denali Pickup Accessories 2023 Upgrade",https://images-na.ssl-images-amazon.com/images/I/41oAzJPEgLS._AC_US200_.jpg,B097SNZKH3,Automotive:Interior Accessories:Sun Protection:Sunshades:Windshield Sunshades,Automotive,"4,658","3,721",80%,Automotive Windshield Sunshades,134,541,"-1,700%","15,683",-17%,28.99,12,63%,6.39,342,4.07%,4.60,22,2021-07-09,FBA,10,1,1,Proadsy Direct,CN,"公司名称：Lai Zengdi
办公地址：
No. 211, 2nd Floor, Building 2, No. 2, Shuiku Road
Nankeng Community, Bantian Street, Longgang District
Shenzhen
Guangdong
518000
CN",FBA,,Y,,Y,,Automotive Windshield Sunshades by Proadsy,1.19 pounds,12.8 x 12.68 x 2.24 inches,2023-07-03
,B09SYS5KPQ,Color: White,FEYOUN,"FEYOUN Key Fob Cover Compatible with Chevy Chevrolet Colorado Silverado Silverado Suburban Tahoe GMC Canyon Sierra 1500 2500 3500 HD TPU Remote Keyless Key Fob Case Protection Shell Accessories, White",https://images-na.ssl-images-amazon.com/images/I/41XdBe3CjOL._AC_US200_.jpg,B09V2SNFZZ,Automotive:Interior Accessories:Key Shells,Automotive,"9,186","6,393",70%,Key Shells,74,523,"-1,100%","3,122",-11%,5.97,,31%,3.22,281,6.50%,4.70,34,2022-02-20,FBA,10,4,1,,,,FBA,,,,Y,,,0.317 ounces,2.76 x 1.93 x 0.67 inches,2023-07-03
,B0B8ZJ26RW,Color: Black Trim,JKCOVER,JKCOVER Center Console Organizer Compatible with Chevy Silverado/GMC Sierra 2014 2015 2016 2017 2018 1500/2500/3500HD Accessories Console Compartment Storage Tray -Full Console w/Bucket Seats ONLY,https://images-na.ssl-images-amazon.com/images/I/51vEkOt6-RL._AC_US200_.jpg,B0BLJYQ2XB,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"15,772","-4,260",-27%,Automotive Center Consoles,91,511,"-1,600%","14,302",-16%,27.99,4,65%,5.69,336,4.31%,4.80,22,2022-08-07,FBA,9,2,1,,,,FBA,,Y,Y,Y,,Automotive Center Consoles by JKCOVER,14.07 Ounces,11 x 8.3 x 2.4 inches,2023-07-04
