主图,ASIN,SKU,品牌,商品标题,商品主图,父体,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
,B09XXML31D,Color: Full Size,PIMCAR,PIMCAR Center Console Organizer Upgrade Flocked Liner Interior Compatible with Dodge RAM 1500 2500 3500 2019 2020 2021 2022 2023 ABS Plastic Material Shell Armrest Box Insert Tray Accessories,https://images-na.ssl-images-amazon.com/images/I/51xatVm0qoL._AC_US200_.jpg,B0BNVMC7N2,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"9,004","2,719",30%,Automotive Center Consoles,26,605,"1,200%","13,908",12%,22.99,5,60%,5.69,276,6.12%,4.80,37,2022-04-13,FBA,9,3,1,PIMCAR,CN,"公司名称：guangzhouhuangannamaoyiyouxiangongsi
办公地址：
鹤龙街鹤边通达创意园西区二横路1号7号楼5楼506
广州市
白云区
广东省
510000
CN",FBA,,Y,,Y,,Automotive Center Consoles by PIMCAR,14.4 ounces,11.46 x 11.02 x 2.13 inches,2023-07-04
,B08SK53BQT,,Motrobe,Center Console Organizer Tray for Dodge RAM 1500 2500 3500 2023 2022 2021 2020 2019 Armrest Storage Box Accessories Black,https://images-na.ssl-images-amazon.com/images/I/51W7-yg6GxL._AC_US200_.jpg,B08SK53BQT,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"10,272","-1,511",-15%,Automotive Center Consoles,99,550,700%,"10,994",7%,19.99,22,57%,5.69,"1,580",5.82%,4.30,32,2021-01-08,FBA,10,1,1,Motrobe,CN,"公司名称：GUO JIN WEI
办公地址：
泗水镇大联里联村5号
茂名市
高州市
广东省
525249
CN",FBA,,Y,,Y,,Automotive Center Consoles by Motrobe,0.1 pounds,0.1 x 0.1 x 0.1 inches,2023-07-04
,B07SJG1QNL,Size: For RAM 09-18,Goodyear,"Goodyear Shatterproof in-Channel Window Deflectors for Trucks Dodge RAM 2009-2018 Crew Cab 1500 2500 3500, Rain Guards, Window Visors for Cars, Vent Deflector, Truck Accessories, 4 pcs- GY003404",https://images-na.ssl-images-amazon.com/images/I/51sM8H2YL+L._AC_US200_.jpg,B0C867JB37,Automotive:Exterior Accessories:Deflectors & Shields:Side Window Wind Deflectors & Visors,Automotive,"11,014","1,916",17%,Side Window Wind Deflectors & Visors,15,387,-400%,"32,891",-4%,84.99,35,70%,12.67,903,7.24%,4.30,28,2019-05-30,FBA,9,6,2,Spark Lines Inc,US,"公司名称：Spark Lines Inc
办公地址：
1 S Corporate Drive, Suite C
RIVERDALE
NJ
07457
US",FBA,,,,,,,1.41 pounds,41.9 x 12 x 2.7 inches,2023-07-04
,B09CKPKQX6,Size: RAM 1500,Proadsy,"Proadsy Front Windshield Sun Shade Foldable Sunshade Protector Custom Fit 2019 2020 2021 2022 2023 Dodge RAM 1500 2Dr RegularCab, 4Dr QuadCab, CrewCab, MegaCab Pickup Accessories 2023 Upgrade",https://images-na.ssl-images-amazon.com/images/I/41MankdVIAL._AC_US200_.jpg,B09HC7LR43,Automotive:Interior Accessories:Sun Protection:Sunshades:Windshield Sunshades,Automotive,"10,273","8,830",86%,Automotive Windshield Sunshades,253,370,500%,"10,726",5%,28.99,11,64%,6.10,255,3.78%,4.60,14,2021-08-20,FBA,10,2,1,Proadsy Direct,CN,"公司名称：Lai Zengdi
办公地址：
No. 211, 2nd Floor, Building 2, No. 2, Shuiku Road
Nankeng Community, Bantian Street, Longgang District
Shenzhen
Guangdong
518000
CN",FBA,,Y,,Y,,Automotive Windshield Sunshades by Proadsy,12 ounces,13.27 x 12.8 x 1.65 inches,2023-07-04
,B0BYW83LS2,Color: R-black,SINLAKUA,SINLAKUA Car Keychain for RAM 1500 Accessories Metal/Enamel Key Chain Ring 3D Model Pickup Truck 2&quot;x1.3&quot; Black,https://images-na.ssl-images-amazon.com/images/I/41fXpobDV+L._AC_US200_.jpg,B0BYW7L2N9,"Clothing, Shoes & Jewelry:Novelty & More:Clothing:Novelty:Men:Accessories:Keychains","Clothing, Shoes & Jewelry","91,912","-9,114",-10%,Men's Novelty Keychains,28,368,"10,000%","4,412",100%,11.99,,53%,3.22,21,2.72%,4.50,10,2023-03-17,FBA,8,4,1,,,,FBA,,,Y,,,,0.634 ounces,3.9 x 2.68 x 0.31 inches,2023-07-03
,B09YD39W2S,Size: B:Concave Front+Flat Rear | Color: Full Set/Black,Truckiipa,"Truckiipa Seat Covers for Dodge Ram 1500 Full Set, Full Coverage Waterproof Leather Protectors Pickup Truck Accessories, Custom Fit for 2002-2023 Ram 1500 2500 3500 Crew Mega Cab, Black",https://images-na.ssl-images-amazon.com/images/I/51bh3wkAyEL._AC_US200_.jpg,B0B6BJS9JG,Automotive:Interior Accessories:Seat Covers & Accessories:Seat Covers,Automotive,"28,183","-11,767",-42%,Automotive Seat Covers,302,335,"1,500%","60,296",15%,179.99,20,72%,22.75,154,5.37%,4.30,18,2022-04-19,FBA,9,11,1,Truckiipa,CN,"公司名称：Guangxijianjiachuanmeiyouxiangongsi
办公地址：
大港工业区凤洋三路128号
宁波市
北仑区
浙江省
345800
CN",FBA,,,,Y,,,16.32 pounds,25.8 x 23 x 7.4 inches,2023-07-03
,B0B14ZSWDQ,Color: Model A silver,Tsisun,Tsisun Smart Key Fob Cover Case for 2019-2022 3/4/5/6 Button Protector Interior Accessories（Black）,https://images-na.ssl-images-amazon.com/images/I/41Y8Zv06xML._AC_US200_.jpg,B0BK79XS5R,Automotive:Interior Accessories:Key Shells,Automotive,"13,675",-182,-1%,Key Shells,73,320,"-3,000%","5,756",-30%,17.99,,64%,3.86,206,4.69%,4.20,15,2022-05-11,FBA,7,4,1,qinmeihuaaa,CN,"公司名称：sichuanzhonghuanglijiandianzishangwuyouxiangongsi
办公地址：
同和路329号华凌小区166号楼15单元1569
白云区
广州市
广东省
501515
CN",FBA,,Y,,,,Key Shells by Tsisun,2.39 ounces,6.73 x 3.66 x 0.87 inches,2023-07-04
,B08FTHRVCR,Size: For RAM 19-23,CLIM ART,"CLIM ART in-Channel Incredibly Durable Rain Guards for Dodge RAM 1500 2019-2023 Crew Cab, Original Window Deflectors, Vent Deflector, Vent Window Visors, Dark Smoke Truck Accessories, 4 pcs- 619006LP",https://images-na.ssl-images-amazon.com/images/I/51YXxlnrzlL._AC_US200_.jpg,B0C669D7SX,Automotive:Exterior Accessories:Deflectors & Shields:Side Window Wind Deflectors & Visors,Automotive,"17,437",-926,-6%,Side Window Wind Deflectors & Visors,38,316,500%,"22,116",5%,69.99,28,67%,12.67,816,10.76%,4.30,34,2020-08-12,FBA,9,6,3,Spark Lines Inc,US,"公司名称：Spark Lines Inc
办公地址：
1 S Corporate Drive, Suite C
RIVERDALE
NJ
07457
US",FBA,,Y,,Y,,ram 1500 window rain guards,1.73 pounds,40.6 x 13.8 x 1.4 inches,2023-07-03
,B09TKQNZCG,,KARCOCA,CF11671 Cabin Air Filter HEPA Air Conditioner with Activated Carbon Replacement Cabin Air Filter Accessories Compatible with MAZDA CX-7 RAM 1500 2500 3500 2016 2017 2018 2019 2020 2021 2022,https://images-na.ssl-images-amazon.com/images/I/51uF0VeBQhL._AC_US200_.jpg,B09TKQNZCG,Automotive:Replacement Parts:Filters:Air Filters & Accessories:Passenger Compartment Air Filters,Automotive,"16,882","-3,715",-22%,Automotive Replacement Passenger Compartment Air Filters,231,295,800%,"6,277",8%,21.28,7,65%,4.24,55,1.69%,4.10,5,2022-06-19,FBA,10,1,1,karcoca,CN,"公司名称：PINGYANGJIUTUODIANZISHANGWUYOUXIANGONGSI
办公地址：
万全镇文馨路悦景豪园3幢401室
温州市
平阳县
325400
CN",FBA,,,,Y,,,9.6 ounces,9.57 x 7.95 x 1.26 inches,2023-07-04
,B08FTHC4F8,Size: For RAM 19-23,Goodyear,"Goodyear Shatterproof in-Channel Window Deflectors for Trucks Dodge RAM 1500 2019-2023 Crew Cab, Rain Guards, Window Visors for Cars, Vent Deflector, Truck Accessories, 4 pcs- GY003413LP",https://images-na.ssl-images-amazon.com/images/I/51+gQ7mMF+L._AC_US200_.jpg,B0C86BNQM9,Automotive:Exterior Accessories:Deflectors & Shields:Side Window Wind Deflectors & Visors,Automotive,"17,040","1,231",7%,Side Window Wind Deflectors & Visors,53,293,"1,100%","29,297",11%,99.99,11,72%,13.09,506,7.85%,4.30,23,2020-08-12,FBM,9,6,1,Spark Lines Inc,US,"公司名称：Spark Lines Inc
办公地址：
1 S Corporate Drive, Suite C
RIVERDALE
NJ
07457
US",FBM,,Y,,Y,,ram 1500 rain guards crew cab,2.16 pounds,41.1 x 14.6 x 1.8 inches,2023-07-04
