主图,ASIN,SKU,品牌,商品标题,商品主图,父体,类目路径,大类目,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
,B09JW55FXR,Color: Pu Leather,JDMCAR,"JDMCAR Center Console Cushion Compatible with Toyota Tacoma Accessories 2023 2022 2021 2020 2019 2018 2017 2016, Customized PU Leather Cover Center Console Lid Protector",https://images-na.ssl-images-amazon.com/images/I/41DyZNlleaL._AC_US200_.jpg,B09JW4T48W,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"2,586",961,37%,Automotive Center Consoles,7,"1,284",200%,"30,803",2%,23.99,20,58%,6.39,"3,802",7.40%,4.60,95,2021-11-08,FBA,10,2,1,JDMCAR,CN,"公司名称：Guangzhouzhigongmaoyiyouxiangongsi
办公地址：
嘉禾街鹤泰路
五社通达创意园7号507房
广州市
白云区
广东省
510000
CN",FBA,,Y,,Y,,Automotive Center Consoles by JDMCAR,6.4 ounces,12.9 x 7.9 x 2.4 inches,2023-07-04
,B0BJKSLCH3,Material Type: Black Screws | Style: Quicksand,Dubbs Hardware,"Tacoma Accessories 2016-2022 3rd Gen Tacoma - Key Fob Case Upgrade Mod - Compatible with Toyota Tacoma 4Runner Tundra (Quicksand, Black Screws)",https://images-na.ssl-images-amazon.com/images/I/31sTHNstUxL._AC_US200_.jpg,B0BJJ42S3H,Automotive:Interior Accessories:Key Shells,Automotive,"4,582","-1,520",-34%,"Key Shells
Keychains","11
33","1,169",500%,"29,213",5%,24.99,10,72%,3.22,420,6.42%,3.80,75,2022-10-23,FBA,9,23,2,ssquared35,US,"公司名称：NC
办公地址：
4873 Keeneland Place Southwest
CONCORD
NC
28027
US",FBA,,,Y,Y,,,0.634 ounces,3.5 x 2.7 x 0.7 inches,2023-07-03
,B01DJR0UMS,Size: Tacoma Short Bed,TacoNets,"TacoNets Toyota Tacoma Short Bed Cargo Net - Bungee Net Accessories for Pickup Trucks - Bed Rail Integration for 2005-2023 Tacomas: 36&quot;x48&quot; Stretch Cargo Net, 16 Rail Hooks, 4 Carabiners, Storage Bag",https://images-na.ssl-images-amazon.com/images/I/51hHaYQQbNL._AC_US200_.jpg,B0BT8DW4BB,Automotive:Exterior Accessories:Truck Bed & Tailgate Accessories:Cargo Nets,Automotive,"2,991",463,15%,Automotive Cargo Nets,12,"1,163",800%,"46,485",8%,39.97,40,69%,6.39,"1,742",2.75%,4.70,32,2015-09-02,FBA,10,4,1,TacoNets USA,US,"公司名称：KCDC IMPORTS, LLC
办公地址：
100 n howard st
ste w
SPOKANE
WA
99201
US",FBA,,Y,,Y,,Automotive Cargo Nets by TacoNets,2.5 pounds,48 x 36 x 1 inches,2023-07-04
,B08LQ5KL4Z,,JKCOVER,"JKCOVER Compatible with Toyota Tacoma Glove Box Dividers Organizer 2016 2017 2018 2019 2020 2021 2022 2023 Accessories,Insert Box ABS Secondary Storage",https://images-na.ssl-images-amazon.com/images/I/41u4c0wmBSL._AC_US200_.jpg,B08LQ5KL4Z,Automotive:Interior Accessories:Consoles & Organizers:Glove Box Organizers,Automotive,"3,600",390,12%,Glove Box Organizers,15,"1,035",-600%,"18,619",-6%,17.99,6,61%,4.24,"2,705",4.73%,4.70,49,2020-11-05,FBA,10,1,1,JKCOVER,CN,"公司名称：Guangzhou Songxianjun Trading Co.,LTD
办公地址：
鹤龙街鹤边五社通达创意园西区二横路1号7栋503室
广州市
白云区
广东
510000
CN",FBA,,Y,,Y,,Glove Box Organizers by JKCOVER,0.7 pounds,15 x 7.9 x 0.4 inches,2023-07-04
,B07C7WNDZG,Color: black,JDMCAR,"JDMCAR Compatible with Center Console Organizer 2023 Toyota Tacoma Accessories 2022 2021 2020 2019 2018 2017 2016, Tacoma Insert ABS Black Material Tray",https://images-na.ssl-images-amazon.com/images/I/511nRu8KMyS._AC_US200_.jpg,B08PV5LSFJ,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"6,148",941,27%,Automotive Center Consoles,39,928,-400%,"12,982",-4%,13.99,61,51%,4.75,"7,519",4.85%,4.80,45,2018-04-15,FBA,9,2,1,,,,FBA,,,,Y,,,0.46 pounds,7.8 x 1.8 x 7.6 inches,2023-07-04
,B08HVH3QL6,Color: red,JKCOVER,"JKCOVER Premium Custom Liner Mat Accessories Compatible with Toyota Tacoma 2016 2017 2018 2019 2020 2021 2022, Cup Holder, Door Pocket and Center Console Inserts 19 Pcs (Double Cab, Red Trim)",https://images-na.ssl-images-amazon.com/images/I/51MiyTp8wxL._AC_US200_.jpg,B08N11KH73,Automotive:Interior Accessories:Cup Holders,Automotive,"5,883","-1,183",-18%,Automotive Cup Holders,90,802,"1,800%","15,229",18%,18.99,18,63%,4.24,"1,801",4.86%,4.50,39,2020-09-11,FBA,10,5,1,JKCOVER,CN,"公司名称：Guangzhou Songxianjun Trading Co.,LTD
办公地址：
鹤龙街鹤边五社通达创意园西区二横路1号7栋503室
广州市
白云区
广东
510000
CN",FBA,,,,Y,,,0.62 pounds,16.7 x 7.4 x 0.7 inches,2023-07-04
,B08C7LT7P9,Color: Smoked Type A,HIGH FLYING,"HIGH FLYING Car Accessories LED Side Mirrors, Sequential Dynamic Turn Signal Lights Indicator, Pair for Toyota Tacoma 2016-2022, RAV4 XA50 2019-2022, Highlander XU70 2020-2022, Set of 2, Smoked Black",https://images-na.ssl-images-amazon.com/images/I/41G7+-onl-S._AC_US200_.jpg,B098341ML2,Lights & Lighting Accessories:Lighting Assemblies & Accessories:Signal Light Assemblies:Marker Light Assemblies:Side Marker & Turn Signal Combos,Lights & Lighting Accessories,"7,885","-1,460",-19%,Automotive Combo Turn Signal & Side Marker Light Assemblies,1,599,300%,"26,955",3%,45.00,123,72%,5.69,"1,892",0.00%,4.80,0,2020-07-01,FBA,9,4,2,Car Decoration Club,CN(HK),"公司名称：HIGH FLYING TRADE CO., LIMITED
电话号码：86-202-905-3109",FBA,Y,Y,,Y,,Automotive Combo Turn Signal & Side Marker Light A,12 ounces,9.53 x 7.4 x 3.43 inches,2023-07-04
,B09FFCT1FY,Size: ac outer rings | Color: red,JDMCAR,"JDMCAR Compatible with 2023 Toyota Tacoma Premium Aluminum Alloy A/C Vent Ring Outer Trim Decoration Covers fit 2016-2021 2022 Tacoma A/C Outlet Vent Accessories -(4 pcs Set, Red)",https://images-na.ssl-images-amazon.com/images/I/51vCsDM3-LL._AC_US200_.jpg,B09H6KP4KS,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"9,129",-848,-9%,Automotive Center Consoles,93,582,-100%,"15,126",-1%,25.99,16,70%,3.86,878,7.90%,4.60,46,2021-09-02,NA,9,4,1,,,,NA,,Y,,Y,,Automotive Center Consoles by JDMCAR,1.76 ounces,5.24 x 4.84 x 1.14 inches,2023-07-03
,B07NRWR1JB,Color: Red,JDMCAR,"JDMCAR Liner Accessories Compatible with 2023 2022 Toyota Tacoma 2016 2017 2018 2019 2020 2021 Custom Fit Cup and Door Center Console Inserts (Double Cab, Red Trim)",https://images-na.ssl-images-amazon.com/images/I/518Cqx-hKuL._AC_US200_.jpg,B08MD9FP8S,Automotive:Replacement Parts:Body & Trim:Trim:Interior:Center Consoles,Automotive,"11,634","-2,780",-24%,Automotive Center Consoles,88,573,"1,300%","12,600",13%,21.99,40,66%,4.24,"3,636",37.00%,4.50,212,2019-02-14,FBA,10,6,1,,,,FBA,,Y,,Y,,Automotive Center Consoles by JDMCAR,10.8 ounces,15.5 x 7 x 1 inches,2023-07-04
,B01N9JZBSQ,"Size: 6 3/4"" Inch - PREMIUM CHOICE | Color: Black",AntennaMastsRus,AntennaMastsRus - The Original 6 3/4 Inch Replacement Rubber Antenna Mast fits Toyota Tacoma (1995-2015) Accessories - USA Stainless Steel Threading - Car Wash Proof - Internal Copper Coil,https://images-na.ssl-images-amazon.com/images/I/41cBOa62ZkL._AC_US200_.jpg,B00SAB3S82,Automotive:Replacement Parts:Lighting & Electrical:Electrical,Automotive,"7,673","3,936",51%,Automotive Replacement Electrical Equipment,138,536,900%,"13,394",9%,24.99,76,72%,3.22,"3,156",5.22%,4.40,28,2016-12-20,FBA,9,26,2,The Antenna Source,US,"公司名称：Bridgewood INC
电话号码：920-686-0644",FBA,,Y,,Y,,toyota tacoma antenna 2005-2015,1.44 ounces,7.8 x 2.91 x 0.43 inches,2023-07-03
