ASIN,SKU,品牌,商品标题,,父体,类目路径,大类目,适配车型年份,大类BSR,大类BSR增长数,大类BSR增长率,小类目,小类BSR,月销量,月销量增长率,月销售额($),月销售额增长率,价格($),Q&A,毛利率,FBA运费($),评分数,留评率,评分,月新增评分数,上架时间,配送方式,LQS,变体数,卖家数,BuyBox卖家,卖家所属地,卖家信息,BuyBox类型,Best Seller标识,Amazon's Choice,New Release标识,A+页面,视频介绍,AC关键词,重量,体积,最近更新
B0BX53XG8Q,Size: Model S Model S Plaid,Basenor,BASENOR 2023 2022 Tesla Model S Model S Plaid Mud Flaps Splash Guards No Drilling Required Mudguards Vehicle Protector Mudflaps Exterior Accessories (Set of 4),https://m.media-amazon.com/images/I/41UdpxnxGWL._AC_US200_.jpg,B07ZYLHVSM,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,503,-12,-2%,Wheel & Tire Mud Flaps & Splash Guards,1,"4,548","1,500%","181,874",15%,39.99,125,65%,7.97,"3,352",3.74%,4.20,170,2023-03-01,FBA,10,3,2,BASENOR US,CN,"公司名称：Shenzhen Shi Shen Yuan Xin Technology Co., Ltd
办公地址：
Shenzhen Shi Futian Qu Hua Qiang Bei Jiedao
Shen Nan Zhong lu Wei Peng Hua Yuan 1 Dong 2307-2
Shenzhen
Guangdong
518031
CN",FBA,Y,,,Y,,,1.63 pounds,13.7 x 10.75 x 5.2 inches,2023-06-01
B07V36S77Y,Size: Model 3,Basenor,BASENOR Tesla Model 3 Mud Flaps Splash Guards Winter Vehicle Sediment Protection 2016-2023(Set of 4),https://m.media-amazon.com/images/I/51cQNVn7y6L._AC_US200_.jpg,B07ZYLHVSM,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,503,-12,-2%,Wheel & Tire Mud Flaps & Splash Guards,1,"4,548","1,500%","136,394",15%,29.99,125,61%,7.33,"3,352",3.74%,4.20,170,2019-07-08,FBA,9,3,13,BASENOR US,CN,"公司名称：Shenzhen Shi Shen Yuan Xin Technology Co., Ltd
办公地址：
Shenzhen Shi Futian Qu Hua Qiang Bei Jiedao
Shen Nan Zhong lu Wei Peng Hua Yuan 1 Dong 2307-2
Shenzhen
Guangdong
518031
CN",FBA,Y,,,Y,,,1.1 pounds,5 x 6 x 8 inches,2023-06-01
B08VHQSXD1,Size: Model Y,Basenor,BASENOR Tesla Model Y Mud Flaps Splash Guards Winter Vehicle Sediment Protection No Need to Drill Holes(Set of 4),https://images-na.ssl-images-amazon.com/images/I/41RKXwduLxL._AC_US200_.jpg,B07ZYLHVSM,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,503,-12,-2%,Wheel & Tire Mud Flaps & Splash Guards,1,"4,548","1,500%","181,874",15%,39.99,125,65%,7.97,"3,352",3.74%,4.20,170,2019-11-03,FBA,10,3,1,BASENOR US,CN,"公司名称：Shenzhen Shi Shen Yuan Xin Technology Co., Ltd
办公地址：
Shenzhen Shi Futian Qu Hua Qiang Bei Jiedao
Shen Nan Zhong lu Wei Peng Hua Yuan 1 Dong 2307-2
Shenzhen
Guangdong
518031
CN",FBA,Y,Y,,Y,,model y mud flaps 2023,1.1 pounds,10.2 x 6.3 x 3.9 inches,2023-06-01
B07VMNQ5NX,,Husky Liners,"Husky Liners - Rear Wheel Well Guards | 2019 - 2023 Chevrolet Silverado 1500 - Black, 2 Pc. | 79061",https://images-na.ssl-images-amazon.com/images/I/31zWilEPdPS._AC_US200_.jpg,B07VMNQ5NX,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"8,865","-3,231",-36%,Wheel & Tire Mud Flaps & Splash Guards,5,768,"3,700%","68,029",37%,88.58,105,15%,62.31,"1,992",5.73%,4.60,44,2019-07-24,AMZ,9,1,8,Amazon,US,"公司名称：RV & Auto Parts
电话号码：760-651-4005
办公地址：
12150 Tech Center Dr
Poway
CA
92064
US",AMZ,,,,Y,,,9.83 pounds,36.5 x 14 x 24.8 inches,2023-05-31
B0BGDK4NSF,Size: For Model 3,CYBERBEANS,"CYBERBEANS 4Pcs for Tesla Model 3 Mud Flaps Accessories Splash Guards Tire Mud Flap,Mudguard No Drilling Required Mudflaps 2017-2023",https://images-na.ssl-images-amazon.com/images/I/41mG-GYsGPL._AC_US200_.jpg,B0BGYCVPP8,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"9,935",-248,-3%,Wheel & Tire Mud Flaps & Splash Guards,6,710,"2,900%","19,880",29%,28.00,4,58%,7.65,151,5.35%,4.30,38,2022-09-25,FBA,10,2,1,CYBERBEANS,CN,"公司名称：Jinjiang Temodou Technology Co., Ltd.",FBA,,Y,Y,Y,,Wheel & Tire Mud Flaps & Splash Guards by CYBERBEA,2.09 pounds,12.48 x 9.69 x 4.72 inches,2023-06-01
B0BGDMJRN1,Size: For Model Y,CYBERBEANS,"CYBERBEANS 4Pcs for Tesla Model Y Mud Flaps 2023 Car Splash Guards Tire Protector,Mudguard No Drilling Required Mudflaps Accessories",https://images-na.ssl-images-amazon.com/images/I/41XK0m9GNfL._AC_US200_.jpg,B0BGYCVPP8,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"9,935",-248,-3%,Wheel & Tire Mud Flaps & Splash Guards,6,710,"2,900%","20,590",29%,29.00,4,59%,7.65,151,5.35%,4.30,38,2022-09-24,FBA,9,2,1,CYBERBEANS,CN,"公司名称：Jinjiang Temodou Technology Co., Ltd.",FBA,,Y,Y,Y,,Wheel & Tire Mud Flaps & Splash Guards by CYBERBEA,2.53 pounds,12.6 x 9.8 x 4.96 inches,2023-06-01
B0BR7FZQVZ,Pattern Name: Guard + Custom Mud Guards (58526),Husky Liners,"Husky Liners Wheel Well Guard 79161 - Fits 2021 Ford F-150 (Not Raptor), Black &amp; Custom Mud Guards (58526), Black",https://m.media-amazon.com/images/I/31bMbOOzHUL._AC_US200_.jpg,B0BR9257JX,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"6,357","1,544",23%,Wheel & Tire Mud Flaps & Splash Guards,3,607,-500%,"110,304",-5%,181.72,24,52%,59.87,796,6.75%,4.60,41,2022-12-28,AMZ,8,2,1,Amazon,,,AMZ,,,Y,,,,10.25 pounds,39 x 25 x 14 inches,2023-06-01
B097BK3YJ9,Pattern Name: Guard,Husky Liners,"Husky Liners Wheel Well Guard 79161 - Fits 2021 Ford F-150 (Not Raptor) , Black",https://images-na.ssl-images-amazon.com/images/I/41gUZ5OUMsL._AC_US200_.jpg,B0BR9257JX,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"6,357","1,544",23%,Wheel & Tire Mud Flaps & Splash Guards,3,607,-500%,"63,121",-5%,103.99,24,24%,63.57,796,6.75%,4.60,41,2021-06-15,AMZ,7,2,4,Amazon,US,"公司名称：Morrison-Hudgins LLC
电话号码：1-484-531-2106",AMZ,Y,Y,,,,Grille & Brush Guards by Husky Liners,10.25 pounds,39 x 25 x 14 inches,2023-06-01
B081ZJGNTW,Color: Orange,Fox Racing,"Fox Racing Mountain Bike Mud Guard, Orange",https://m.media-amazon.com/images/I/41AnAMCE7BL._AC_US200_.jpg,B0C4P93FCW,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"7,672","1,639",25%,"Powersports Chain Guards
Wheel & Tire Mud Flaps & Splash Guards","2
5",563,"7,500%","7,364",75%,13.08,9,61%,3.22,583,4.09%,4.60,23,2020-09-02,AMZ,7,4,7,Amazon,US,"公司名称：Velo Planet Cyclery
电话号码：303-466-8543",AMZ,Y,Y,,,,Wheel & Tire Mud Flaps & Splash Guards by Fox Raci,0.8 ounces,11.5 x 10.25 x 0.01 inches,2023-06-01
B081ZFX1XY,Color: Red,Fox Racing,"Fox Racing Mountain Bike Mud Guard, Red",https://m.media-amazon.com/images/I/41+qfKBXZjL._AC_US200_.jpg,B0C4P93FCW,Automotive:Exterior Accessories:Mud Flaps & Splash Guards,Automotive,,"7,672","1,639",25%,"Powersports Chain Guards
Wheel & Tire Mud Flaps & Splash Guards","2
5",563,"7,500%","8,236",75%,14.63,9,63%,3.22,583,4.09%,4.60,23,2020-09-02,FBM,6,4,7,PERF-MOTO,US,"公司名称：Performance Motorsports Inc.
电话号码：616-494-0103
办公地址：
11099 Water Tower Ct
Holland
Michigan
49424
US",FBM,Y,,,,,,0.8 ounces,12 x 11 x 2 inches,2023-06-01
